Area,IMD,Income`,Employ,Health,Educ,Barr,Crime,Env,<16,60+
E01015211,23267,19285,21700,15682,17459,24133,26376,23719,24115,15882
E01015212,9597,8297,8581,15958,9226,9222,29863,3370,9359,8361
E01015213,13952,13829,12130,10719,14617,10114,29445,10597,13590,19664
E01015214,2691,3025,2669,9877,3786,3295,27435,223,2655,4146
E01015215,13938,12725,14703,11138,11472,13061,19472,12763,14257,10182
E01015216,5614,5803,4048,9337,8039,5741,26587,2365,7129,7139
E01015217,800,1990,752,4103,2373,386,17915,580,3725,2524
E01015218,5683,5583,4397,8750,4930,12599,27740,2276,7543,7006
E01015219,8595,6925,4850,15932,4214,13909,22435,20570,9038,9403
E01015220,17563,16974,15090,15532,12383,12445,26383,20035,17287,17605
E01015221,15167,13759,13381,13537,12655,21177,15319,13985,13234,13303
E01015222,17878,16240,12885,17344,17149,12593,19892,26815,19218,17281
E01015223,23711,20940,21001,18004,20725,26727,18921,20320,21076,18039
E01015224,15903,14307,11318,17834,12182,23385,30444,9238,19311,11299
E01015225,15255,11810,11553,15771,12967,19022,24826,15995,16344,13215
E01015226,20359,21617,13761,21296,15873,22138,10751,31929,27493,23658
E01015227,24804,22906,21352,20830,23289,20566,17866,22637,28519,19659
E01015228,7732,7986,5079,8535,7168,8975,28177,7907,13022,8543
E01015229,6251,6666,3901,12158,4580,3121,27823,11676,12761,5089
E01015230,23445,23526,17222,20928,17016,29744,12808,31425,25531,23920
E01015231,219,708,233,4443,615,500,19806,314,1113,1792
E01015232,1338,3724,1599,5805,2908,69,13537,512,3483,6808
E01015233,1958,3590,1341,5598,3486,2668,22943,510,4607,5258
E01015234,5517,5855,6186,6942,4045,15085,26851,929,8216,4042
E01015235,7166,9141,6052,10509,7296,13140,8755,3101,13132,11540
E01015236,12674,17295,11188,18040,13371,4600,9650,11194,21759,20709
E01015237,13458,12506,13112,14642,11084,9514,27069,8869,11680,11923
E01015238,9428,9769,7019,12524,4890,14137,26665,8321,13911,10055
E01015239,5887,4777,4243,14649,2728,15780,24867,4636,11519,4506
E01015240,6742,5740,4647,9493,4192,15596,27388,7242,6167,7996
E01015241,11178,9316,7472,11673,12496,12595,30645,10351,13413,9064
E01015242,5855,4682,6148,5277,6939,7399,29077,4312,6004,5236
E01015243,18334,12898,17893,16158,16540,17819,27922,15367,8485,14397
E01015244,16894,14607,12629,15773,11336,25497,21674,20317,16581,15851
E01015245,6987,7429,3387,5498,5477,25742,10157,26205,7968,13152
E01015246,16427,13165,9697,20689,13031,21531,30929,17138,17297,16924
E01015247,11356,8646,9341,11645,14246,9518,23886,11885,10305,9213
E01015248,7028,5952,6490,6648,5844,18543,26078,3839,5374,6203
E01015249,7652,6175,4631,8924,4157,23536,16900,21334,13286,2998
E01015250,22272,16693,19514,19026,18607,26830,21416,22647,18993,13908
E01015251,24791,21909,19561,27685,12053,24647,29516,26768,25800,17044
E01015252,16718,12944,14430,11742,14292,20038,21417,25177,11868,16250
E01015253,21904,17651,21720,21249,19529,26428,6970,31918,16241,14812
E01015254,17433,13746,15277,17865,11436,11268,29970,26545,12994,15742
E01015255,401,975,370,4905,779,560,14918,1103,3349,2131
E01015256,439,1779,392,7888,613,147,10478,626,2355,5340
E01015257,928,1240,375,2139,1285,5712,14748,8324,1084,5115
E01015258,10371,8508,8290,12237,12116,11306,21891,7699,9192,11170
E01015259,5209,6265,5255,7057,6088,2977,27982,2234,6372,5631
E01015260,849,2421,385,7559,1506,1049,22002,271,6572,4887
E01015261,2357,4516,2028,9701,4321,342,24401,572,8051,8342
E01015262,5562,6899,5773,4371,5450,1192,28923,12753,5867,10498
E01015263,1759,1409,1390,2491,3045,3169,17236,12031,1076,4453
E01015264,19065,16421,14871,13519,15695,23586,21389,26185,11653,21237
E01015265,10045,7741,7577,8803,8578,11697,22160,22732,2093,15515
E01015266,1095,1280,2121,854,1017,3859,11651,7069,1690,1128
E01015267,1993,5660,833,16012,2601,19,14016,2776,11822,10097
E01015268,12456,12705,7164,23332,11242,8307,17552,16191,9201,20928
E01015269,12720,12946,8289,24942,7821,19090,27803,5379,20145,14747
E01015270,6340,9513,5220,16451,3959,2552,15107,4975,10845,13058
E01015271,24167,24747,19986,28594,15888,18303,13181,28638,19989,29365
E01019886,15059,16063,14271,15755,25234,21279,4319,7717,17523,20314
E01019887,14877,11903,13619,10895,14253,16843,22101,16274,10013,18445
E01019888,17896,14901,15928,18430,19304,16755,24667,9303,13423,19039
E01019889,25416,24108,21598,16526,27169,28798,18289,19128,23668,25452
E01019890,25191,20360,25463,24898,30733,24044,17257,10347,19726,19901
E01019891,17168,23426,25982,24970,29486,29759,2332,878,23821,21387
E01019892,21456,23492,23213,21318,25990,29199,4154,10931,25349,21160
E01019893,19600,22069,22076,18732,26362,28389,5155,6138,20644,24827
E01019894,30490,27133,25452,28211,28806,30392,21408,24755,22056,29773
E01019895,29319,28927,27285,26014,29662,28807,13674,18952,24125,31554
E01019896,28165,24331,25202,23060,26083,19241,26216,24924,22894,27971
E01019897,19321,15291,16913,12276,18658,24837,25101,18589,19180,12935
E01019898,23543,27041,26161,22572,30160,28012,4284,10019,26667,28441
E01019899,20381,17204,15367,15520,22178,28699,17311,20151,16979,20026
E01019900,27159,25227,24683,27523,30413,31912,12134,12893,20594,29520
E01019901,16041,26299,27304,24527,31091,31874,805,533,26312,26733
E01019902,14557,18067,19902,15582,24937,25732,1308,4444,18431,18953
E01019903,19592,25689,23985,18364,28129,32163,3430,4063,25236,28227
E01019904,15696,11880,12226,7720,15283,25655,31272,23061,17397,9084
E01019905,31369,29012,24155,25882,31350,32014,22596,32804,29088,30271
E01019906,28192,23080,24630,19121,21161,28239,32813,29107,25986,18112
E01019907,27360,27587,22962,12138,26064,24505,29608,29649,29444,24751
E01019908,24184,20971,21811,8542,29599,31486,19656,31322,19027,21587
E01019909,29927,26778,26681,19526,29183,32183,24542,24080,25222,30092
E01019910,24262,19744,18917,23397,22961,23747,29572,15753,22762,21936
E01019911,26278,21098,18529,20147,25358,28461,25922,30998,22004,22931
E01019912,19438,14078,15487,20145,21521,22113,29442,11282,18195,14107
E01019913,26066,27853,19098,22734,23639,25092,13849,26784,27407,30528
E01019914,6641,6472,4698,3102,9308,9908,18374,17238,8443,8282
E01019915,25417,22184,19049,22929,25207,26951,23584,18236,24311,24992
E01019916,9802,12324,13057,12876,16100,2897,29383,817,14239,9765
E01019917,18469,19412,17587,15996,19739,12588,31969,6016,23296,18721
E01019918,10311,13967,9725,16907,20731,1348,27924,2189,15757,17123
E01019919,12371,12049,14398,8623,17692,12987,29146,2567,15762,8772
E01019920,18839,16603,14158,13226,20190,26290,16461,21404,16152,19318
E01019921,25375,22148,21317,18213,25773,16156,31372,23303,25087,20161
E01019922,9251,8152,6153,4177,10854,19429,28718,15571,15507,4827
E01019923,16410,13997,13990,5092,17840,28171,27257,24703,13914,16196
E01019924,15047,14800,14859,5237,25630,14284,17356,15368,16694,13474
E01019925,29328,26422,24417,19298,27235,32614,25597,25618,30572,21049
E01019927,10647,8089,9182,6497,12003,13677,25332,15322,9079,7539
E01019928,16988,14988,15273,6888,20111,22188,17211,26079,12101,21842
E01019929,24852,19871,20646,16671,25057,29156,20204,27366,18876,18794
E01019930,23920,19556,21406,16701,27359,28372,10690,30738,17359,23435
E01019931,30728,30673,29221,26318,27949,25775,13084,32603,29745,29682
E01019932,11018,9486,7929,12842,12904,11499,16858,12703,12352,8589
E01019933,16852,13808,13586,13206,20616,18349,26844,11565,14920,13858
E01019934,24379,21686,18421,17011,22206,23339,23056,30570,24995,23893
E01019935,20940,25630,24854,25500,27975,29543,4568,3573,22849,28136
E01019936,17933,17818,15689,23018,21157,20509,13562,5886,20781,22554
E01019937,26680,23067,22717,25073,30993,25423,10956,25564,21937,24143
E01019938,16609,27038,27598,23380,30304,32036,427,1471,29268,25971
E01019939,26416,30897,28729,29743,30252,31612,2986,14201,30052,31715
E01019940,28138,31501,24415,30851,28249,32740,6741,18488,31263,32078
E01019942,20897,18841,14051,20776,24635,16532,20716,20516,23445,18840
E01019943,31092,26578,26088,24612,29803,31879,26324,29433,27818,23308
E01019944,25840,20768,24306,27093,25519,24924,29774,9083,23323,18664
E01019945,18474,23134,20874,20423,29863,28108,2416,5369,22974,25925
E01019946,27443,23607,18704,24011,24428,31898,22464,30351,15229,31315
E01019947,14414,14384,13827,17543,15761,17495,29075,2098,18954,14469
E01019948,21744,19984,11819,13416,23217,27962,32080,30154,23477,25517
E01019949,27951,21554,24366,21609,27760,31854,18799,28208,25247,22880
E01019950,15251,11198,8864,12141,12999,27231,31488,27015,12195,14057
