Area,IMD,Income`,Employ,Health,Educ,Barr,Crime,Env,<16,60+
E01020124,19873,21027,18865,19570,15637,15161,17299,13594,26469,21221
E01020125,28657,25432,22810,23056,22787,30511,23786,29263,24505,25854
E01020126,12584,18589,19861,10403,21539,14825,5807,985,22240,17574
E01020127,13678,25511,27358,23113,24973,27308,268,386,29946,26600
E01020128,26446,27728,20723,28153,18490,12122,29979,25614,30913,27428
E01020129,11746,9797,9889,10544,6657,16725,22571,21605,9774,10719
E01020130,11685,13541,11312,18222,5698,16372,27475,3053,18403,6815
E01020131,10310,19435,19590,13721,22247,25880,246,371,22589,20189
E01020132,19715,19315,20530,15286,17262,22470,15705,11545,21673,16979
E01020133,25753,27437,27622,26800,22666,29407,4024,23875,26105,30417
E01020134,10366,9270,10301,5247,8010,26432,14242,14793,8989,9919
E01020135,11666,11103,10031,7020,6948,23534,23596,16535,15523,10020
E01020136,18687,15631,16734,13108,15273,31620,22650,14128,12183,17885
E01020137,14491,13720,16130,8402,14166,23273,26051,5200,11076,15836
E01020138,11495,16430,17479,12345,20713,30210,2413,636,20540,17952
E01020139,6586,8337,7015,4267,4396,8624,21359,6288,8896,7308
E01020140,13052,18932,14247,13924,9145,3179,14256,15966,16957,22154
E01020141,5736,4653,6769,2804,6496,6841,9791,25373,4925,5043
E01020142,17320,20483,26695,23146,28212,32214,1965,1886,22036,20009
E01020143,15727,19516,23156,26502,26740,25961,2729,873,20222,22854
E01020144,31364,28436,28412,25996,22810,29012,29193,31260,28992,27698
E01020145,17747,22915,21054,15918,18396,22218,4547,8070,20252,22630
E01020146,25769,24233,24386,21300,14843,20504,29555,23253,27249,18291
E01020147,16271,22763,23435,27699,24515,30307,1874,1038,24025,26404
E01020148,15666,20627,17563,25420,21234,25225,5764,1221,21920,22379
E01020149,13704,16189,18842,15152,15175,27762,2517,4656,17388,17119
E01020150,19890,17687,18515,24380,20957,28671,13240,7026,21546,22103
E01020151,28659,25502,29585,26413,27385,19275,17315,21181,19085,29406
E01020152,16539,16549,17969,16017,23312,20154,31604,1280,18890,15929
E01020153,16146,20459,16554,22409,22702,23428,7059,1978,16931,24630
E01020154,19603,16832,21148,11459,17985,28881,13042,18991,15813,10378
E01020155,8003,6349,5126,7518,6567,28306,20679,10422,6802,7905
E01020156,22986,22154,20748,28271,30040,28369,10447,6878,25037,21754
E01020157,14099,21154,20885,28875,29052,25960,716,748,26248,22008
E01020158,24269,19177,20210,28079,25527,25033,31035,8484,17518,23583
E01020159,18528,25811,27390,30543,22004,26048,2888,1501,30917,22526
E01020160,18626,21289,21439,26609,24707,18743,4785,4767,22747,21299
E01020161,18112,14093,14487,19234,17317,16632,27140,14790,15905,15029
E01020162,28509,26903,24814,21468,25453,32177,16097,25934,26672,25595
E01020163,29212,25329,24096,25984,27435,30564,15541,31623,23637,30946
E01020164,21741,16163,16434,24736,17349,27915,28762,16063,19934,13028
E01020165,31382,25668,30972,23737,25834,32067,29822,27671,23058,26593
E01020166,30740,29052,28891,26073,23279,29379,22193,26433,28193,29413
E01020167,32540,31051,29487,28827,26543,32008,28921,32645,31333,30976
E01020168,18019,16335,13752,13541,24247,20794,12897,19314,13507,24417
E01020169,20842,18501,19339,22937,22348,20715,21387,7415,20492,15802
E01020170,24621,20935,17544,23312,24062,27391,25903,17676,22900,20550
E01020171,25695,26262,24165,30293,28856,31461,8333,9889,29289,26950
E01020172,19337,19105,22231,24041,23400,21685,10952,3828,19977,20449
E01020173,27195,21089,24989,23019,23415,28030,31001,16748,26237,20232
E01020174,14731,21901,18854,25102,29254,31984,382,2327,23956,25814
E01020175,18887,21220,23091,24892,27158,29053,5263,2394,24739,22493
E01020176,22232,16917,19472,28850,21201,19850,32531,8624,21742,20207
E01020177,14326,9551,10628,15354,11779,17327,29071,20987,10144,13386
E01020178,19037,21436,25594,22614,25797,32257,4382,2640,17886,26751
E01020179,18970,21938,25923,28071,27970,30353,1599,4058,18370,25101
E01020180,11567,8110,6807,17776,12638,11910,28171,15220,11227,13600
E01020181,18184,14223,10791,20508,14874,21976,27636,25629,17728,13943
E01020182,14627,11196,12808,17712,20898,24516,6562,11959,12120,14181
E01020183,12868,11991,8906,24078,13894,12137,30522,3982,14079,18985
E01020184,11940,9323,7444,28721,14217,11613,26872,5214,17491,9626
E01020185,30042,26281,22066,30062,23605,32651,30728,24158,27067,30381
E01020186,28766,32264,28272,31654,29225,30203,7463,14158,31076,32633
E01020187,18520,15377,13971,20241,19409,25212,17082,13157,15993,18097
E01020188,17002,22913,25359,27400,28729,31477,666,2478,20107,30426
E01020189,11232,10832,8563,12991,12840,22305,6870,11264,16410,10641
E01020190,25691,18319,20770,28613,24089,32212,30379,13108,16659,22088
E01020191,13637,17503,18281,16618,10687,17128,6192,4032,10485,23993
E01020192,24996,22066,22586,25770,24814,31848,9557,18594,24393,21055
E01020193,20702,22653,21016,27647,21942,32405,21665,1456,25142,25622
E01020194,30755,27290,27456,27895,29222,28172,19725,26811,24705,28030
E01020195,16703,17966,19290,12966,21858,28546,5201,7293,19134,18637
E01020196,12758,9210,13852,15722,12893,10321,29521,6132,10163,9849
E01020197,24226,21339,25160,24611,21463,22480,12099,17064,23138,21708
E01020198,10407,8001,9208,12372,14357,15922,26314,3079,9307,8725
E01020199,13010,10583,15112,11343,16393,13436,19890,5614,9423,16452
E01020200,25452,22191,22569,30358,25229,32030,9945,16054,20390,24480
E01020201,25242,22989,18674,28552,22590,31742,10812,25848,22625,26277
E01020202,19532,16064,14775,20787,15919,30602,18072,16859,18826,17994
E01020203,31235,28968,24617,30113,26053,31055,23739,30443,32024,27913
E01020204,17369,14769,14543,9347,17440,24242,28199,16523,16696,12669
E01020205,20019,30399,27965,30290,24636,22985,2461,2361,30618,29626
E01020206,21947,16782,18559,20560,22176,28728,32533,9330,13848,17775
E01020207,16959,16012,19527,20299,22329,19819,3085,12967,17790,12631
E01020208,13183,8906,12831,6833,13093,23088,21804,21287,11781,6433
E01020209,18799,16858,20701,11784,20193,18725,14718,14985,16175,15597
E01020210,30056,30729,29704,22743,26799,24593,13619,30186,31652,29184
E01020211,5751,4119,5001,3445,6956,15587,23614,8797,5119,3864
E01020212,7029,6203,4975,4247,5787,15968,28995,13209,4891,9057
E01020213,14216,12016,11607,8728,15899,25545,14901,17838,9725,14603
E01020214,19931,20446,15443,13070,25332,22921,14404,17045,17782,21766
E01020215,28443,30563,27002,26982,25064,30389,5609,32510,31907,28490
E01020216,6361,6613,5368,5741,7214,5115,13486,13480,6496,6361
E01020217,11419,11925,11899,12323,11713,14365,29158,1924,13390,9545
E01020218,7428,8521,9654,7511,7391,4469,24049,2708,11857,3934
E01020219,20765,19834,18522,22140,20585,14707,11716,20777,19342,22362
E01020220,15020,12299,14617,13047,13638,27864,14405,10434,14080,11990
E01020221,16804,20108,17896,17988,19105,28449,5854,4708,19417,21203
E01020222,30178,29834,27370,27377,23784,31076,21542,18998,30904,24144
E01020223,16599,17670,15835,21386,18886,23553,8011,5486,20251,18358
E01020224,15575,14217,18617,15101,15728,23366,29340,1935,14537,12152
E01020225,9242,11012,9603,10431,11784,4563,24101,3036,18067,6408
E01020226,17362,17065,20788,28672,17615,3755,8476,19371,23840,15669
E01020227,18280,16247,14826,17067,14779,17812,25466,16180,18175,16940
E01020228,7764,6621,5471,17839,11042,10987,16539,2639,8770,7175
E01020229,7143,13466,5651,17539,11872,9444,2290,1432,19059,20292
E01020230,18998,19017,12655,20407,20642,13990,24290,14366,20646,19111
E01020231,19483,21404,15757,18029,17419,13378,17430,17963,26128,21536
E01020232,15316,14543,14435,13572,20406,25045,5040,13824,14043,18020
E01020233,22179,24661,20125,24182,27705,18370,5954,15956,21379,28890
E01020234,12815,13341,11365,6890,17341,28179,12963,7608,14247,14612
E01020235,13402,13822,11233,21761,18567,17702,10080,3637,17997,13865
E01020236,27959,28207,29621,24404,23923,31538,8239,21727,29933,25155
E01020237,16990,22444,22832,30067,25119,25093,2065,1841,21731,26491
E01020238,24991,18160,16773,26100,22934,32450,24890,25457,26740,14657
E01020239,28083,23788,26621,26524,24846,32431,18778,16145,21480,25547
E01020240,23696,18025,20306,21501,20254,29705,25010,17114,18093,15473
E01020241,18682,24462,20704,25780,25194,18713,10740,1547,22795,28496
E01020242,32589,31637,32238,29884,27424,30341,28274,26067,31851,31432
E01020243,19267,20733,23707,24021,25436,30480,2505,6767,21746,22247
E01020244,17249,14229,12576,18922,13573,26967,30890,10262,18385,12037
E01020245,20899,26631,25399,29251,25686,21364,6706,2605,24820,26076
E01020246,18053,19909,27376,27670,27850,13971,3975,2844,14090,23651
E01020247,12326,9400,8950,14392,15758,8527,30653,12476,11975,9339
E01020248,25084,21215,21752,25665,21441,22420,18450,21371,25459,18303
E01020249,22834,20334,22285,18468,16586,14281,27832,22517,19538,20748
E01020250,24180,22689,21293,14596,21144,29456,25175,17410,28011,19322
E01020251,23571,26806,24622,25375,23438,25758,3877,17521,29939,24891
E01020252,11597,10187,9085,11601,12065,16236,10580,17692,11930,9744
E01020253,30673,25371,28946,20890,25471,31666,29178,30191,24148,18640
E01020254,11943,9732,10661,6312,12027,25072,29631,9718,12646,7675
E01020255,18699,15638,14553,14565,15846,22926,32022,15781,15036,16893
E01020256,14981,17635,18820,15330,21530,7740,5573,8520,18830,16678
E01020257,29423,27179,27401,24532,21069,25922,23545,26649,28090,22836
E01020258,21240,20538,23173,20141,27629,26425,28652,2066,17778,22359
E01020259,14612,24359,29991,26923,29399,29630,168,434,19744,27983
E01020260,26122,20878,21621,24336,20554,27808,29558,19176,15819,26876
E01020261,24140,23459,27331,28012,25097,24071,4718,16445,23721,23342
E01020262,12014,18139,18905,22638,17680,24966,498,1626,12562,24860
E01020263,19627,20092,21481,16270,15549,32261,25749,3877,26002,19254
E01020264,8960,9221,6330,14003,11476,22388,17095,1791,10063,9519
E01020265,26641,19517,19309,25128,22835,29865,27670,29327,16434,25124
E01020266,26440,24924,20806,26649,26355,23832,21384,15214,27368,24730
E01020267,21507,21058,15763,30353,20573,19114,10590,19588,24619,21527
E01020268,22138,18024,15189,26294,17530,29437,14108,30544,15213,26196
E01020269,5053,6043,3947,11200,6762,3963,22016,1494,6499,6223
E01020270,23773,20740,16198,17737,26577,28746,15818,31663,23336,21135
E01020271,11348,9997,9799,15917,11477,17621,19974,4053,13660,7123
E01020272,6797,4496,6025,7278,9247,9347,22829,7110,2311,8974
E01020273,21964,20340,22196,25765,28888,30006,15529,3591,23178,22747
E01020274,18155,29211,28582,30052,28700,21352,1418,1235,30681,29937
E01020275,12524,15005,10247,9394,15312,27294,18139,3267,15164,19042
E01020276,16508,19339,9922,11447,10298,25611,23529,24600,26758,20880
E01020277,4894,4157,3081,2151,5678,21099,19346,15688,4749,8043
E01020278,14289,22259,17923,11622,16910,28286,1595,6357,24806,19485
E01020279,12082,10774,11447,5163,15680,18594,19891,13044,8095,16813
E01020280,3424,4997,3021,6084,5111,6523,21529,363,6100,8317
E01020281,25529,26123,20893,18656,25466,26406,10843,30118,29426,26116
E01020282,7169,8383,6448,6443,7545,7133,13994,7597,15286,8347
E01020283,15254,14589,12953,9076,14328,25999,18357,13846,15211,15849
E01020284,11723,11477,9714,11135,9613,16896,29770,6147,14953,11308
E01020285,8750,7286,9234,3083,13186,21615,20155,6825,7804,7799
E01020286,8426,14441,12461,14708,16955,31373,250,508,16405,17001
E01020287,11601,21524,17741,13261,19541,25885,1002,911,23011,28112
E01020288,12394,18916,18703,12687,23581,27700,2750,550,20969,18515
E01020289,10563,20533,15735,13399,22377,30705,494,483,22384,22919
E01020290,11183,18090,18887,13942,21998,31316,114,1734,22483,17876
E01020291,11761,18098,18108,16117,22614,30131,1363,488,20043,20066
E01020292,11696,11646,16888,11113,22205,30873,8843,518,12233,16915
E01020293,10889,16191,14303,13250,18180,12004,4263,1323,15763,19389
E01020294,7334,6857,7358,5513,9263,10426,26767,3465,5568,11128
E01020295,16739,24030,24503,17033,21113,30179,1247,4668,22593,25338
E01020296,15567,22886,22236,19430,23268,30732,2618,1073,24343,25153
E01020297,5503,3714,3553,5964,5685,22246,29990,5538,8280,3970
E01020298,22749,20099,21422,14410,14504,24636,26975,25586,20388,22184
E01020299,16061,14552,10789,14237,13852,30563,15654,18873,18293,15659
E01020300,21958,22635,14866,19786,20022,28038,11918,26771,26043,26452
E01020301,14750,20246,21285,12555,24650,31114,4531,1024,23846,20551
E01020302,11777,17492,18171,13306,18072,32693,1220,1381,16509,23204
E01020303,15322,19323,22542,16058,24859,32427,3670,1143,18504,21698
E01020304,17631,14915,18440,15310,17480,17206,21414,9676,17412,12709
E01020305,10627,9712,10109,11841,12981,10941,31318,2779,8013,14741
E01020306,26257,26026,22031,14071,21974,28545,20640,31578,29438,22161
E01020307,10870,8686,8957,6971,12791,19052,20553,12155,8329,13575
E01020308,13932,20973,24131,16856,24909,31746,729,1251,21931,22058
E01020309,11811,18923,19429,14368,23644,27633,923,736,18008,21352
E01020310,10291,12778,4929,13148,13489,24137,6845,10562,19006,18458
E01020311,12700,20312,16760,15946,18929,30332,1372,1654,21969,24820
E01020312,18445,21270,20153,27160,19896,18511,5589,5999,23172,23446
E01020313,9924,7758,7219,12666,9391,24817,30805,3924,9540,10634
E01020314,12068,20348,20627,16592,23917,32002,225,1060,24120,20298
E01020315,19123,17212,19945,28691,15202,29608,9076,7643,20160,16869
E01020316,27591,30291,30187,31992,27808,29330,8945,7977,28985,31276
E01020317,22844,26882,20265,25174,20587,28989,19085,4659,27519,27467
E01020318,22443,19363,21900,25703,27434,27880,28465,3171,21129,24975
E01020319,13994,21872,22557,27676,25749,27117,844,500,17647,24916
E01020320,11337,19713,16445,23477,20384,28683,542,466,22612,21161
E01020321,12704,13844,12931,15242,19492,25913,12735,1124,19244,13283
E01020322,11665,17493,18916,18199,23713,29658,312,1180,19175,19084
E01020323,9057,15764,14865,9621,12506,11850,1092,2651,12289,21900
E01020324,15521,23340,24117,25643,22743,30567,862,1457,20033,24228
E01020325,14982,22058,25709,21765,23765,27809,1990,524,20892,24429
E01020326,17562,16645,16080,13986,24603,28796,27210,3028,15849,19795
E01020327,21198,17006,16128,15819,21213,23720,20632,28113,17051,22910
E01020328,13012,11215,9768,13164,16067,15981,20074,9806,12603,16395
E01020329,16890,15740,19998,19055,16118,17841,8919,8773,19860,13540
E01020330,12824,10750,10513,13152,19376,11920,24787,6455,14451,12628
E01020331,14479,19785,22516,21052,20818,22278,3149,894,18824,21329
E01020332,14910,14356,12883,20747,16647,14380,28982,3179,16335,15480
E01020333,25264,22777,22920,25341,24569,17111,15519,22176,18720,28595
E01020334,12797,12300,10624,12152,9604,12639,23128,14153,13884,14199
E01020335,19224,19331,11265,22269,13450,18244,27681,22447,24800,21718
E01020336,32064,31939,28150,31104,23769,32055,25739,26990,28494,32291
E01020337,11891,11384,6042,14437,12545,26513,13667,14678,17659,14529
E01020338,18484,15107,17477,15333,18712,28344,9036,20729,19983,12783
E01020339,13942,20229,22825,21246,26142,32456,909,770,22369,19154
E01020340,14842,18850,16896,17176,17902,28087,12886,882,17586,21375
E01020341,22966,28338,23490,31316,21937,26181,5901,7114,30206,27866
E01020342,14904,13490,11777,9853,11947,25778,29448,12598,14960,14497
E01032628,21216,27820,27422,27807,30730,25641,3083,3294,28430,28865
E01032657,14962,17823,24359,11831,12711,7748,15911,4807,2360,17842
E01032658,2255,2539,3431,7433,1154,2675,9297,3557,169,2113
E01033232,23467,23860,24516,12640,19516,30475,10967,25215,22994,18330
E01033233,27634,32324,32638,30411,30069,28117,1633,27327,21237,31347
E01033234,27796,25154,25658,25271,26102,29818,9798,28378,21173,26859
E01033235,28658,23563,27079,27963,23915,31806,30263,12278,24391,23530
E01033236,28005,25493,26932,29892,24611,32321,16869,12230,28894,26222
E07000040,21840,21533,20479,19663,24964,24861,17520,15924,21686,23464
E07000041,17825,18748,18910,18074,17127,16635,16382,13068,17257,18272
E07000042,17548,19218,19786,15925,24319,24815,13928,9395,20027,20668
E07000043,15630,17403,17438,14013,16469,21478,13401,12270,18454,18525
E07000044,20207,19795,20155,23399,22577,25585,15583,11582,20757,21737
E07000045,18464,18022,17586,19405,19282,21851,16824,12846,18519,19258
E07000046,12901,15677,14258,11994,16790,24227,12013,8019,16575,18618
E07000047,16613,18329,17589,19867,19690,24173,13481,7977,19034,20764
E10000008,18100,18829,18516,18043,20310,22609,15360,12098,19137,20444
E06000026,13244,14540,13254,14417,8950,14164,17416,13401,13756,16748
E06000027,11576,10858,9059,13051,9710,13245,21804,13424,11498,13676
IMDQ1,3462,4328,3594,6538,3440,5417,16049,7747,4364,6243
IMDQ2,10226,11767,11108,11526,12004,14905,17162,7820,12880,13505
IMDQ3,16528,18189,18566,17889,18762,22376,13682,9928,18552,19381
IMDQ4,23154,22602,21883,21789,21835,25162,17779,17266,23108,23312
IMDQ5,28702,27558,26472,25448,24759,27887,20315,24321,26997,27687
E02003122,23338,25685,20332,21967,13863,29703,13391,27138,24206,27203
E02003123,9568,10302,8724,7601,7519,18646,10077,20039,9946,14309
E02003124,9794,8916,8770,9571,6514,14473,11273,20073,8934,11444
E02003125,7431,9041,6146,9037,4753,7684,15324,20991,7874,13338
E02003126,13645,15208,14604,10381,9378,14986,11280,23829,15008,15666
E02003127,6303,7905,6476,5776,4409,5817,17691,16303,7158,10613
E02003128,7935,8970,7529,9276,4687,9220,13699,18010,11140,8288
E02003129,18053,18301,17709,18252,11854,20567,12274,18389,19309,19193
E02003130,7124,8131,6812,7333,5305,7361,19906,11497,5355,14829
E02003131,11671,13786,11459,7224,7607,16157,13834,17374,15196,13967
E02003132,15693,16212,13943,15880,10623,17688,23219,13695,15972,17751
E02003133,18082,19031,17115,14495,13430,16486,19303,17918,15877,22836
E02003134,5422,5418,5342,4998,5404,10303,16126,8980,4366,9779
E02003135,7101,7885,11519,5588,5201,12440,19109,8749,3527,8202
E02003136,23013,23542,18762,21455,13803,22983,25166,21331,26435,24725
E02003137,26244,26345,24365,29907,16525,17796,24363,18975,28936,23909
E02003138,23426,23438,22554,28149,17065,18626,31367,7793,24788,20136
E02003139,24105,26457,23921,20145,17105,29306,10182,21982,22997,27634
E02003140,23720,25060,22320,20950,14503,26086,23133,15802,25529,24338
E02003141,7208,8654,6923,15889,4892,7292,24840,2715,8246,11581
E02003142,6663,7449,6599,8884,5212,8011,17954,7933,6113,9481
E02003143,19019,19399,18829,15320,13288,24622,12359,20962,19894,18998
E02003144,12781,19596,20417,19280,7872,6477,12328,2539,16930,10721
E02003145,11292,13105,12785,21538,7627,11286,22469,3474,11820,14815
E02003146,11929,15146,15344,19015,9426,6846,22813,3045,12017,13975
E02003147,1092,1439,1295,3944,1318,3419,11246,5338,1883,4611
E02003148,6260,9701,13176,8711,4114,3434,10210,3533,2041,6456
E02003149,5893,9285,10227,10696,4588,3723,12407,1118,7790,7302
E02003150,3668,5554,4067,12623,2550,1998,15297,3798,6396,6047
E02003151,25475,24002,21243,24909,14866,27271,24941,25102,24443,25230
E02003152,20190,19668,17268,19948,12957,24938,21995,16186,20550,21592
E02003153,23825,24319,22596,18734,16652,25568,17113,22431,25025,24925
E02003154,7191,6459,5871,5798,6514,8419,20012,15867,3621,12276
E02003155,10283,11073,9051,15011,7975,11001,21824,8241,14660,11093
E02003156,18084,14445,15763,16820,13536,21946,20503,25741,15628,13531
E02003157,4868,4952,3970,7773,5857,5772,21689,4830,5781,7288
E02003158,10427,8126,8884,10663,9935,13419,28783,9297,8952,9534
E02003159,7093,6878,6389,9785,7115,8806,25235,4531,8019,7373
E02003161,1083,2458,920,6902,2150,353,17305,709,4745,5248
E02003163,11264,12859,7350,21723,8097,9569,17758,11086,14566,18032
E02003164,17883,16962,13301,17497,14755,20566,20944,19683,21714,17116
E02003165,13519,13181,11478,12521,12269,12913,23763,12125,12740,15346
E02003166,7331,6897,5968,5947,8177,10017,15713,16780,6027,11527
E02003167,3683,4934,2989,7547,3822,5640,19364,2738,6662,6711
E02003168,16514,14916,13710,16034,13368,17266,20577,20325,16298,14828
E02003169,23549,21113,17702,22413,16506,25245,25492,26183,20130,23849
E02003170,12596,11457,9794,13234,9251,17135,24464,13177,12294,13671
E02003171,11809,9954,8382,12136,10246,19625,22786,15547,11446,12730
E02004129,16007,23932,25456,20550,27901,29127,1038,2341,24551,24049
E02004130,16301,13888,12241,12922,17201,17037,22566,18569,15929,15244
E02004131,23897,20982,21235,16307,24973,26351,15472,29045,18670,23775
E02004132,23125,26769,25993,25244,30087,29205,9467,6476,27359,26575
E02004133,18703,18030,17249,16546,22805,21888,14605,11507,17252,22158
E02004134,19513,23747,23738,20514,27452,29975,3828,5520,23641,24544
E02004135,22897,23931,22891,24802,27699,26989,10004,9545,22374,26809
E02004136,26348,25511,22990,26426,27595,27232,17514,18525,26768,25815
E02004137,23358,25806,25037,25582,29561,25926,10012,9619,24743,27026
E02004138,21118,18093,15455,17957,20715,26705,26708,22113,18952,22095
E02004139,21314,17522,15438,15401,22422,27500,21580,25687,16683,22706
E02004140,28512,25961,25110,27398,26255,23958,24911,21059,24195,27568
E02004141,24781,24048,23295,24400,30430,28274,13538,15234,25050,24206
E02004142,25882,28037,28559,23910,30236,27242,10193,11645,26348,27470
E02004143,26234,23533,21488,17075,24217,27970,28513,29060,25566,21469
E02004144,26201,22253,21655,17619,26952,29144,24732,25594,21758,24887
E02004145,26695,23726,22954,22183,25642,25598,21852,21848,21513,27155
E02004146,17151,15312,14275,9455,20295,20528,24163,19958,17760,14842
E02004147,12472,14262,13449,13612,18511,7053,29513,2750,17188,13979
E02004148,18397,16709,13006,16145,19120,20181,21217,18181,16536,20709
E02004149,28423,30834,30644,29829,28630,27708,7625,26655,25346,29480
E02004150,13038,15581,16776,12797,12579,13176,9412,10749,14278,11320
E02004151,17751,16115,14234,14899,17793,17222,20587,19060,14879,20687
E02004152,16542,23386,24257,25554,13929,8468,15390,2429,18949,15517
E02004153,17629,16387,16858,12130,18082,19033,15760,18732,14381,20701
E02004154,19665,21876,23292,20169,18515,15148,21719,4692,20420,15630
E02004155,13263,13343,13373,11500,12754,11514,17145,12380,13720,13110
E02004156,8270,11283,11025,17427,9617,5051,11717,2189,10460,6996
E02004157,23028,24857,22720,30182,18082,19980,14527,12613,28175,20854
E02004158,13348,14399,14806,16448,13101,8024,24783,4802,17697,10107
E02004159,25879,25608,24557,20445,23863,27185,14919,22275,24571,26116
E02004160,18375,16625,16181,14182,18824,18476,16790,18534,16521,19412
E02004161,8763,8821,9234,5709,9784,13270,19770,6495,8222,10236
E02004162,20363,19473,19172,17057,19121,18773,18519,15784,19112,19146
E02004163,20786,19263,17432,19565,18789,24902,20065,16078,18215,22971
E02004164,15103,22232,25527,18064,28153,29123,4046,787,25075,22991
E02004165,23366,24682,26821,16559,28989,23435,6463,20177,22307,26799
E02004166,20524,22322,23387,23401,25890,30143,11404,6766,23893,21800
E02004167,10188,10098,9265,4398,17279,10540,21692,12449,12297,12427
E02004168,8961,9710,8431,8122,15587,12684,19616,7202,12095,11980
E02004169,22834,23418,23583,20726,26738,27974,16043,10986,24429,23485
E02004170,19655,16711,18260,10387,20629,27345,25079,17523,17069,15465
E02004171,20002,21816,22780,24119,27524,27856,13830,4163,22072,24045
E02004172,13326,19929,19427,15330,24839,30224,1976,1452,24336,20604
E02004173,16106,21860,22302,20896,27806,29679,2519,2204,22049,23140
E02004174,20029,17313,17071,12758,22858,23594,27946,15377,17979,18545
E02004175,6705,9263,7442,7010,7044,8365,14940,4341,12654,9801
E02004176,13508,15912,15876,12183,17650,20655,9761,5168,17763,19070
E02004177,9698,11231,9256,8966,10955,14377,16326,6647,13869,12636
E02004178,23287,25658,26588,20604,26108,24288,11354,11342,25660,23739
E02004179,23655,22955,24781,15947,21707,27049,18284,18460,25084,19230
E02004180,17802,23981,26791,22745,23844,24614,3942,6482,25724,24819
E02004181,16244,16746,16824,13575,13712,21757,13768,14104,17130,17110
E02004182,6485,8041,6997,6148,5425,6026,15253,12142,9813,9422
E02004183,16485,16696,13666,13802,12897,16085,22787,18052,16803,19874
E02004184,14441,14189,14292,12551,10441,17763,18659,20265,14156,14790
E02004185,21339,19568,18661,18276,17956,30202,17396,23430,19485,23171
E02004186,19609,21185,22682,16639,19683,25134,7992,18382,21384,21665
E02004187,13404,17235,18102,11965,18249,27073,12732,6518,17928,18251
E02004188,12596,18353,19149,15870,22495,30424,2502,606,22055,19538
E02004189,21938,23190,23266,19369,18162,24751,15264,16218,23899,21054
E02004190,16614,18455,18660,25441,22712,21720,11974,6484,21281,19967
E02004191,13830,10884,9270,21650,15162,16333,24236,12867,14300,13884
E02004192,20732,21715,20419,25584,26686,28101,11876,8116,22015,24091
E02004193,26672,23170,23618,23823,22899,27734,23999,24238,23496,22756
E02004194,17464,19370,23307,24675,25691,29023,5344,2944,21295,21624
E02004195,19147,17188,19208,16029,19793,23884,20393,13476,14342,19611
E02004196,21341,21270,22835,28643,24109,28728,17174,6369,21740,23773
E02004197,25266,24547,21417,27728,25200,29675,15233,14711,23862,27472
E02004198,16898,15382,14330,16748,19972,21241,14054,12499,17124,17650
E02004199,17765,21489,22719,24141,27267,31022,3569,2463,22033,24908
E02004200,21497,20711,24305,25204,25061,26679,13412,7682,20983,22129
E02004201,17335,22028,23348,22986,21564,27382,8339,3328,23539,23470
E02004202,22484,23147,22432,25193,22643,25103,19647,11012,23565,22272
E02004203,19770,23764,25549,25474,27537,27083,13014,2188,22502,25615
E02004204,21603,20699,19290,21601,20529,28302,17170,12888,21316,21116
E02004205,14960,16910,11922,17379,17490,15410,11948,11515,19219,19881
E02004206,14092,14667,11844,18071,18722,18474,11317,7455,15764,16728
E02004207,20071,19982,20102,21009,20449,27669,14408,13817,20696,21214
E02004208,24222,20948,17647,25144,22965,26227,18203,25153,22095,23959
E02004209,21204,18562,18948,15356,18112,25411,25018,19641,20187,15995
E02004210,7823,7208,6461,11793,9560,12620,20693,3700,7229,7791
E02004211,24866,23396,23130,27221,23288,28259,11593,19332,23337,25420
E02004212,20514,18949,19962,16539,20128,19380,14940,21337,18206,19415
E02004213,19524,19926,21266,20248,21428,18279,9088,13622,18876,20295
E02004214,9881,9587,11103,9466,10293,14149,26511,3868,11058,7120
E02004215,12525,12406,11758,14776,12496,7996,17903,13114,14730,12803
E02004216,17667,17557,14567,13342,18549,23902,15582,20126,14761,19847
E02004217,15159,13246,16213,15022,17326,18081,18556,7529,13539,15436
E02004218,19505,17376,19516,21173,19976,14859,21210,15375,17535,17531
E02004219,24506,21773,21712,26534,23617,32266,18341,14773,24504,21820
E02004220,12784,13114,8645,10463,11273,26592,21662,13593,16622,15166
E02004221,18083,18241,13274,15545,15769,25461,15374,20589,21695,22037
E02004222,11841,12987,9513,10376,12578,13322,15858,12307,16217,14892
E02004223,10893,11255,10502,6699,12494,21535,18708,10384,11296,13443
E02004224,14158,19542,20583,15081,22513,29826,3731,1789,20325,21743
E02004225,16218,14539,14909,11978,16245,18999,22896,13824,15495,15308
E02004226,13365,20514,20215,15600,21904,30178,1664,1272,21393,24154
E02004227,10671,15406,15431,12411,18157,21853,7078,1511,14655,18872
E02004228,11416,18370,17323,13605,21631,31137,1515,955,21234,19639
E02004229,13378,16718,15942,17404,22061,28187,10641,1483,18838,18235
E02004230,15778,13466,13583,15049,18140,17266,19012,13230,15115,16260
E02004231,14704,19313,20349,20980,22883,24794,7383,1740,18161,22837
E02004232,14093,20254,21373,19110,21582,27605,4637,840,20361,21763
E02004233,18993,17737,15571,19732,17114,20982,19917,17588,19302,20585
E02004234,19020,22980,19641,23005,19297,27852,13702,6489,22477,24362
E02004235,19336,19870,19883,25648,18703,25719,13098,6495,20522,21791
E02006840,15742,14718,12866,18217,12838,13182,27508,12837,15052,17313
