Area,March 2013 - Feb 2014,March 2014 - Feb 2015,March 2015 - Feb 2016,March 2016 - Feb 2017,March 2017 - Feb 2018
E01015231,14,15,15,13,13
E01015232,19,14,5,9,10
E01015233,13,14,10,11,15
E01015234,14,11,10,11,7
E01015235,#,#,#,#,#
E01015236,#,#,#,#,5
E01015237,9,5,6,5,#
E01015238,9,6,5,#,#
E01015239,7,6,#,6,#
E01015240,#,#,#,#,#
E01015241,8,#,#,8,#
E01015242,12,16,10,7,5
E01015243,#,#,#,#,#
E01015244,#,#,#,#,#
E01015245,#,#,6,5,5
E01015246,#,#,#,#,0
E01015247,5,6,7,#,#
E01015248,8,8,8,#,#
E01015249,8,14,5,#,7
E01015250,#,#,#,#,#
E01015251,#,#,#,#,#
E01015252,18,17,11,10,6
E01015253,12,8,8,6,5
E01015254,#,5,6,5,6
E01015255,38,31,27,18,24
E01015256,13,12,10,8,13
E01015257,19,19,14,15,10
E01015258,9,11,5,5,#
E01015259,8,7,#,7,7
E01015260,14,8,11,16,11
E01015261,18,18,17,27,30
E01015262,12,9,6,13,16
E01015263,12,12,8,6,11
E01015264,#,#,#,#,#
E01015265,7,#,5,#,#
E01015266,19,25,21,20,16
E01015267,7,6,5,7,7
E01015268,5,#,#,6,#
E01015269,#,#,0,0,#
E01015270,0,#,0,#,#
E01015271,5,#,#,#,#
E01019886,8,6,11,11,15
E01019887,7,10,9,12,10
E01019888,#,5,5,5,#
E01019889,0,#,#,5,#
E01019890,10,5,#,#,#
E01019891,#,#,#,#,#
E01019892,8,8,8,16,18
E01019893,6,8,6,6,5
E01019894,0,#,#,0,#
E01019895,#,#,#,#,#
E01019896,#,#,#,5,#
E01019897,#,#,#,5,6
E01019898,8,5,#,#,#
E01019899,5,6,#,7,#
E01019900,#,#,#,#,0
E01019901,#,#,0,#,#
E01019902,8,9,#,5,#
E01019903,9,8,9,#,#
E01019904,9,9,6,6,9
E01019905,5,#,6,6,#
E01019906,#,#,#,0,#
E01019907,12,5,#,#,#
E01019908,13,12,9,10,6
E01019909,10,5,6,5,#
E01019910,8,6,6,#,#
E01019911,#,#,#,#,#
E01019912,7,#,#,#,#
E01019913,#,#,#,#,#
E01019914,20,22,23,18,13
E01019915,7,9,6,8,8
E01019916,8,8,11,9,8
E01019917,9,12,13,14,9
E01019918,9,11,13,12,8
E01019919,14,12,9,5,7
E01019920,9,12,11,7,5
E01019921,6,7,9,8,6
E01019922,13,12,12,11,14
E01019923,16,12,11,12,11
E01019924,12,10,11,5,5
E01019925,#,#,#,5,5
E01019927,9,#,6,5,7
E01019928,9,7,8,8,8
E01019929,#,#,#,#,#
E01019930,#,#,0,#,#
E01019931,#,#,0,#,#
E01019932,11,6,5,5,5
E01019933,#,#,5,#,#
E01019934,9,#,#,#,6
E01019935,0,0,#,#,#
E01019936,#,#,0,#,#
E01019937,#,5,6,9,9
E01019938,5,#,#,#,6
E01019939,#,#,#,#,#
E01019940,#,#,#,#,0
E01019942,9,10,12,6,6
E01019943,#,#,#,5,#
E01019944,6,#,#,7,#
E01019945,5,5,#,5,7
E01019946,#,#,#,#,#
E01019947,#,#,5,7,6
E01019948,#,5,6,#,#
E01019949,0,0,#,#,#
E01019950,#,#,5,#,#
E01019951,#,#,#,9,5
E01019952,5,6,#,#,#
E01019953,8,#,#,#,#
E01019954,12,15,9,12,10
E01019955,#,#,5,5,7
E01019956,#,#,#,#,#
E01019957,#,0,#,#,#
E01019958,7,5,#,5,#
E01019959,#,5,#,#,0
E01019960,#,5,5,#,#
E01019961,5,#,6,11,5
E01019962,#,8,5,#,#
E01019963,6,#,#,#,#
E01019964,#,#,#,#,0
E01019965,#,#,#,#,#
E01019966,#,0,#,#,#
E01019967,#,0,#,#,0
E01019968,8,#,#,#,0
E01019969,5,7,#,#,#
E01019970,#,6,#,#,#
E01019971,7,5,#,#,#
E01019972,9,8,#,5,#
E01019973,7,5,#,#,#
E01019974,8,7,5,11,5
E01019975,21,13,16,24,14
E01019976,5,#,#,5,#
E01019977,6,#,5,8,5
E01019980,13,13,12,12,7
E01019981,8,9,9,6,5
E01019982,7,9,6,8,7
E01019983,8,7,#,10,#
E01019984,#,#,#,#,#
E01019985,12,16,15,11,10
E01019986,10,5,#,#,#
E01019987,7,8,6,#,#
E01019988,7,6,6,#,6
E01019989,5,#,#,#,#
E01019990,7,16,13,18,10
E01019991,14,9,8,7,10
E01019992,13,11,9,9,9
E01019993,#,#,#,#,#
E01019994,7,#,#,#,0
E01019995,13,14,11,5,#
E01019996,6,#,#,#,0
E01019997,#,#,0,0,0
E01019998,#,#,5,5,#
E01019999,#,#,#,#,0
E01020000,11,11,7,9,10
E01020001,#,#,0,#,#
E01020002,16,12,10,12,5
E01020003,7,5,6,7,#
E01020004,#,5,6,7,#
E01020005,21,23,12,12,16
E01020006,11,12,9,9,8
E01020007,#,#,#,5,#
E01020008,#,#,5,7,0
E01020009,#,#,#,#,#
E01020010,20,16,22,17,15
E01020011,#,#,7,9,7
E01020012,16,15,14,13,11
E01020013,10,8,6,6,#
E01020014,18,9,14,14,13
E01020015,32,24,20,11,8
E01020016,28,32,45,40,21
E01020017,33,32,27,24,12
E01020018,15,26,34,31,30
E01020019,#,12,13,8,5
E01020020,16,13,15,18,13
E01020021,0,#,#,#,#
E01020022,24,13,#,7,#
E01020023,#,5,7,#,#
E01020024,0,#,#,#,0
E01020025,9,#,#,#,#
E01020026,#,6,6,6,6
E01020027,5,7,6,5,5
E01020029,17,10,10,11,7
E01020030,8,7,7,7,#
E01020031,#,7,#,#,6
E01020032,16,15,8,6,#
E01020033,9,9,12,11,14
E01020035,#,#,#,7,5
E01020036,16,14,9,9,9
E01020037,14,12,10,9,10
E01020038,6,8,#,5,5
E01020039,13,9,14,16,11
E01020040,5,#,#,#,#
E01020041,18,23,16,18,11
E01020042,#,#,6,#,#
E01020043,12,9,6,8,5
E01020044,#,#,#,#,#
E01020045,#,7,5,8,6
E01020046,#,5,5,#,#
E01020047,#,#,6,5,#
E01020048,13,14,11,7,6
E01020049,#,#,#,#,#
E01020050,#,#,#,6,#
E01020051,6,8,5,#,5
E01020052,10,7,10,10,#
E01020053,17,9,6,5,5
E01020054,9,9,#,5,6
E01020055,#,7,7,7,8
E01020056,0,#,#,5,#
E01020057,10,13,12,8,8
E01020058,#,#,11,9,#
E01020059,#,#,#,9,7
E01020060,5,8,7,#,#
E01020061,10,6,8,9,8
E01020062,6,#,#,5,#
E01020063,15,13,14,17,9
E01020064,5,#,6,0,7
E01020065,18,13,9,10,6
E01020066,#,5,11,14,12
E01020067,19,16,12,12,14
E01020068,#,#,#,#,#
E01020069,#,#,8,7,5
E01020070,#,#,#,#,#
E01020071,11,8,#,#,#
E01020072,5,#,7,6,5
E01020073,17,12,6,12,14
E01020074,#,#,0,#,#
E01020075,#,#,#,#,7
E01020076,10,7,5,6,5
E01020077,5,5,#,#,#
E01020078,7,10,6,7,6
E01020079,10,5,7,11,7
E01020080,#,#,#,0,#
E01020081,#,5,#,#,#
E01020082,#,5,#,#,#
E01020083,14,14,8,11,5
E01020084,#,5,5,#,5
E01020085,6,6,#,#,#
E01020086,0,#,#,#,#
E01020087,5,10,8,7,6
E01020088,6,6,#,6,#
E01020089,6,8,7,5,7
E01020090,#,#,#,#,#
E01020091,#,#,#,#,#
E01020092,#,#,#,#,#
E01020093,#,6,#,#,#
E01020094,34,29,20,21,13
E01020095,16,15,8,9,9
E01020096,15,11,10,7,11
E01020097,#,6,5,7,#
E01020098,6,6,#,5,6
E01020099,10,#,#,#,#
E01020100,10,6,#,0,#
E01020101,#,6,5,10,6
E01020102,6,10,6,7,#
E01020103,16,14,16,9,11
E01020104,17,11,10,8,#
E01020105,5,7,#,#,#
E01020106,0,#,#,#,#
E01020107,#,#,#,#,#
E01020108,#,6,#,#,#
E01020109,#,#,#,#,#
E01020110,#,#,#,#,#
E01020111,25,17,9,6,9
E01020112,10,10,13,12,10
E01020113,21,25,21,17,17
E01020114,10,5,6,10,7
E01020115,5,#,#,#,#
E01020116,13,9,6,#,8
E01020117,7,5,#,#,#
E01020118,14,12,10,#,6
E01020119,#,#,5,#,#
E01020120,#,#,#,#,#
E01020121,9,#,#,8,#
E01020122,6,#,#,#,#
E01020123,12,7,#,7,#
E01020124,5,#,#,#,#
E01020125,#,0,0,#,#
E01020126,#,0,0,#,#
E01020127,#,#,#,#,#
E01020128,#,#,#,#,#
E01020129,12,9,10,10,6
E01020130,7,5,5,#,9
E01020131,6,8,5,7,6
E01020132,7,6,7,5,#
E01020133,0,#,6,#,#
E01020134,14,10,8,9,6
E01020135,13,8,5,#,7
E01020136,5,5,#,#,#
E01020137,14,11,10,9,5
E01020138,16,9,12,10,8
E01020139,11,10,7,9,6
E01020140,8,#,#,#,#
E01020141,16,12,19,15,14
E01020142,#,#,#,#,#
E01020143,6,6,9,#,#
E01020144,#,#,#,#,#
E01020145,7,6,6,#,#
E01020146,#,#,0,0,#
E01020147,6,5,#,#,#
E01020148,5,0,#,#,#
E01020149,8,#,5,#,8
E01020150,5,#,5,8,11
E01020151,#,#,0,0,#
E01020152,#,#,0,#,#
E01020153,#,#,#,#,#
E01020154,5,7,6,#,#
E01020155,#,#,#,5,#
E01020156,#,#,#,#,#
E01020157,#,#,6,9,5
E01020158,5,#,#,#,#
E01020159,#,#,#,#,5
E01020160,7,7,#,#,#
E01020161,12,20,18,15,18
E01020162,7,7,#,#,5
E01020163,15,7,6,#,#
E01020164,5,7,5,5,#
E01020165,8,#,#,#,#
E01020166,#,#,#,#,#
E01020167,#,#,0,#,#
E01020168,6,11,#,#,#
