Area,0 to 15,16 to 64,65 to 84,85 and over,Total
E01015185,0.11828,0.54916,0.29186,0.04071,1
E01015186,0.1496,0.57952,0.252,0.01888,1
E01015187,0.11848,0.45633,0.36425,0.06093,1
E01015188,0.13876,0.49642,0.32638,0.03844,1
E01015189,0.13644,0.59155,0.25176,0.02025,1
E01015190,0.19177,0.55172,0.23714,0.01936,1
E01015191,0.19312,0.62252,0.16803,0.01634,1
E01015192,0.2412,0.58797,0.15483,0.01599,1
E01015193,0.18003,0.56604,0.23192,0.02201,1
E01015194,0.19111,0.59873,0.19958,0.01058,1
E01015195,0.24613,0.58462,0.15002,0.01922,1
E01015196,0.31333,0.575,0.09222,0.01944,1
E01015197,0.10799,0.47826,0.36676,0.04698,1
E01015198,0.12628,0.4719,0.34381,0.05801,1
E01015199,0.08794,0.44041,0.38517,0.08648,1
E01015200,0.18235,0.52473,0.25315,0.03977,1
E01015201,0.12123,0.52711,0.29292,0.05873,1
E01015202,0.21983,0.59752,0.16112,0.02153,1
E01015203,0.17088,0.51111,0.26897,0.04904,1
E01015204,0.19873,0.60184,0.18246,0.01697,1
E01015205,0.17548,0.5673,0.22974,0.02748,1
E01015206,0.19308,0.56791,0.18975,0.04927,1
E01015207,0.2,0.60793,0.16707,0.025,1
E01015208,0.10474,0.48411,0.35383,0.05732,1
E01015209,0.15028,0.58033,0.22438,0.04501,1
E01015210,0.22369,0.61059,0.13989,0.02583,1
E01015211,0.22252,0.53431,0.21919,0.02398,1
E01015212,0.22014,0.62518,0.1446,0.01007,1
E01015213,0.23947,0.60658,0.13092,0.02303,1
E01015214,0.23499,0.653,0.09224,0.01977,1
E01015215,0.19727,0.63003,0.157,0.0157,1
E01015216,0.1909,0.6368,0.15782,0.01447,1
E01015217,0.18079,0.68616,0.11754,0.01551,1
E01015218,0.1899,0.58451,0.18519,0.0404,1
E01015219,0.10695,0.51184,0.3262,0.055,1
E01015220,0.13059,0.56349,0.27633,0.02958,1
E01015221,0.14696,0.57173,0.24633,0.03499,1
E01015222,0.14865,0.55221,0.26781,0.03133,1
E01015223,0.18126,0.60522,0.20123,0.01229,1
E01015224,0.17613,0.57991,0.20287,0.0411,1
E01015225,0.15075,0.57913,0.206,0.06412,1
E01015226,0.13959,0.52216,0.31167,0.02659,1
E01015227,0.17483,0.56293,0.21265,0.0496,1
E01015228,0.16267,0.53532,0.24303,0.05898,1
E01015229,0.13557,0.49057,0.27044,0.10342,1
E01015230,0.12186,0.49176,0.33763,0.04875,1
E01015231,0.19143,0.64592,0.13212,0.03053,1
E01015232,0.09677,0.62985,0.23182,0.04155,1
E01015233,0.14316,0.61325,0.19801,0.04558,1
E01015234,0.20772,0.63649,0.14316,0.01263,1
E01015235,0.06713,0.47636,0.36719,0.08932,1
E01015236,0.15409,0.58176,0.23648,0.02767,1
E01015237,0.20824,0.61884,0.15305,0.01987,1
E01015238,0.1862,0.5629,0.2128,0.0381,1
E01015239,0.12321,0.49022,0.28357,0.103,1
E01015240,0.09898,0.44636,0.34227,0.11239,1
E01015241,0.16722,0.57162,0.20919,0.05197,1
E01015242,0.23665,0.61647,0.13205,0.01484,1
E01015243,0.12352,0.54052,0.2974,0.03855,1
E01015244,0.1539,0.53134,0.2883,0.02646,1
E01015245,0.14253,0.51982,0.29497,0.04268,1
E01015246,0.14986,0.48365,0.27657,0.08992,1
E01015247,0.18723,0.55579,0.22854,0.02843,1
E01015248,0.17005,0.59972,0.20084,0.02939,1
E01015249,0.22366,0.60116,0.14803,0.02715,1
E01015250,0.22309,0.59883,0.15134,0.02674,1
E01015251,0.16096,0.62414,0.18493,0.02997,1
E01015252,0.2412,0.62319,0.12422,0.01139,1
E01015253,0.24149,0.65213,0.10106,0.00532,1
E01015254,0.14588,0.55288,0.25966,0.04158,1
E01015255,0.14763,0.69713,0.11248,0.04277,1
E01015256,0.11034,0.69041,0.17247,0.02678,1
E01015257,0.20532,0.61901,0.16122,0.01445,1
E01015258,0.17715,0.6272,0.18409,0.01156,1
E01015259,0.23971,0.64412,0.10441,0.01176,1
E01015260,0.16267,0.6442,0.17045,0.02268,1
E01015261,0.17368,0.64498,0.15742,0.02392,1
E01015262,0.19051,0.61305,0.17494,0.0215,1
E01015263,0.27232,0.58011,0.1292,0.01837,1
E01015264,0.12538,0.52538,0.31231,0.03692,1
E01015265,0.14296,0.50104,0.31714,0.03886,1
E01015266,0.22666,0.59608,0.15697,0.0203,1
E01015267,0.08101,0.58699,0.26428,0.06773,1
E01015268,0.06806,0.51505,0.34162,0.07526,1
E01015269,0.10294,0.53248,0.29228,0.0723,1
E01015270,0.05957,0.53676,0.34791,0.05577,1
E01015271,0.08118,0.45416,0.38978,0.07488,1
E01019886,0.18589,0.57073,0.22182,0.02156,1
E01019887,0.18612,0.5731,0.19287,0.04791,1
E01019888,0.09,0.53938,0.29813,0.0725,1
E01019889,0.17062,0.51591,0.26374,0.04974,1
E01019890,0.14929,0.53529,0.27307,0.04235,1
E01019891,0.16821,0.59565,0.20646,0.02968,1
E01019892,0.3019,0.61348,0.07315,0.01147,1
E01019893,0.23876,0.60683,0.13663,0.01778,1
E01019894,0.0786,0.37053,0.44632,0.10456,1
E01019895,0.12087,0.44452,0.35337,0.08124,1
E01019896,0.09417,0.38437,0.42729,0.09417,1
E01019897,0.20496,0.56143,0.20306,0.03055,1
E01019898,0.14996,0.51345,0.29666,0.03993,1
E01019899,0.15418,0.536,0.26036,0.04945,1
E01019900,0.12863,0.43219,0.36329,0.07589,1
E01019901,0.13943,0.53598,0.3036,0.02099,1
E01019902,0.14266,0.53214,0.27546,0.04974,1
E01019903,0.15933,0.58453,0.21769,0.03844,1
E01019904,0.18425,0.55616,0.23836,0.02123,1
E01019905,0.14346,0.59215,0.22251,0.04188,1
E01019906,0.1692,0.57502,0.2267,0.02908,1
E01019907,0.13324,0.51765,0.31379,0.03531,1
E01019908,0.24341,0.63901,0.10495,0.01264,1
E01019909,0.14178,0.49488,0.30782,0.05553,1
E01019910,0.19281,0.54481,0.23408,0.0283,1
E01019911,0.09607,0.44294,0.38233,0.07866,1
E01019912,0.10562,0.50427,0.30891,0.0812,1
E01019913,0.06587,0.33163,0.41908,0.18342,1
E01019914,0.19404,0.56342,0.20516,0.03738,1
E01019915,0.13641,0.4611,0.31285,0.08963,1
E01019916,0.19393,0.66108,0.12188,0.02311,1
E01019917,0.18379,0.63702,0.14229,0.03689,1
E01019918,0.09793,0.68394,0.18756,0.03057,1
E01019919,0.18328,0.64478,0.14746,0.02448,1
E01019920,0.17435,0.64384,0.16189,0.01993,1
E01019921,0.19054,0.57226,0.19831,0.03889,1
E01019922,0.18426,0.56759,0.21251,0.03564,1
E01019923,0.18548,0.58548,0.21129,0.01774,1
E01019924,0.20651,0.63546,0.14409,0.01394,1
E01019925,0.19877,0.59707,0.1849,0.01926,1
E01019927,0.18955,0.54758,0.20047,0.0624,1
E01019928,0.1835,0.61593,0.16643,0.03414,1
E01019929,0.18389,0.61012,0.17676,0.02922,1
E01019930,0.15193,0.53424,0.2632,0.05064,1
E01019931,0.13485,0.54915,0.26483,0.05118,1
E01019932,0.13891,0.57847,0.24534,0.03728,1
E01019933,0.14977,0.54301,0.2427,0.06452,1
E01019934,0.1144,0.51067,0.31308,0.06185,1
