Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E01015208,7,4,14,29,19,72
E01015209,9,15,29,28,20,101
E01015210,20,28,40,35,16,139
E01015211,10,11,24,22,13,80
E01015212,13,16,34,31,11,104
E01015213,9,15,22,23,9,79
E01015214,19,29,31,34,12,125
E01015215,11,14,23,25,10,82
E01015216,16,26,35,33,16,126
E01015217,31,26,37,39,15,148
E01015218,18,17,40,38,19,132
E01015219,9,12,22,29,28,100
E01015220,7,7,21,27,15,78
E01015221,8,10,21,28,15,82
E01015222,10,10,19,27,17,82
E01015223,8,8,22,25,10,74
E01015224,9,11,23,25,13,80
E01015225,11,10,23,25,14,83
E01015226,6,6,22,25,17,77
E01015227,9,11,23,28,15,87
E01015228,11,17,23,32,27,110
E01015229,14,12,31,34,36,128
E01015230,6,7,19,23,21,76
E01015231,23,28,38,47,20,156
E01015232,19,28,36,53,30,166
E01015233,17,23,33,34,22,129
E01015234,17,22,34,36,13,123
E01015235,11,13,23,38,43,129
E01015236,14,12,34,40,22,122
E01015237,11,13,23,20,9,76
E01015238,12,15,30,25,20,101
E01015239,13,16,29,36,45,138
E01015240,6,13,25,29,36,109
E01015241,15,16,29,29,21,110
E01015242,17,22,34,30,13,116
E01015243,6,8,18,25,15,71
E01015244,8,9,19,25,16,77
E01015245,11,11,20,32,23,96
E01015246,7,7,18,22,19,73
E01015247,14,19,34,43,25,135
E01015248,15,18,31,32,17,113
E01015249,13,20,35,31,15,114
E01015250,9,18,24,21,9,81
E01015251,10,9,20,21,10,70
E01015252,21,36,51,39,13,160
E01015253,17,21,33,23,7,100
E01015254,9,8,20,24,15,76
E01015255,31,24,38,43,15,151
E01015256,26,35,37,46,21,165
E01015257,21,18,34,34,14,122
E01015258,24,29,42,47,22,164
E01015259,19,23,41,32,11,125
E01015260,17,23,39,44,18,140
E01015261,24,37,46,53,25,186
E01015262,22,18,33,36,17,126
E01015263,20,29,35,35,14,133
E01015264,6,9,18,25,16,73
E01015265,13,11,25,32,26,107
E01015266,20,23,37,33,19,132
E01015267,12,20,33,50,31,146
E01015268,9,12,26,34,31,112
E01015269,9,15,29,40,30,122
E01015270,11,15,34,46,39,144
E01015271,6,6,13,27,24,76
E01019886,18,21,43,46,27,155
E01019887,9,17,22,19,13,81
E01019888,9,9,21,25,21,85
E01019889,9,13,23,25,20,91
E01019890,8,12,25,35,21,102
E01019891,9,10,24,29,11,83
E01019892,18,58,64,37,14,192
E01019893,15,19,40,39,16,128
E01019894,3,2,10,17,18,50
E01019895,3,4,12,20,15,54
E01019896,5,3,11,20,18,58
E01019897,9,10,29,20,14,82
E01019898,9,14,38,42,28,131
E01019899,9,8,18,25,16,76
E01019900,5,7,15,24,18,69
E01019901,6,8,19,25,15,73
E01019902,10,14,30,32,25,110
E01019903,11,10,35,38,20,114
E01019904,9,9,24,23,14,79
E01019905,9,7,26,30,12,85
E01019906,5,11,18,20,8,63
E01019907,5,7,17,18,12,59
E01019908,14,22,38,26,8,108
E01019909,7,6,19,23,16,70
E01019910,9,8,31,29,16,93
E01019911,3,7,12,18,17,57
E01019912,10,12,20,29,23,94
E01019913,5,4,13,23,36,81
E01019914,20,25,45,44,27,161
E01019915,10,8,23,28,26,95
E01019916,25,39,44,32,15,154
E01019917,13,13,27,27,10,89
E01019918,22,25,36,47,21,151
E01019919,19,28,39,30,14,130
E01019920,10,15,28,25,12,89
E01019921,11,11,29,24,13,88
E01019922,15,15,31,30,20,111
E01019923,6,9,21,21,11,68
E01019924,11,14,27,26,8,87
E01019925,6,8,18,15,6,53
E01019927,14,14,24,23,18,92
E01019928,9,12,24,23,10,79
E01019929,9,14,27,22,11,83
E01019930,7,14,22,22,16,79
E01019931,6,6,16,16,9,53
E01019932,19,17,36,32,25,129
E01019933,7,11,19,19,14,69
E01019934,9,13,23,29,25,101
E01019935,6,5,15,25,18,68
E01019936,5,5,15,20,15,59
E01019937,7,8,23,29,16,83
E01019938,11,13,31,45,24,124
E01019939,6,4,15,20,12,56
E01019940,5,3,16,22,14,60
E01019942,10,11,30,31,17,99
E01019943,7,6,20,20,10,63
E01019944,10,13,29,28,13,93
E01019945,23,13,32,42,19,129
E01019946,3,2,10,18,17,51
E01019947,9,13,22,28,25,97
E01019948,6,3,15,22,22,68
E01019949,4,7,13,15,15,55
E01019950,6,5,14,21,18,63
E01019951,9,8,24,40,34,115
E01019952,5,6,17,21,16,65
E01019953,8,6,16,24,24,78
E01019954,12,19,32,28,16,107
E01019955,9,9,22,26,21,87
E01019956,8,11,18,31,26,94
E01019957,5,5,7,19,24,60
E01019958,5,5,16,22,18,67
E01019959,5,7,19,21,11,63
E01019960,7,7,23,27,12,76
E01019961,14,11,36,56,30,147
E01019962,17,15,38,49,20,138
E01019963,5,7,22,23,10,66
E01019964,43,35,15,18,7,117
E01019965,5,9,22,21,11,68
E01019966,6,5,14,20,14,58
E01019967,6,6,16,26,15,69
E01019968,8,17,24,23,17,91
E01019969,8,17,23,23,10,82
E01019970,10,12,25,20,12,79
E01019971,14,33,30,20,8,105
E01019972,18,28,36,29,8,118
E01019973,10,14,26,25,13,89
E01019974,7,14,22,26,13,81
E01019975,17,22,32,23,10,104
E01019976,11,12,24,22,18,87
E01019977,10,14,28,23,12,87
E01019980,20,44,40,25,9,137
E01019981,14,22,36,31,12,115
E01019982,13,31,32,21,4,102
E01019983,7,10,19,17,9,62
E01019984,7,14,21,16,5,64
E01019985,17,24,36,29,8,114
E01019986,6,16,18,17,7,65
E01019987,33,26,25,15,10,109
E01019988,12,17,25,21,13,88
E01019989,9,24,25,12,7,77
E01019990,20,34,36,31,11,132
E01019991,18,28,37,25,10,117
E01019992,12,20,26,23,11,93
E01019993,8,9,15,19,5,56
E01019994,36,30,22,14,7,109
E01019995,68,39,36,28,21,190
E01019996,17,17,14,11,9,69
E01019997,58,21,19,10,4,112
E01019998,5,14,19,17,7,61
E01019999,18,8,13,14,6,58
E01020000,14,23,31,23,14,105
E01020001,6,9,16,17,8,56
E01020002,19,30,43,28,19,138
E01020003,11,15,27,24,18,96
E01020004,7,12,19,21,8,66
E01020005,21,24,42,31,16,133
E01020006,29,32,41,22,9,133
E01020007,66,21,14,9,3,113
E01020008,69,29,19,13,3,133
E01020009,17,22,26,19,8,93
E01020010,20,33,50,32,13,148
E01020011,9,11,19,22,14,74
E01020012,20,24,39,28,14,124
E01020013,20,26,29,25,12,114
E01020014,21,28,41,43,13,147
E01020015,27,40,52,39,14,173
E01020016,59,63,46,41,17,225
E01020017,92,60,39,22,9,223
E01020018,63,63,44,30,21,221
E01020019,115,12,7,9,9,152
E01020020,62,20,13,10,5,110
E01020021,48,20,22,16,7,114
E01020022,124,28,21,12,7,191
E01020023,12,24,44,39,16,135
E01020024,5,14,22,17,9,67
E01020025,12,33,27,17,6,94
E01020026,9,16,21,21,11,77
E01020027,12,19,27,26,11,97
E01020029,13,23,31,23,8,100
E01020030,23,52,47,31,16,168
E01020031,12,27,35,20,9,104
E01020032,15,31,31,32,11,119
E01020033,12,20,33,27,21,114
E01020035,18,35,41,27,13,134
E01020036,15,19,31,31,18,115
E01020037,19,26,36,29,16,126
E01020038,7,16,23,20,7,73
E01020039,32,40,44,46,25,186
E01020040,7,14,22,22,10,77
