Area,2011,2012,2013,2014,2015
E01015234,75,87,127,105,99
E01015235,106,87,120,115,108
E01015236,102,85,96,95,88
E01015237,62,52,74,66,62
E01015238,85,60,87,82,75
E01015239,144,105,113,115,109
E01015240,123,81,97,92,84
E01015241,81,60,96,91,86
E01015242,82,74,97,87,83
E01015243,60,51,76,72,66
E01015244,55,45,67,54,48
E01015245,32,39,58,53,47
E01015246,68,56,72,66,61
E01015247,75,65,87,71,64
E01015248,96,84,116,104,98
E01015249,50,52,73,68,63
E01015250,30,28,49,42,37
E01015251,56,42,56,51,47
E01015252,61,58,83,67,58
E01015253,20,21,36,29,25
E01015254,61,46,60,54,48
E01015255,205,164,188,195,189
E01015256,164,143,172,189,182
E01015257,52,52,77,70,63
E01015258,120,109,114,117,111
E01015259,90,77,112,107,102
E01015260,145,141,181,141,134
E01015261,186,142,160,138,129
E01015262,73,78,86,78,74
E01015263,54,67,87,82,77
E01015264,44,33,51,44,39
E01015265,58,44,61,54,49
E01015266,66,95,103,87,81
E01015267,129,98,119,130,124
E01015268,80,64,81,80,72
E01015269,93,80,98,90,84
E01015270,64,56,92,85,78
E01015271,59,46,57,61,55
E01019886,90,133,134,145,137
E01019887,51,56,64,58,53
E01019888,107,82,98,99,92
E01019889,64,57,69,57,52
E01019890,92,97,117,117,110
E01019891,70,99,115,145,139
E01019892,47,54,81,97,91
E01019893,60,77,87,103,96
E01019894,78,66,89,89,82
E01019895,89,78,88,84,78
E01019896,81,72,78,81,75
E01019897,57,60,77,75,69
E01019898,86,95,119,126,118
E01019899,66,65,74,65,59
E01019900,86,87,99,96,89
E01019901,77,112,111,138,131
E01019902,44,56,62,75,67
E01019903,80,98,138,141,135
E01019904,43,46,63,60,55
E01019905,25,27,41,32,24
E01019906,41,32,51,42,36
E01019907,50,37,56,48,43
E01019908,23,26,43,38,31
E01019909,70,54,79,68,62
E01019910,77,75,94,83,77
E01019911,72,49,64,56,49
E01019912,93,78,92,93,86
E01019913,37,31,45,46,40
E01019914,69,97,112,114,103
E01019915,63,59,71,68,63
E01019916,156,150,204,202,195
E01019917,98,88,131,125,119
E01019918,153,138,160,161,154
E01019919,122,114,148,134,126
E01019920,39,41,60,52,47
E01019921,63,52,81,72,67
E01019922,59,71,84,85,80
E01019923,37,41,55,50,46
E01019924,35,47,76,64,58
E01019925,31,29,47,42,37
E01019927,43,48,59,64,58
E01019928,45,44,54,53,48
E01019929,32,28,47,40,35
E01019930,28,26,35,26,21
E01019931,17,15,27,20,15
E01019932,69,80,88,91,85
E01019933,49,44,57,53,48
E01019934,52,43,58,51,46
E01019935,54,71,83,123,117
E01019936,46,54,73,78,74
E01019937,70,69,81,70,62
E01019938,93,135,174,223,214
E01019939,40,49,56,53,48
E01019940,49,54,57,54,49
E01019942,58,55,78,72,67
E01019943,56,50,66,63,58
E01019944,90,71,100,101,95
E01019945,96,100,122,159,152
E01019946,56,45,56,46,40
E01019947,118,110,115,107,100
E01019948,48,31,54,53,47
E01019949,36,28,40,26,20
E01019950,51,54,61,54,49
E01019951,114,123,107,97,90
E01019952,77,58,76,69,60
E01019953,67,58,70,65,60
E01019954,44,45,59,51,46
E01019955,84,83,97,91,84
E01019956,118,104,113,105,98
E01019957,84,67,74,71,64
E01019958,89,72,95,83,76
E01019959,52,67,89,121,117
E01019960,53,72,83,119,114
E01019961,109,140,156,188,179
E01019962,61,90,121,189,181
E01019963,48,50,52,39,34
E01019964,39,48,45,47,41
E01019965,105,99,105,92,87
E01019966,49,59,71,73,69
E01019967,66,98,106,126,121
E01019968,41,38,56,50,44
E01019969,36,38,72,58,53
E01019970,24,22,43,35,30
E01019971,47,47,80,75,69
E01019972,73,66,92,81,76
E01019973,58,52,78,72,67
E01019974,60,58,75,64,59
E01019975,79,89,100,83,77
E01019976,52,41,55,46,41
E01019977,63,54,77,68,60
E01019980,23,30,52,67,62
E01019981,41,55,75,72,66
E01019982,29,34,52,45,40
E01019983,51,46,65,62,56
E01019984,30,24,46,43,37
E01019985,31,51,63,63,58
E01019986,76,57,79,74,69
E01019987,85,88,105,108,100
E01019988,71,52,68,63,60
E01019989,74,54,76,80,76
E01019990,31,60,90,74,69
E01019991,48,62,86,76,70
E01019992,64,65,74,64,59
E01019993,26,20,37,35,31
E01019994,110,99,127,134,129
E01019995,78,128,133,148,142
E01019996,98,84,93,91,86
E01019997,153,151,177,151,146
E01019998,44,40,64,66,59
E01019999,68,58,72,74,70
E01020000,38,57,83,75,70
E01020001,25,27,56,39,33
E01020002,44,44,62,59,53
E01020003,67,51,66,58,53
E01020004,41,33,53,48,43
E01020005,66,74,95,80,74
E01020006,104,126,149,140,132
E01020007,204,155,185,183,179
E01020008,200,172,209,212,205
E01020009,117,85,102,95,90
E01020010,74,114,113,87,80
E01020011,52,46,61,61,57
E01020012,45,56,76,77,72
E01020013,68,73,81,72,67
E01020014,58,104,119,85,80
E01020015,65,139,151,122,115
E01020016,80,129,112,124,115
E01020017,240,203,197,192,183
E01020018,109,136,144,137,130
E01020019,176,180,172,171,166
E01020020,161,142,169,147,142
E01020021,145,114,116,120,116
E01020022,132,132,126,126,121
E01020023,92,71,81,72,65
E01020024,87,68,74,80,74
E01020025,103,83,120,126,119
E01020026,58,45,66,61,56
E01020027,42,57,77,67,61
E01020029,82,75,113,108,103
E01020030,117,108,157,143,136
E01020031,70,61,108,95,89
E01020032,92,67,91,89,84
E01020033,75,60,77,71,64
E01020035,51,48,63,59,52
E01020036,44,44,68,62,54
E01020037,38,61,82,68,62
E01020038,48,40,61,53,48
E01020039,37,79,102,98,90
E01020040,47,47,65,63,57
E01020041,95,107,126,117,110
E01020042,50,40,56,52,47
E01020043,86,94,117,112,105
