Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E01015111,10,15,10,15,10,10,15,10,10,15,10,10,10,15,10
E01015112,5,5,10,5,10,15,15,15,20,20,15,20,20,10,10
E01015113,5,10,5,5,10,10,10,15,10,15,20,15,20,20,15
E01015114,10,5,15,10,15,10,15,15,10,15,15,10,15,10,5
E01015115,5,10,5,10,10,10,15,15,15,10,10,15,10,15,15
E01015116,10,15,15,15,15,15,10,10,15,20,20,15,20,20,15
E01015117,10,10,10,10,15,15,15,15,15,15,15,20,15,20,15
E01015118,5,5,5,5,5,10,5,5,10,10,5,5,10,10,10
E01015119,5,10,10,15,15,10,10,10,10,10,10,15,15,20,10
E01015120,5,5,10,10,5,10,10,20,20,20,15,20,15,15,20
E01015121,5,5,10,0,5,0,5,5,5,10,5,10,10,10,10
E01015122,10,10,10,10,10,5,10,10,15,15,15,15,15,15,10
E01015123,5,10,5,10,10,5,15,15,10,15,15,15,10,15,10
E01015124,0,5,5,0,5,5,5,10,10,10,10,10,10,10,10
E01015125,5,5,10,10,10,10,15,10,5,5,15,15,15,15,10
E01015126,5,5,5,0,5,5,5,10,10,5,5,10,5,5,10
E01015127,10,10,15,20,15,15,15,15,20,15,15,15,15,15,15
E01015128,10,5,5,5,5,5,10,10,10,10,10,15,15,15,10
E01015129,5,10,10,15,15,15,15,15,10,15,15,15,15,15,5
E01015130,0,5,5,10,10,5,5,10,10,10,15,15,15,15,15
E01015131,0,0,0,5,5,5,5,0,10,5,5,10,10,5,10
E01015132,10,15,10,10,10,10,15,10,15,10,15,15,15,15,15
E01015133,5,5,5,10,10,10,10,15,15,10,10,10,15,15,10
E01015134,5,5,10,10,5,5,10,10,10,15,10,10,20,15,10
E01015135,10,5,10,10,15,10,10,15,20,15,20,20,15,20,20
E01015136,5,10,10,5,10,10,10,15,10,15,10,20,15,20,15
E01015137,10,10,10,10,10,15,15,15,15,15,15,20,15,10,10
E01015138,5,5,0,10,5,10,5,5,10,10,10,10,10,5,5
E01015139,10,5,5,10,15,15,10,10,15,10,20,20,20,25,15
E01015140,10,5,10,10,10,10,15,15,15,10,10,5,10,10,5
E01015141,10,5,5,5,5,10,10,10,10,20,20,15,15,15,10
E01015142,10,15,20,15,15,10,10,5,10,10,15,10,10,10,15
E01015143,15,10,10,15,15,15,15,15,10,15,15,20,20,20,10
E01015144,10,10,15,15,15,15,25,25,25,25,25,25,30,30,20
E01015145,10,10,10,15,15,20,15,15,15,15,15,20,30,30,25
E01015146,10,15,25,25,20,25,25,35,35,25,30,30,35,35,25
E01015147,10,10,10,5,10,10,15,15,15,15,10,15,15,15,10
E01015148,15,15,10,10,10,10,15,25,25,20,30,20,15,20,15
E01015149,10,10,10,15,15,20,25,30,35,35,40,35,40,35,25
E01015150,5,5,15,10,10,5,10,10,10,10,10,10,15,15,10
E01015151,5,5,5,10,15,10,15,15,15,20,20,20,20,25,20
E01015152,5,10,10,10,10,15,15,10,15,15,25,15,25,20,15
E01015153,5,15,15,15,15,20,20,25,15,10,15,25,15,20,20
E01015155,15,15,15,10,15,15,20,25,25,30,35,25,35,35,25
E01015156,10,10,5,5,5,5,5,10,5,10,10,10,10,10,15
E01015157,5,5,5,5,5,10,15,15,15,20,20,20,20,20,15
E01015158,0,5,10,15,15,10,10,20,15,15,30,30,25,25,20
E01015159,15,15,15,15,15,15,15,10,15,15,20,15,15,15,10
E01015160,5,5,5,15,10,10,10,10,15,15,10,15,15,15,10
E01015161,20,20,15,20,25,25,20,20,15,20,20,25,20,20,20
E01015162,15,10,15,10,15,15,20,25,25,25,25,25,25,25,15
E01015163,10,10,5,10,10,15,15,15,20,20,15,20,15,15,15
E01015164,15,20,20,20,20,20,20,20,15,25,25,25,20,20,20
E01015165,5,10,10,5,10,10,10,15,10,15,20,10,15,15,15
E01015166,20,20,15,15,15,20,20,20,20,15,10,20,25,30,25
E01015167,5,5,10,10,15,15,15,20,15,20,20,20,20,15,15
E01015168,5,5,10,15,10,15,15,15,20,25,20,25,25,25,20
E01015169,5,10,5,5,5,5,10,5,15,10,10,20,20,25,10
E01015170,5,5,10,15,10,15,15,15,15,10,20,25,25,20,20
E01015171,10,5,5,10,10,10,10,10,10,15,20,20,20,15,20
E01015172,5,5,5,5,10,15,5,10,10,15,15,20,20,15,15
E01015173,5,5,10,10,10,10,10,10,10,20,20,25,20,15,15
E01015174,15,10,10,20,20,20,20,15,15,20,25,25,30,25,20
E01015175,5,10,5,5,5,5,5,10,10,10,15,10,15,10,10
E01015176,10,10,10,10,15,20,25,30,35,25,25,20,25,20,15
E01015177,10,10,10,10,15,15,10,15,15,15,15,15,15,20,15
E01015178,5,5,10,10,15,10,15,15,15,10,10,10,15,15,5
E01015179,5,5,5,5,5,0,10,10,10,10,10,5,5,5,5
E01015180,10,15,15,15,10,10,15,15,20,20,25,30,20,30,25
E01015181,10,5,5,10,10,20,10,15,25,20,30,20,15,25,20
E01015182,15,15,15,20,15,15,20,20,30,25,40,35,40,40,25
E01015183,15,5,10,10,10,10,15,15,15,15,15,10,15,15,15
E01015184,5,5,5,10,0,10,5,5,10,10,10,10,5,10,5
E01015185,10,10,10,15,15,10,15,15,15,15,15,15,20,10,5
E01015186,0,5,10,5,15,15,15,15,15,10,10,20,15,10,10
E01015187,5,0,5,5,10,10,5,10,15,15,20,20,15,10,15
E01015188,0,5,5,10,10,15,20,20,15,10,10,20,15,15,10
E01015189,10,10,5,10,10,10,5,10,10,10,5,10,10,10,10
E01015190,10,5,15,15,15,20,20,20,25,25,20,30,25,25,20
E01015191,5,5,10,15,15,5,5,10,20,25,20,15,25,20,15
E01015192,10,10,10,10,10,15,15,15,30,25,30,25,30,25,25
E01015193,10,10,5,10,10,10,10,10,20,15,20,20,20,15,15
E01015194,5,5,10,5,10,5,10,15,25,15,15,15,20,20,20
