Area,2011,2012,2013,2014,2015
E01015113,0.020152034,0.017514282,0.021489358,0.019545574,0.018675323
E01015114,0.023036902,0.020106005,0.02229402,0.022386333,0.021344786
E01015115,0.019889891,0.020440095,0.022240147,0.021987563,0.021259021
E01015116,0.017626603,0.016230814,0.021005396,0.02009726,0.018738305
E01015117,0.018614284,0.018028465,0.022134144,0.021653519,0.020289708
E01015118,0.021783236,0.018590857,0.021099995,0.019534602,0.018771466
E01015119,0.015359475,0.014601469,0.018243558,0.017501598,0.016517097
E01015120,0.023413739,0.020860748,0.02293114,0.021576101,0.020981098
E01015121,0.020667826,0.017681475,0.02187334,0.019948024,0.019042666
E01015122,0.022228006,0.018760494,0.02229824,0.021317928,0.020460641
E01015123,0.020421853,0.016633008,0.01918965,0.018327858,0.017429189
E01015124,0.020598569,0.018184751,0.020905137,0.020169486,0.019530318
E01015125,0.019173322,0.017922513,0.022550612,0.021544363,0.020777691
E01015126,0.022402987,0.018504115,0.021938784,0.020349844,0.01952893
E01015127,0.022930693,0.020667826,0.02415875,0.022265063,0.021191044
E01015128,0.016720914,0.015088997,0.018569101,0.016097112,0.015191855
E01015129,0.011909209,0.013625898,0.018482772,0.014311952,0.013165701
E01015130,0.022552631,0.01950563,0.023606994,0.024123498,0.023491304
E01015131,0.018057737,0.014254273,0.015930107,0.014715201,0.013496884
E01015132,0.020264044,0.018256108,0.021330873,0.019936081,0.019227436
E01015133,0.019751848,0.015841635,0.019863035,0.018780536,0.017893988
E01015134,0.023168785,0.018260289,0.019913066,0.019244295,0.017937288
E01015135,0.023676536,0.021972305,0.023031902,0.021972659,0.021324511
E01015136,0.028125607,0.023755813,0.025193402,0.022983757,0.022196633
E01015137,0.021418183,0.019152178,0.02229683,0.02144865,0.020734201
E01015138,0.016712798,0.016572928,0.021600534,0.018034861,0.01690025
E01015139,0.02169586,0.019795931,0.023065446,0.022396955,0.021459592
E01015140,0.02330513,0.018462083,0.022215595,0.021568574,0.020951073
E01015141,0.017561318,0.014193904,0.017726821,0.016216126,0.014873158
E01015142,0.020658601,0.018428794,0.021674555,0.02103728,0.020220519
E01015143,0.021975368,0.021165786,0.023896062,0.021969358,0.021205663
E01015144,0.024716507,0.027674976,0.030551764,0.02874574,0.028207163
E01015145,0.010761311,0.021114672,0.024441242,0.026008547,0.025569847
E01015146,0.01762665,0.022192271,0.023462414,0.022798002,0.02216552
E01015147,0.02700195,0.024912716,0.027783777,0.026200357,0.025205356
E01015148,0.016008981,0.016446592,0.018464896,0.017325878,0.016422195
E01015149,0.018021627,0.02809392,0.029228458,0.02813007,0.027657909
E01015150,0.023175108,0.021877647,0.024357128,0.022123401,0.021341869
E01015151,0.026237298,0.026353763,0.026896174,0.027314125,0.027059181
E01015152,0.010212654,0.016456055,0.019591757,0.018802998,0.018153542
E01015153,0.020712686,0.021796092,0.022757744,0.022189817,0.021712853
E01015155,0.013698123,0.017655164,0.019467591,0.019605456,0.019159818
E01015156,0.016074569,0.022074701,0.023267457,0.023484017,0.022864072
E01015157,0.018206354,0.017399328,0.017167814,0.018536818,0.018029002
E01015158,0.015996063,0.015744962,0.018034376,0.018058461,0.017659926
E01015159,0.017339325,0.018593632,0.021868523,0.019861616,0.019101215
E01015160,0.017369535,0.015710448,0.019313324,0.017655645,0.016636802
E01015161,0.018581737,0.019008902,0.022625219,0.022625219,0.021753145
E01015162,0.019542431,0.021544363,0.024262366,0.023288623,0.022619094
E01015163,0.021014117,0.021026055,0.022948546,0.022296337,0.02127371
E01015164,0.019155662,0.017433188,0.019789093,0.020548704,0.019599955
