Area,Low happiness score,Low worthwhile score,Low life satisfaction score
E92000001,,,
E12000009,,,
E01015023,33,24,31
E01015024,29,20,24
E01015025,21,13,16
E01015026,35,28,33
E01015027,25,16,20
E01015028,36,28,35
E01015029,28,18,22
E01015030,35,28,33
E01015031,28,20,23
E01015032,29,21,23
E01015033,25,14,18
E01015034,24,15,17
E01015035,27,17,22
E01015036,28,18,21
E01015037,29,20,25
E01015038,26,17,21
E01015039,31,23,27
E01015040,34,25,32
E01015041,32,24,28
E01015042,32,24,29
E01015043,36,29,34
E01015044,32,24,29
E01015045,37,31,35
E01015046,38,31,36
E01015047,37,30,36
E01015048,36,30,34
E01015049,28,18,21
E01015050,30,20,22
E01015051,29,18,20
E01015052,31,23,26
E01015053,33,26,29
E01015054,31,22,24
E01015055,34,24,30
E01015056,29,21,25
E01015057,34,26,31
E01015058,35,26,33
E01015059,32,22,28
E01015060,32,23,29
E01015061,31,23,27
E01015062,30,20,24
E01015063,33,24,29
E01015064,25,15,19
E01015065,28,19,22
E01015066,29,19,24
E01015067,25,16,20
E01015068,28,18,23
E01015069,34,25,30
E01015070,31,21,26
E01015071,30,22,26
E01015072,34,24,31
E01015073,33,24,31
E01015074,35,26,32
E01015075,34,26,31
E01015076,30,21,25
E01015077,30,22,27
E01015078,37,28,36
E01015079,28,18,23
E01015080,36,26,35
E01015081,35,26,32
E01015082,35,26,33
E01015083,35,27,33
E01015084,31,21,27
E01015085,30,21,26
E01015086,35,27,33
E01015087,34,24,32
E01015088,37,28,35
E01015089,31,22,26
E01015090,29,19,24
E01015091,28,18,23
E01015092,32,22,26
E01015093,34,25,30
E01015094,32,22,28
E01015095,32,23,28
E01015096,33,24,31
E01015097,26,17,21
E01015098,28,19,23
E01015099,27,18,22
E01015100,27,17,21
E01015101,24,15,18
E01015102,30,21,25
E01015103,29,19,23
E01015104,27,16,20
E01015105,27,17,21
E01015106,30,20,24
E01015107,27,17,23
E01015108,28,18,22
E01015109,28,18,22
E01015110,25,15,18
E01015111,27,17,20
E01015112,27,17,21
E01015113,27,17,22
E01015114,27,17,22
E01015115,34,26,31
E01015116,27,17,22
E01015117,28,18,23
E01015118,27,16,21
E01015119,27,16,20
E01015120,27,17,21
E01015121,27,17,21
E01015122,27,16,21
E01015123,27,19,23
E01015124,27,18,22
E01015125,27,16,21
E01015126,25,15,19
E01015127,28,18,22
E01015128,28,18,23
E01015129,30,21,24
E01015130,26,16,19
E01015131,23,14,17
E01015132,28,18,23
E01015133,24,14,18
E01015134,26,17,20
E01015135,28,19,24
E01015136,27,17,21
E01015137,28,18,23
E01015138,28,18,22
E01015139,30,20,26
E01015140,27,18,20
E01015141,25,16,20
E01015142,28,20,23
E01015143,31,21,27
E01015144,33,25,31
E01015145,38,30,38
E01015146,35,25,33
E01015147,29,19,24
E01015148,32,23,28
E01015149,36,27,34
E01015150,30,22,26
E01015151,35,28,33
E01015152,40,34,39
E01015153,36,30,35
E01015155,40,35,40
E01015156,36,31,33
E01015157,33,26,29
E01015158,32,27,28
E01015159,33,25,30
E01015160,25,16,20
E01015161,32,23,29
E01015162,35,25,32
E01015163,30,19,24
E01015164,29,19,23
E01015165,29,19,23
E01015166,33,23,29
E01015167,32,24,28
E01015168,31,23,27
E01015169,29,19,23
E01015170,34,26,31
E01015171,31,23,27
E01015172,29,20,24
E01015173,26,18,21
E01015174,31,21,26
E01015175,29,20,25
E01015176,33,23,29
E01015177,29,20,24
E01015178,28,18,22
E01015179,29,20,23
E01015180,35,28,32
E01015181,32,24,27
E01015182,33,25,30
E01015183,28,19,23
E01015184,27,19,22
E01015185,30,22,26
E01015186,32,25,29
E01015187,27,19,22
E01015188,29,20,25
E01015189,31,22,26
E01015190,27,17,21
E01015191,27,17,22
E01015192,30,21,25
E01015193,29,20,25
E01015194,31,22,28
E01015195,29,20,24
E01015196,35,27,34
E01015197,23,14,18
E01015198,26,17,21
E01015199,24,15,19
E01015200,29,20,25
E01015201,25,16,19
E01015202,29,19,24
E01015203,24,16,20
E01015204,29,20,24
E01015205,28,19,24
E01015206,30,21,26
E01015207,28,18,22
E01015208,23,15,18
E01015209,28,22,24
E01015210,31,23,27
E01015211,26,16,20
E01015212,30,21,26
E01015213,29,19,24
E01015214,31,23,27
E01015215,29,20,24
E01015216,31,23,27
E01015217,33,26,30
E01015218,30,21,26
E01015219,30,23,26
E01015220,27,18,22
E01015221,29,20,25
E01015222,27,18,22
E01015223,27,17,21
E01015224,27,18,22
E01015225,28,19,23
E01015226,24,15,18
E01015227,25,15,19
E01015228,29,22,25
E01015229,30,23,26
E01015230,25,16,20
E01015231,35,29,32
E01015232,31,25,28
E01015233,32,25,29
E01015234,33,24,29
E01015235,29,24,26
