Area,16 to 24
E01019929,0.065517588
E01019930,0.081900356
E01019931,0.086148438
E01019932,0.078348387
E01019933,0.076713725
E01019934,0.086548458
E01019935,0.067660317
E01019936,0.068871698
E01019937,0.06420283
E01019938,0.056189696
E01019939,0.066577703
E01019940,0.067402036
E01019942,0.086698718
E01019943,0.065228296
E01019944,0.077873016
E01019945,0.065523316
E01019946,0.085699153
E01019947,0.098556468
E01019948,0.085760638
E01019949,0.095688144
E01019950,0.068824281
E01019951,0.078507463
E01019952,0.089078723
E01019953,0.073793981
E01019954,0.06838796
E01019955,0.078967568
E01019956,0.115109375
E01019957,0.105008671
E01019958,0.086708502
E01019959,0.051675926
E01019960,0.054515625
E01019961,0.069538889
E01019962,0.062778689
E01019963,0.075083916
E01019964,0.060556098
E01019965,0.067012308
E01019966,0.05322541
E01019967,0.058354244
E01019968,0.079107034
E01019969,0.058427027
E01019970,0.103827434
E01019971,0.105981132
E01019972,0.05811215
E01019973,0.073995984
E01019974,0.07218254
E01019975,0.061503759
E01019976,0.117504373
E01019977,0.074762332
E01019980,0.0555625
E01019981,0.060109756
E01019982,0.049727273
E01019983,0.048137795
E01019984,0.044757143
E01019985,0.059702479
E01019986,0.077162896
E01019987,0.094296875
E01019988,0.100721116
E01019989,0.115711111
E01019990,0.048152778
E01019991,0.068735537
E01019992,0.091165179
E01019993,0.0655
E01019994,0.062992248
E01019995,0.114157895
E01019996,0.140370166
E01019997,0.065846154
E01019998,0.064960396
E01019999,0.081789773
E01020000,0.089590426
E01020001,0.048789916
E01020002,0.0897
E01020003,0.07802454
E01020004,0.076106557
E01020005,0.075320197
E01020006,0.060466667
E01020007,0.057457627
E01020008,0.086818182
E01020009,0.076482517
E01020010,0.070685083
E01020011,0.062839844
E01020012,0.081232044
E01020013,0.07863871
E01020014,0.059694268
E01020015,0.067318471
E01020016,0.074315789
E01020017,0.087634146
E01020018,0.090490566
E01020019,0.129724719
E01020020,0.116068182
E01020021,0.094298013
E01020022,0.094746835
E01020023,0.077410169
E01020024,0.098907749
E01020025,0.078945313
E01020026,0.057869281
E01020027,0.056656716
E01020029,0.067638554
E01020030,0.12182439
E01020031,0.073850267
E01020032,0.073923567
E01020033,0.0870798
E01020035,0.048912351
E01020036,0.079602564
E01020037,0.074251497
E01020038,0.056222727
E01020039,0.087808664
E01020040,0.075207921
E01020041,0.070816
E01020042,0.077585366
E01020043,0.072792254
E01020044,0.070972603
E01020045,0.073934066
E01020046,0.04758547
E01020047,0.092109705
E01020048,0.075116279
E01020049,0.069700787
E01020050,0.070196617
E01020051,0.072604706
E01020052,0.085392226
E01020053,0.052719457
E01020054,0.062298561
E01020055,0.106644172
E01020056,0.059912651
E01020057,0.062297297
E01020058,0.060713287
E01020059,0.054536585
E01020060,0.103295652
E01020061,0.080774775
E01020062,0.078841509
E01020063,0.079908397
E01020064,0.072933054
E01020065,0.062526829
E01020066,0.05087013
E01020067,0.066485876
E01020068,0.070613475
E01020069,0.052024
E01020070,0.064031977
E01020071,0.069634146
E01020072,0.056496094
E01020073,0.071521994
E01020074,0.058580547
E01020075,0.0657
E01020076,0.051658436
E01020077,0.054436441
E01020078,0.103330097
E01020079,0.062558685
E01020080,0.064917323
E01020081,0.054384259
E01020082,0.05519697
E01020083,0.050687296
E01020084,0.071568182
E01020085,0.056226415
E01020086,0.055638989
E01020087,0.056758186
E01020088,0.065209497
