Area,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E01015089,2290.469467,2328.059063,2160.183781,2035.455235,2280.148462,2487.718041
E01015090,2901.819894,2757.033388,2896.353123,2452.614575,2698.332611,2719.910626
E01015091,2463.86782,2615.426565,2831.039714,2615.988952,2897.771725,2960.878952
E01015092,2629.459009,2778.251058,2623.440389,2430.024493,2501.498676,2661.379164
E01015093,2813.457208,2896.033466,2937.431302,2837.741943,2899.827746,2803.002158
E01015094,3026.909983,2988.867149,2933.59428,2805.104267,2743.059556,2932.142602
E01015095,2887.082223,3140.861122,2854.63312,2735.689446,2849.38759,2949.936594
E01015096,2881.772413,2888.24286,2935.176085,2727.111568,2748.22469,2607.792285
E01015097,2491.846464,2088.669575,2206.685314,1984.049812,1939.112902,2225.909456
E01015098,2163.918085,2126.442095,2051.07891,1979.803608,2130.566647,2184.284055
E01015099,2119.217109,2030.947856,2006.437472,1852.234914,1953.038806,2124.578848
E01015100,2182.364289,2311.202365,2200.999642,2062.037817,2252.166532,2337.119615
E01015101,2250.850307,2256.319692,1995.10017,1856.066825,1984.746944,2030.873412
E01015102,2298.32018,2135.96154,2124.071021,2047.93631,2217.811891,2212.001128
E01015103,2279.880809,2209.856716,2270.132175,2123.799903,2350.081175,2367.575913
E01015104,2084.867615,1963.992906,2023.424458,1955.946116,2107.039646,2138.575551
E01015105,2107.167929,2137.13752,1912.350724,1842.428,2006.317456,2115.100692
E01015106,2307.14288,2393.53569,2297.779663,2142.891262,2301.581232,2576.627715
E01015107,2381.873736,2258.465969,2365.794684,2209.885224,2327.535893,2414.126441
E01015108,1837.049697,1996.766862,1959.12624,1841.607022,1889.5945,1876.024156
E01015109,2546.018948,2259.504997,2583.583752,2392.346567,2419.773133,2546.469595
E01015110,2139.078384,2139.196686,2036.281648,1986.351794,2135.779134,2127.852475
E01015111,2097.306119,1962.510824,2118.74334,2076.30884,2177.328811,2310.166662
E01015112,2406.658164,2434.887875,2345.528207,2218.013075,2347.216733,2385.850249
E01015113,2205.270727,2161.92149,2196.957178,2072.74166,2192.751617,2153.292508
E01015114,2211.772248,2103.605075,1869.235806,1714.453228,1875.990093,1930.818294
E01015115,2636.207139,2580.123386,2443.117249,2284.268071,2530.022067,2354.037532
E01015116,2217.478789,2486.310059,2171.975189,2099.479055,2318.727253,2310.307757
E01015117,2463.003754,2255.207317,2254.080637,2128.308685,2313.88574,2410.285873
E01015118,2278.136935,2030.126346,2011.454972,1926.092578,2144.657071,2169.381361
E01015119,1990.885254,1963.618989,2012.061422,1916.236851,2028.769554,2075.094501
E01015120,2172.626678,2271.218639,2208.562772,2115.905053,2121.611955,2130.89086
E01015121,2111.086733,2164.348685,2076.821247,2084.240051,2156.041887,2261.845296
E01015122,2567.944967,2210.939226,2116.366255,1934.067282,1993.941737,2020.459989
E01015123,1923.081794,2121.677226,2072.04052,1852.565634,1968.777797,1966.668393
E01015124,2131.585304,2241.026813,2279.665314,2177.006059,2333.617388,2164.588359
E01015125,2219.718652,2215.539939,2021.938074,1986.694887,2301.307254,2341.820039
E01015126,1917.488031,2152.946734,2069.298013,1903.631195,1943.401165,1926.739687
E01015127,2167.386489,2241.237606,2059.93524,1902.194374,2143.252979,2231.027848
E01015128,1873.251558,1796.498201,1870.177104,1754.992667,1958.465406,2160.216652
E01015129,2266.055131,2330.091948,2301.543333,2229.140259,2217.217554,2375.22952
E01015130,2251.895042,2008.036363,1973.111639,1828.872651,1977.660643,2003.755298
E01015131,2244.256262,1999.697615,1732.656277,1620.766089,1706.624389,1688.493227
E01015132,2084.376846,2457.806103,2040.621162,1924.125724,2164.291878,2286.770802
E01015133,2105.739478,2057.579347,1922.047209,1691.681625,1998.365412,2107.739689
E01015134,2040.48471,2009.416995,1883.302626,1804.893667,1891.103264,2042.762526
E01015135,2327.39996,2340.40794,2474.330676,2321.814718,2492.735502,2522.432057
E01015136,2136.591229,1897.636739,2059.103529,1885.224245,2042.423502,2169.247556
E01015137,1943.965035,2067.608882,1979.992943,1751.156659,2081.188712,2091.282295
E01015138,2482.457156,2190.503988,2134.957347,1972.263455,2210.235518,2164.203757
E01015139,2532.64711,2453.31575,2472.718449,2300.210839,2551.692533,2668.436879
E01015140,2297.033806,2125.541796,2204.89261,2086.366754,2128.460703,2104.897938
E01015141,2207.071996,1948.424555,2018.684031,1869.083684,1998.1181,2051.555765
E01015142,2658.969404,2607.099991,2291.396008,2223.839436,2438.711251,2623.548859
E01015143,2809.570579,2575.872255,2563.600723,2502.285528,2609.191094,2796.257022
E01015144,2622.678729,2587.918347,2514.394663,2388.692661,2433.652204,2477.240593
E01015145,2540.874005,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
E01015146,2337.57608,2365.511431,2316.215097,2227.980924,2302.859582,2271.649878
E01015147,2564.276261,2758.048969,2626.460237,2469.737558,2710.499323,2775.876581
E01015148,2564.517848,2585.372111,2625.693805,2536.05294,2645.389259,2694.575641
E01015149,2810.126847,2819.180297,2748.388098,2624.820463,2832.701695,2913.521299
E01015150,2740.452787,2774.644386,2540.983413,2344.678895,2551.081462,2721.079971
E01015151,2164.18547,2381.561749,2270.768356,2195.973736,2217.949649,2565.515204
E01015152,2515.068427,2526.334666,2348.889017,2304.934896,2456.263198,2570.093734
E01015153,2373.889727,2253.174182,2287.702748,2182.197659,2387.833957,2819.220186
E01015155,2464.332705,2288.600469,2474.99125,2393.02721,2501.016414,2625.851921
E01015156,2746.329639,3165.731143,3095.878796,2918.798988,3089.271646,3275.923521
E01015157,1904.115611,2128.768285,1937.762652,1850.169495,2041.928298,2318.197173
E01015158,1977.0342,2411.119745,2177.463145,2024.199362,2085.568486,2323.902186
E01015159,2765.72949,2541.970579,2586.793349,2465.04698,2516.844625,2533.157007
E01015160,2468.542619,2302.14985,2118.883085,1884.260688,2221.41397,2356.396908
E01015161,2691.27079,2634.741337,2654.697265,2545.215049,2586.666451,2608.891623
E01015162,2896.569169,2707.003003,2512.979676,2340.408062,2459.389337,2459.89196
E01015163,2652.284893,2599.73932,2626.522798,2469.831822,2536.393534,2594.900981
E01015164,2318.38917,2363.766096,2357.561849,2286.786026,2248.335084,2278.380187
E01015165,2329.71644,2427.550009,2342.322764,2276.640132,2240.53053,2365.761131
E01015166,2291.49111,2359.523019,2162.5705,2079.733892,2087.189514,2149.70147
E01015167,2200.094051,2180.595436,2055.615185,1971.597006,2098.911058,2328.665036
E01015168,2207.506962,2156.97843,2091.343099,1941.486432,2065.578396,2368.713386
