Area,2014-15,2015-16,,
E01019973,8,#,,
E01019974,#,5,,
E01019975,#,0,,
E01019976,#,7,,
E01019977,#,6,,
E01019980,#,#,,
E01019981,0,#,,
E01019982,0,#,,
E01019983,0,5,,
E01019984,#,#,,
E01019985,#,#,,
E01019986,#,0,,
E01019987,#,#,,
E01019988,#,6,,
E01019989,#,#,,
E01019990,#,#,,
E01019991,#,#,,
E01019992,5,#,,
E01019993,#,0,,
E01019994,#,#,,
E01019995,6,8,,
E01019996,#,#,,
E01019997,0,0,,
E01019998,#,#,,
E01019999,#,0,,
E01020000,0,#,,
E01020001,#,0,,
E01020002,#,#,,
E01020003,#,5,,
E01020004,#,#,,
E01020005,#,#,,
E01020006,#,#,,
E01020007,0,#,,
E01020008,0,0,,
E01020009,0,#,,
E01020010,#,#,,
E01020011,#,#,,
E01020012,#,5,,
E01020013,#,#,,
E01020014,#,#,,
E01020015,0,#,,
E01020016,#,5,,
E01020017,#,#,,
E01020018,6,#,,
E01020019,#,#,,
E01020020,#,#,,
E01020021,0,#,,
E01020022,0,#,,
E01020023,5,8,,
E01020024,#,8,,
E01020025,#,#,,
E01020026,#,#,,
E01020027,0,#,,
E01020029,0,#,,
E01020030,#,11,,
E01020031,#,#,,
E01020032,5,5,,
E01020033,#,#,,
E01020035,#,5,,
E01020036,#,#,,
E01020037,#,11,,
E01020038,#,#,,
E01020039,6,5,,
E01020040,0,#,,
E01020041,#,#,,
E01020042,#,#,,
E01020043,#,#,,
E01020044,#,0,,
E01020045,0,#,,
E01020046,#,#,,
E01020047,6,#,,
E01020048,5,#,,
E01020049,#,#,,
E01020050,#,#,,
E01020051,#,5,,
E01020052,#,#,,
E01020053,0,#,,
E01020054,0,#,,
E01020055,#,#,,
E01020056,#,#,,
E01020057,#,#,,
E01020058,#,#,,
E01020059,#,#,,
E01020060,6,10,,
E01020061,#,#,,
E01020062,#,#,,
E01020063,5,6,,
E01020064,0,#,,
E01020065,#,0,,
E01020066,0,0,,
E01020067,#,#,,
E01020068,#,#,,
E01020069,#,#,,
E01020070,#,#,,
E01020071,#,5,,
E01020072,0,#,,
E01020073,#,8,,
E01020074,0,#,,
E01020075,#,#,,
E01020076,#,5,,
E01020077,0,#,,
E01020078,8,5,,
E01020079,6,6,,
E01020080,#,#,,
E01020081,#,#,,
E01020082,#,#,,
E01020083,0,#,,
E01020084,#,#,,
E01020085,#,#,,
E01020086,#,#,,
E01020087,#,5,,
E01020088,#,5,,
E01020089,7,8,,
E01020090,0,8,,
E01020091,#,#,,
E01020092,#,#,,
E01020093,8,6,,
E01020094,16,8,,
E01020095,8,5,,
E01020096,9,5,,
E01020097,#,#,,
E01020098,#,5,,
E01020099,#,#,,
E01020100,#,#,,
E01020101,5,#,,
E01020102,#,#,,
E01020103,#,8,,
E01020104,0,#,,
E01020105,#,#,,
E01020106,#,6,,
E01020107,7,6,,
E01020108,#,#,,
E01020109,#,#,,
E01020110,#,5,,
E01020111,#,8,,
E01020112,#,#,,
E01020113,#,#,,
E01020114,5,#,,
E01020115,#,#,,
E01020116,#,#,,
E01020117,5,#,,
E01020118,#,#,,
E01020119,6,6,,
E01020120,8,11,,
E01020121,9,7,,
E01020122,#,#,,
E01020123,#,#,,
E01020124,7,#,,
E01020125,#,#,,
E01020126,#,7,,
E01020127,#,#,,
E01020128,#,#,,
E01020129,#,#,,
E01020130,#,#,,
E01020131,6,#,,
E01020132,10,13,,
E01020133,#,#,,
E01020134,#,#,,
E01020135,#,10,,
E01020136,5,6,,
E01020137,6,#,,
E01020138,5,#,,
E01020139,5,7,,
E01020140,#,#,,
E01020141,7,#,,
E01020142,#,#,,
E01020143,#,#,,
E01020144,#,#,,
E01020145,0,#,,
E01020146,#,#,,
E01020147,#,#,,
E01020148,#,0,,
E01020149,0,#,,
E01020150,#,#,,
E01020151,#,#,,
E01020152,6,#,,
E01020153,#,#,,
E01020154,#,#,,
E01020155,#,6,,
E01020156,#,#,,
E01020157,#,7,,
E01020158,#,6,,
E01020159,#,#,,
E01020160,#,#,,
E01020161,15,8,,
E01020162,#,#,,
E01020163,#,#,,
E01020164,5,#,,
E01020165,0,0,,
E01020166,0,5,,
E01020167,0,0,,
E01020168,7,8,,
E01020169,#,5,,
E01020170,#,#,,
E01020171,#,5,,
E01020172,#,#,,
E01020173,#,#,,
E01020174,#,#,,
E01020175,#,#,,
E01020176,#,#,,
E01020177,#,5,,
E01020178,#,#,,
E01020179,#,#,,
E01020180,5,6,,
E01020181,#,9,,
E01020182,0,#,,
E01020183,6,#,,
E01020184,5,8,,
E01020185,5,#,,
E01020186,#,10,,
E01020187,#,#,,
E01020188,#,#,,
E01020189,#,6,,
E01020190,5,#,,
E01020191,#,#,,
E01020192,0,#,,
E01020193,0,#,,
E01020194,#,#,,
E01020195,#,8,,
E01020196,6,9,,
E01020197,#,0,,
E01020198,#,#,,
E01020199,#,10,,
E01020200,#,0,,
E01020201,#,#,,
E01020202,6,6,,
E01020203,9,8,,
E01020204,#,#,,
E01020205,#,6,,
E01020206,5,6,,
E01020207,#,#,,
E01020208,6,#,,
E01020209,7,5,,
E01020210,#,#,,
E01020211,#,#,,
E01020212,5,#,,
E01020213,#,#,,
E01020214,7,#,,
E01020215,#,#,,
E01020216,#,0,,
E01020217,#,7,,
E01020218,#,#,,
E01020219,#,#,,
E01020220,#,8,,
E01020221,#,#,,
E01020222,0,#,,
E01020223,#,#,,
E01020224,#,#,,
E01020225,#,#,,
E01020226,#,#,,
E01020227,5,#,,
E01020228,11,8,,
E01020229,5,5,,
E01020230,#,#,,
E01020231,6,5,,
E01020232,5,7,,
E01020233,7,9,,
E01020234,#,#,,
E01020235,5,12,,
E01020236,#,#,,
E01020237,#,#,,
E01020238,#,#,,
E01020239,7,#,,
E01020240,#,8,,
E01020241,#,#,,
E01020242,#,#,,
E01020243,0,0,,
E01020244,7,#,,
E01020245,#,#,,
E01020246,0,#,,
E01020247,#,7,,
E01020248,#,#,,
E01020249,#,#,,
E01020250,#,6,,
E01020251,#,#,,
E01020252,5,#,,
E01020253,#,#,,
E01020254,5,#,,
E01020255,#,#,,
E01020256,#,#,,
E01020257,#,#,,
E01020258,#,0,,
E01020259,0,0,,
E01020260,0,5,,
E01020261,#,5,,
E01020262,0,#,,
E01020263,#,5,,
E01020264,#,#,,
E01020265,#,5,,
E01020266,0,#,,
E01020267,#,5,,
E01020268,#,7,,
E01020269,11,15,,
E01020270,#,#,,
E01020271,8,6,,
E01020272,#,#,,
E01020273,0,#,,
E01020274,#,#,,
E01020275,#,6,,
E01020276,#,5,,
E01020277,9,10,,
E01020278,#,#,,
E01020279,6,#,,
E01020280,#,#,,
E01020281,#,#,,
E01020282,5,7,,
E01020283,5,9,,
E01020284,#,8,,
E01020285,#,6,,
E01020286,#,#,,
E01020287,#,#,,
E01020288,#,#,,
E01020289,#,#,,
E01020290,#,#,,
E01020291,#,#,,
E01020292,#,#,,
E01020293,6,5,,
E01020294,6,#,,
E01020295,#,#,,
E01020296,0,#,,
E01020297,#,#,,
E01020298,8,6,,
E01020299,#,7,,
E01020300,#,#,,
E01020301,#,5,,
E01020302,#,6,,
E01020303,6,6,,
E01020304,6,0,,
E01020305,0,#,,
E01020306,7,6,,
E01020307,5,7,,
E01020308,#,#,,
E01020309,0,#,,
E01020310,#,8,,
E01020311,#,#,,
E01020312,#,6,,
E01020313,#,7,,
E01020314,#,#,,
E01020315,#,#,,
E01020316,#,#,,
E01020317,#,0,,
E01020318,#,#,,
E01020319,0,#,,
E01020320,0,#,,
E01020321,#,#,,
E01020322,#,#,,
E01020323,#,#,,
E01020324,#,7,,
E01020325,0,#,,
E01020326,#,7,,
E01020327,#,10,,
E01020328,#,#,,
E01020329,#,#,,
E01020330,#,5,,
E01020331,#,5,,
E01020332,#,6,,
E01020333,#,5,,
E01020334,7,9,,
E01020335,7,7,,
E01020336,6,6,,
E01020337,5,#,,
E01020338,8,#,,
E01020339,#,#,,
E01020340,#,5,,
E01020341,#,#,,
E01020342,#,#,,
E01032628,#,#,,
E01032657,,,,
E01032658,,,,
E01033232,0,#,,
E01033233,#,#,,
E01033234,#,0,,
E01033235,6,5,,
E01033236,0,#,,
E07000040,210,273,,
E07000041,155,218,,
E07000042,93,130,,
E07000043,232,247,,
E07000044,139,175,,
E07000045,278,326,,
E07000046,122,159,,
E07000047,85,130,,
E10000008,1314,1658,,
E06000026,,,,
E06000027,,,,
IMDQ1,87,102,,
IMDQ2,332,430,,
IMDQ3,413,526,,
IMDQ4,314,392,,
IMDQ5,168,208,,
E02003122,,,,
E02003123,,,,
E02003124,,,,
E02003125,,,,
E02003126,,,,
E02003127,,,,
E02003128,,,,
E02003129,,,,
E02003130,,,,
E02003131,,,,
E02003132,,,,
E02003133,,,,
E02003134,,,,
E02003135,,,,
E02003136,,,,
E02003137,,,,
E02003138,,,,
E02003139,,,,
E02003140,,,,
E02003141,,,,
E02003142,,,,
E02003143,,,,
E02003144,,,,
E02003145,,,,
E02003146,,,,
E02003147,,,,
E02003148,,,,
E02003149,,,,
E02003150,,,,
E02003151,,,,
E02003152,,,,
E02003153,,,,
E02003154,,,,
E02003155,,,,
E02003156,,,,
E02003157,,,,
E02003158,,,,
E02003159,,,,
E02003161,,,,
E02003163,,,,
E02003164,,,,
E02003165,,,,
E02003166,,,,
E02003167,,,,
E02003168,,,,
E02003169,,,,
E02003170,,,,
E02003171,,,,
E02004129,5,9,,
E02004130,17,15,,
E02004131,11,13,,
E02004132,6,14,,
E02004133,8,16,,
E02004134,17,20,,
E02004135,12,12,,
E02004136,6,8,,
E02004137,7,12,,
E02004138,19,22,,
E02004139,9,17,,
E02004140,13,26,,
E02004141,11,8,,
E02004142,#,6,,
E02004143,12,9,,
E02004144,10,13,,
E02004145,8,11,,
E02004146,8,12,,
E02004147,8,11,,
E02004148,19,19,,
E02004149,8,#,,
E02004150,8,7,,
E02004151,13,15,,
E02004152,5,6,,
E02004153,#,11,,
E02004154,#,9,,
E02004155,13,22,,
E02004156,21,20,,
E02004157,12,20,,
E02004158,13,23,,
E02004159,12,14,,
E02004160,15,23,,
E02004161,9,14,,
E02004162,8,13,,
E02004163,11,17,,
E02004164,7,9,,
E02004165,11,9,,
E02004166,6,12,,
E02004167,5,6,,
E02004168,20,18,,
E02004169,#,5,,
E02004170,#,11,,
E02004171,8,11,,
E02004172,8,19,,
E02004173,9,11,,
E02004174,11,19,,
E02004175,11,14,,
E02004176,13,12,,
E02004177,10,5,,
E02004178,8,14,,
E02004179,22,27,,
E02004180,15,17,,
E02004181,18,23,,
E02004182,33,18,,
E02004183,19,12,,
E02004184,13,24,,
E02004185,21,21,,
E02004186,19,20,,
E02004187,20,27,,
E02004188,10,13,,
E02004189,#,7,,
E02004190,12,18,,
E02004191,20,29,,
E02004192,7,10,,
E02004193,23,21,,
E02004194,9,6,,
E02004195,10,15,,
E02004196,14,13,,
E02004197,12,21,,
E02004198,14,19,,
E02004199,9,9,,
E02004200,7,7,,
E02004201,7,10,,
E02004202,15,16,,
E02004203,#,9,,
E02004204,25,30,,
E02004205,17,19,,
E02004206,24,32,,
E02004207,15,16,,
E02004208,11,21,,
E02004209,18,19,,
E02004210,27,25,,
E02004211,11,14,,
E02004212,20,12,,
E02004213,11,10,,
E02004214,9,16,,
E02004215,15,9,,
E02004216,15,11,,
E02004217,16,31,,
E02004218,9,16,,
E02004219,9,10,,
E02004220,11,21,,
E02004221,15,16,,
E02004222,8,13,,
E02004223,25,38,,
E02004224,7,11,,
E02004225,18,17,,
E02004226,12,13,,
E02004227,18,17,,
E02004228,8,13,,
E02004229,5,16,,
E02004230,8,23,,
E02004231,7,7,,
E02004232,7,15,,
E02004233,37,40,,
E02004234,9,12,,
E02004235,12,17,,
E02006840,,,,
TOWN01,16,31,,
TOWN02,20,25,,
TOWN03,132,129,,
TOWN04,72,105,,
TOWN05,26,37,,
TOWN06,28,49,,
TOWN07,16,32,,
TOWN08,17,24,,
TOWN09,48,53,,
TOWN10,182,261,,
TOWN11,76,83,,
TOWN12,27,28,,
TOWN13,26,30,,
TOWN14,34,43,,
TOWN15,34,28,,
TOWN16,54,66,,
TOWN17,28,32,,
TOWN18,#,7,,
TOWN19,#,#,,
TOWN20,155,165,,
TOWN21,26,54,,
TOWN22,13,20,,
TOWN23,23,31,,
TOWN24,28,49,,
TOWN25,25,37,,
TOWN26,62,78,,
TOWN27,44,53,,
TOWN28,55,52,,
TOWN29,40,53,,
DIV1,26,39,,
DIV2,20,36,,
DIV3,18,20,,
DIV4,60,46,,
DIV5,23,31,,
DIV6,11,23,,
DIV7,26,31,,
DIV8,14,31,,
DIV9,30,36,,
DIV10,26,37,,
DIV11,18,24,,
DIV12,21,27,,
DIV13,23,31,,
DIV14,24,22,,
DIV15,15,30,,
DIV16,17,26,,
DIV17,8,17,,
DIV18,17,25,,
DIV19,41,51,,
DIV20,8,9,,
DIV21,15,18,,
DIV22,27,30,,
DIV23,49,51,,
DIV24,10,29,,
DIV25,31,31,,
DIV26,29,30,,
DIV27,11,22,,
DIV28,22,35,,
DIV29,26,30,,
DIV30,21,19,,
DIV31,22,35,,
DIV32,23,21,,
DIV33,23,28,,
DIV34,28,27,,
DIV35,34,24,,
DIV36,29,26,,
DIV37,26,37,,
DIV38,15,38,,
DIV39,9,12,,
DIV40,21,18,,
DIV41,15,17,,
DIV42,25,36,,
DIV43,25,47,,
DIV44,23,27,,
DIV45,26,31,,
DIV46,22,24,,
DIV47,16,18,,
DIV48,37,40,,
DIV49,38,46,,
DIV50,12,12,,
DIV51,33,28,,
DIV52,30,30,,
DIV53,27,34,,
DIV54,19,30,,
DIV55,8,22,,
DIV56,8,17,,
DIV57,11,16,,
DIV58,22,30,,
CHSCTAXE,71,105,,
CHSCTBARNSTAPLE,109,105,,
CHSCTBIDEFORD,90,122,,
CHSCTBRAUNTON,64,72,,
CHSCTCREDITON,24,45,,
CHSCTCULLOMPTON,29,52,,
CHSCTDAWLISH,86,107,,
CHSCTEXETERCHALL,92,133,,
CHSCTEXETERSYCAMORE,87,112,,
CHSCTEXMOUTH,76,83,,
CHSCTHONITON,44,61,,
CHSCTIVYBRIDGE,60,69,,
CHSCTKINGSBRIDGE,28,32,,
CHSCTNABBOT,117,112,,
CHSCTOKE,28,52,,
CHSCTSMOLTON,32,47,,
CHSCTTAVISTOCK,65,87,,
CHSCTTEIGN,57,88,,
CHSCTTIVERTON,55,50,,
CHSCTTORRINGTON,58,65,,
CHSCTTOTNES,42,59,,
Eastern,504,697,,
Northern,354,406,,
Southern,310,372,,
Western,146,183,,
