Area,Children & young people,Adult skills,Geographic barriers,Wider barriers,Indoor environment,Outdoor environment
E01015160,25850,23604,15049,25829,25149,21513
E01015161,4671,7056,6109,7578,15960,28665
E01015162,9816,3711,8874,9175,13110,26485
E01015163,15498,16067,10022,11618,19159,27881
E01015164,6172,20134,3238,18294,28125,27922
E01015165,15512,21635,9027,20458,23402,29894
E01015166,2006,7196,16519,8169,17900,25955
E01015167,12235,16138,28810,13439,1713,26102
E01015168,11133,16252,27603,11942,953,19352
E01015169,13958,22761,17558,6036,1076,9586
E01015170,16771,16401,27780,9004,3271,21116
E01015171,23546,22111,29265,10217,827,24013
E01015172,20775,26506,30720,11039,865,6725
E01015173,27914,26823,29015,16304,2127,12233
E01015174,24196,19011,24407,22123,3338,11927
E01015175,21378,23818,32322,11327,1315,17997
E01015176,3630,8192,20521,12893,4288,17544
E01015177,11960,24749,29417,13831,1037,8977
E01015178,13253,26785,31979,9989,1443,13544
E01015179,14345,24587,26112,6528,1205,13359
E01015180,5173,10292,14217,6565,938,5124
E01015181,11573,13393,22026,7509,518,4455
E01015182,3010,9585,13717,8198,1194,16581
E01015183,15776,12024,20011,15790,10360,30216
E01015184,24431,15521,15443,20952,20310,28242
E01015185,12479,12133,21369,14640,3146,23117
E01015186,4225,8998,26772,12672,124,24315
E01015187,19231,15085,14558,23286,11282,29497
E01015188,8054,15076,10365,22436,16271,29764
E01015189,9376,13048,26913,15073,1284,25559
E01015190,7527,8249,3166,13120,6696,26190
E01015191,6677,14370,12160,19389,28907,29069
E01015192,2290,9250,14643,16874,13356,26660
E01015193,7635,7522,21623,18244,10087,23675
E01015194,1850,5651,6851,14743,14458,22951
E01015195,8863,5202,5353,17790,6488,28316
E01015196,1021,2856,23856,10374,6519,25531
E01015197,25044,25817,9514,27421,31120,28043
E01015198,19562,16450,24778,27751,20655,28332
E01015199,28741,26543,7350,29117,25473,26874
E01015200,7667,13156,20466,20525,15538,27623
E01015201,26176,23901,15203,22780,16287,29105
E01015202,13046,9831,14090,26289,9159,23167
E01015203,18870,17697,8384,25900,23694,23857
E01015204,12263,13923,16654,17971,1600,22572
E01015205,14655,8728,11471,26188,8494,25818
E01015206,6721,11002,15238,21048,3806,15737
E01015207,18525,18404,15411,23417,4158,23309
E01015208,29902,26667,13218,30183,23974,20940
E01015209,25257,19613,29114,13522,6759,15838
E01015210,9304,13640,21660,16623,3798,23106
E01015211,14052,16649,13225,27575,19494,25259
E01015212,18040,13397,27669,17837,2008,17457
E01015213,9111,12457,20606,22980,6341,25366
E01015214,6591,14586,30540,12991,63,17257
E01015215,8798,13879,11131,19824,8093,25535
E01015216,6992,12453,25076,14832,1086,24746
E01015217,3238,5452,23556,8312,319,17061
E01015218,8626,8892,26015,15709,1134,21736
E01015219,16556,14573,18770,14577,16473,23788
E01015220,14560,15721,13323,27390,14868,27049
E01015221,13927,12755,9599,17055,10690,18934
E01015222,16269,17335,9942,22853,22373,27444
E01015223,22026,13836,8535,24697,15114,27256
E01015224,14766,20247,22772,23250,5290,25690
E01015225,14692,16077,17935,18130,11129,25368
E01015226,22088,19140,3746,29029,30694,27954
E01015227,19366,20870,6948,27911,18026,25873
E01015228,8970,8157,25618,16515,4930,20015
E01015229,11873,12229,28041,14648,8021,20529
E01015230,18559,21968,5001,26372,29390,28076
E01015231,6042,3421,30315,7367,282,11044
E01015232,7003,4868,16196,8822,366,13420
E01015233,5855,5503,31574,8896,346,14051
E01015234,8739,5462,30602,12393,425,21135
E01015235,11539,9483,7989,11631,1645,20802
E01015236,17325,17700,5530,18230,6990,24196
E01015237,14426,14129,19206,20193,5818,19454
E01015238,9867,15525,19139,19582,5339,19610
E01015239,21027,9658,31700,10207,2403,23540
E01015240,7371,12199,28881,13704,3999,24097
E01015241,10013,13380,29112,18651,6311,24255
E01015242,3868,7352,29711,15348,2261,22684
E01015243,18070,13675,15692,26401,11494,21220
E01015244,16169,14611,10603,24359,14288,30426
E01015245,3099,9807,6113,17408,20676,29938
E01015246,21386,18601,25920,21766,12426,25045
E01015247,12764,10460,17825,17027,6753,29955
E01015248,5737,7702,30359,11710,1971,22909
E01015249,9273,8608,11718,15670,17346,23684
E01015250,22815,14869,10544,24035,18060,25790
E01015251,29944,23750,17182,27713,23160,25422
E01015252,7721,17458,15430,16498,20133,28085
E01015253,19993,21047,2930,24375,30479,28280
E01015254,17115,17529,18793,26529,23916,23190
E01015255,2961,8319,24328,6440,562,18851
E01015256,5919,10563,12777,8674,443,13402
E01015257,1806,3235,13163,11940,5606,17884
E01015258,11144,13167,16303,16143,5371,15993
E01015259,6821,7272,28190,14750,1172,20044
E01015260,6778,8450,28453,9245,109,17355
E01015261,9254,10106,28303,11059,596,8787
E01015262,4151,4841,27396,16422,8705,22110
E01015263,1398,5064,18420,10193,8658,19175
E01015264,12347,14352,8741,28801,22244,25810
E01015265,8717,8908,14563,18415,17463,27863
E01015266,629,2209,13446,9117,3654,26722
E01015267,18747,12958,12459,11934,1597,17792
E01015268,25199,20043,11570,16634,11380,25105
E01015269,28702,20072,23532,17469,2783,24752
E01015270,15080,16948,10917,14781,2479,25797
E01015271,29032,26158,4950,27397,24857,27333
E01019886,17943,13135,2099,21714,3684,32359
E01019887,10434,11220,14004,19067,10375,30590
E01019888,18961,16863,17947,17899,5025,28702
