Area,Children & young people,Adult skills,Geographic barriers,Wider barriers,Indoor environment,Outdoor environment
E01020247,12795,15419,28794,18874,7434,28374
E01020248,26773,22772,8176,24904,14876,32243
E01020249,19922,16099,14646,28065,20935,18927
E01020250,13539,14939,12358,26913,11645,29704
E01020251,24451,24370,1595,24870,11326,31876
E01020252,8837,14946,6173,17937,12543,26803
E01020253,20861,19482,17571,26216,25541,31359
E01020254,4778,8356,28418,16934,5152,30413
E01020255,17798,11297,30641,22092,10007,29981
E01020256,12380,18041,2816,20764,4602,27425
E01020257,27503,20233,9772,30024,20653,31485
E01020258,15585,24230,23022,19103,760,32694
E01020259,26253,25580,138,21333,48,32402
E01020260,24019,22865,26997,17710,13509,29080
E01020261,30828,23641,1965,24671,10656,30020
E01020262,22138,21549,298,22455,579,31967
E01020263,17957,13947,17388,20068,1638,31533
E01020264,14521,12944,16243,11459,671,30774
E01020265,25317,23077,14816,27406,24253,31268
E01020266,26456,24872,11877,21346,9200,32012
E01020267,29518,29282,5416,20332,13360,31397
E01020268,29479,21697,7709,19292,25833,32161
E01020269,9852,12541,30030,8751,541,30450
E01020270,16087,18400,7310,23060,28194,31682
E01020271,15442,15596,18339,12507,1854,27939
E01020272,5676,9315,21238,13236,3508,29172
E01020273,22531,27255,7382,22382,1474,32601
E01020274,31170,27066,706,23047,390,32546
E01020275,5009,17362,10393,19291,1310,32730
E01020276,7892,16270,12125,24294,18009,32810
E01020277,839,6103,17815,12275,9548,32330
E01020278,10318,12889,759,23625,2870,32753
E01020279,2234,11655,10642,21380,7356,32450
E01020280,2746,13078,22495,11380,32,29686
E01020281,15654,20923,3706,29510,24925,32673
E01020282,3666,11201,9733,15222,3802,29572
E01020283,6358,12920,7720,26180,7953,32705
E01020284,8371,14567,26483,18447,2864,30535
E01020285,1636,6259,16306,14257,3166,31888
E01020286,17390,11840,95,25282,83,32613
E01020287,10273,16638,331,28737,252,32832
E01020288,10497,14969,1517,20379,100,32839
E01020289,9877,17598,200,25974,70,32838
E01020290,12709,14665,44,23546,607,32788
E01020291,16920,14532,749,21620,73,32840
E01020292,7707,15713,3856,23485,86,32837
E01020293,13771,12418,2381,19311,433,32761
E01020294,5349,5846,22156,17072,1415,32682
E01020295,16663,16329,617,23379,1994,32833
E01020296,16808,21000,1082,25532,316,32822
E01020297,2919,11960,32142,15503,2495,31562
E01020298,9320,21095,14149,27129,19154,32534
E01020299,10542,18343,6477,25589,12408,32778
E01020300,16446,22160,4908,24990,20402,32727
E01020301,10052,15317,1663,27425,295,32821
E01020302,11226,15335,659,22197,458,32841
E01020303,13972,17500,1502,25190,344,32831
E01020304,14633,15229,12730,19970,4932,32688
E01020305,9990,13779,30681,19504,1078,32548
E01020306,12781,14831,9634,24868,28389,30785
E01020307,4930,9724,13577,17637,6765,31757
E01020308,14106,18892,236,28638,398,32518
E01020309,14011,14048,323,27990,178,32835
E01020310,9253,18156,4588,15929,5520,32776
E01020311,15904,15193,715,22430,576,32786
E01020312,26809,25520,1935,28749,2704,32318
E01020313,9161,17066,20792,26688,1641,32056
E01020314,14684,17646,54,26779,314,32412
E01020315,26842,28489,3561,25831,4083,26308
E01020316,31378,31314,2915,30518,4171,27844
E01020317,22612,25933,6812,31003,2067,30809
E01020318,22659,26978,15836,27284,1261,32829
E01020319,28853,24637,277,28603,79,32635
E01020320,27313,18704,155,28782,66,32769
E01020321,15756,14010,5562,23710,336,32653
E01020322,22065,14124,77,27896,363,32824
E01020323,9076,10176,454,25742,1024,32701
E01020324,21479,28324,261,29568,491,32767
E01020325,23363,18924,638,30272,87,32799
E01020326,12254,15307,15754,24865,1198,32780
E01020327,15977,14897,8640,27624,22169,32399
E01020328,12634,13384,10218,22523,5128,31364
E01020329,21074,16154,3949,23146,4347,32774
E01020330,13900,12142,16949,19120,2966,31936
E01020331,16889,24420,1133,28018,247,32775
E01020332,16228,24655,18714,24193,1436,26998
E01020333,21073,28181,5514,29522,15728,32020
E01020334,8856,16322,11843,24197,8353,31589
E01020335,19860,23268,14567,27888,16829,28991
E01020336,30228,30240,11092,31238,20967,31852
E01020337,12015,16483,6316,22557,8991,30222
E01020338,9878,22531,3809,24199,14337,31995
E01020339,19189,21910,349,26851,194,32668
E01020340,21436,12883,4436,29668,270,30156
E01020341,31767,29268,1923,30233,3475,29721
E01020342,6245,15298,17514,27023,7230,30677
E01032628,29858,24014,1049,29254,1347,31847
E01032657,5551,24298,29676,5649,4875,6960
E01032658,3759,14311,27987,3351,4115,5248
E01033232,5569,27433,6101,18724,21631,24471
E01033233,30033,28895,2558,9278,23032,27437
E01033234,23380,25278,4890,20767,26379,23572
E01033235,24312,29877,30994,16633,7526,26508
E01033236,28052,29719,9777,18698,7392,27142
E07000040,17742,19982,10728,25076,11555,30891
E07000041,14806,20133,17428,12576,10286,22201
E07000042,14148,16920,7945,25511,6165,31675
E07000043,11594,15920,10689,18165,8676,31111
E07000044,21162,24192,9345,24982,7734,31827
E07000045,17867,19093,11876,20776,8974,29828
E07000046,9470,14505,8258,21827,5148,32351
E07000047,17982,20009,6835,26737,4967,31476
E10000008,15761,19040,11043,21393,8562,29718
E06000026,12014,16373,18660,13714,10869,19821
E06000027,11804,12792,17372,18218,10300,23342
IMDQ1,4933,8193,22179,8729,5607,20249
IMDQ2,9361,13976,16091,15824,5087,25911
IMDQ3,15796,19395,10195,21146,6818,28486
IMDQ4,19864,22420,10919,23538,13072,28569
IMDQ5,24122,24939,11184,25577,20138,28155
E02003122,17310,22477,7625,21707,24363,26206
E02003123,7202,8511,12661,11406,16064,25280
E02003124,8899,10161,11028,11496,15717,25179
E02003125,10490,7941,18001,11042,16916,24217
E02003126,9081,11532,9677,13034,19983,25136
E02003127,5017,6477,20870,11016,14031,18324
E02003128,9735,9260,17171,9483,14705,21427
E02003129,13398,21045,8583,15423,18058,15455
E02003130,6094,7864,21376,12650,7920,23497
E02003131,5795,9428,12400,13031,14017,21912
E02003132,15770,15777,20696,17314,10336,20783
E02003133,11424,15367,14966,17467,15044,19836
E02003134,4365,5019,20468,9454,6570,17458
E02003135,4072,8815,23494,10172,6428,24970
E02003136,20411,21733,17471,21275,17468,23701
E02003137,29207,28983,14950,22946,17154,18004
E02003138,25567,28705,29281,21232,5360,17166
E02003139,16505,23306,4834,22732,17513,25383
E02003140,17449,24014,14535,23911,12636,20194
E02003141,13788,16867,28967,11420,1333,23287
E02003142,7701,10681,18004,11557,5703,16790
E02003143,12328,19130,8213,18193,17277,23355
E02003144,14160,26966,26423,5081,1702,13830
E02003145,21126,21512,24445,13160,2389,13474
E02003146,13552,25190,30191,9746,2211,12987
E02003147,4387,4344,26583,4367,4801,11688
E02003148,5326,14826,29052,3611,3128,9968
E02003149,7743,14113,21069,6504,948,9695
E02003150,9194,15130,28081,6125,2647,16272
E02003151,22047,25503,13972,24798,21345,26189
E02003152,16404,22755,15366,19431,12539,22500
E02003153,14454,22372,11204,19612,18042,26868
E02003154,4107,6612,16505,16225,11876,24282
E02003155,15144,14437,18854,16926,5118,21801
E02003156,15947,17184,12724,21639,22067,26055
E02003157,6673,8601,21175,13239,3222,17617
E02003158,9083,11554,26081,18363,5964,23151
E02003159,7759,12512,23004,15911,2674,22381
E02003161,5545,8759,22453,8794,488,14088
E02003163,23645,18640,12986,17431,8139,24149
E02003164,16447,17651,13789,23491,16374,25464
E02003165,12871,11967,13297,23462,9008,22174
E02003166,4861,7700,12255,15754,12554,26201
E02003167,8238,6465,23480,10517,1774,16689
E02003168,16704,14765,12037,21278,15899,24842
E02003169,20510,21120,15535,25844,22161,28034
E02003170,12335,12897,19004,18009,9231,27346
E02003171,12045,11891,18302,18423,10881,27734
E02004129,22559,17568,334,29320,920,32181
E02004130,10988,14166,15523,19021,13585,29667
E02004131,15196,15967,6024,27915,24606,31185
E02004132,24184,24588,3849,28543,4046,31555
E02004133,17611,14387,8401,22223,6757,30872
E02004134,17956,22485,1478,26341,2680,31272
E02004135,25180,22762,4017,26319,5417,31875
E02004136,25388,25053,9805,26168,12843,31810
E02004137,26221,22937,4170,25892,5630,30044
E02004138,17925,16339,19671,23427,17720,31961
E02004139,12525,16749,10866,24818,20323,31485
E02004140,25827,26058,15419,23985,15928,29948
E02004141,23543,24055,8468,27480,10352,31168
E02004142,20148,27537,4465,28836,6512,30937
E02004143,15378,18381,19926,28109,25194,31363
E02004144,13944,18924,11675,28717,20758,30512
E02004145,15439,25431,11522,25085,15800,30970
E02004146,7172,12911,15800,23185,14190,29614
E02004147,9990,17397,28929,17205,1225,27404
E02004148,11662,17756,14318,19969,12321,31433
E02004149,27907,28812,5822,12937,22558,27086
E02004150,9477,15063,11692,10610,7996,22705
E02004151,14392,13776,16653,16190,15553,22398
E02004152,23332,26264,27100,6138,1349,20703
E02004153,10520,13916,14730,13413,14256,28898
E02004154,15856,25821,25927,11197,2783,20671
E02004155,11197,11457,16786,12403,9045,22064
E02004156,13805,23057,23075,5256,1452,14956
E02004157,28477,31344,12603,14607,11642,17749
E02004158,15039,16382,28265,11797,2733,20693
E02004159,18716,22506,9034,20096,19174,23115
E02004160,15233,11991,12485,15338,13757,25793
E02004161,3326,8911,24999,9806,4003,22289
E02004162,14713,19792,16756,13581,12141,23035
E02004163,15489,20797,16846,16038,13313,20393
E02004164,15673,19985,1505,28497,201,32636
E02004165,14423,18568,2440,26833,14236,32346
E02004166,24141,21235,4776,26637,3793,32503
E02004167,2472,7881,14611,17841,7653,27892
E02004168,7379,9082,13845,19743,4366,29918
E02004169,20910,18726,6654,28513,8190,31523
E02004170,8647,12230,15423,25019,12398,31794
E02004171,23493,22907,6338,27794,1982,32550
E02004172,13676,18132,712,27326,494,32469
E02004173,17680,22803,884,28292,861,32626
E02004174,9970,15460,18822,23708,10495,32013
E02004175,5007,9436,17004,12014,2022,31156
E02004176,9514,16513,5802,18360,2463,32528
E02004177,6855,11148,17217,14267,3366,31860
E02004178,16405,24722,5430,21224,7402,32225
E02004179,11306,21596,13236,19629,13043,31237
E02004180,23325,20647,1543,24920,4131,32379
E02004181,11848,15029,9886,17603,8884,30860
E02004182,5117,7684,16736,10662,8169,29803
E02004183,11099,15418,17548,17706,13744,25494
E02004184,10859,12770,16150,15457,15382,30298
E02004185,16196,18084,11381,22072,18847,31293
E02004186,14050,18411,3914,21449,15103,31792
E02004187,9257,15074,11129,17919,3752,31634
E02004188,14628,16468,1394,20392,125,32682
E02004189,15840,24000,8091,27850,11925,32274
E02004190,23309,25981,8873,25479,3806,32271
E02004191,17080,25254,18098,20535,8287,29731
E02004192,25232,24556,5795,25807,4892,31127
E02004193,21318,24976,12701,27625,19132,31719
E02004194,20744,27365,2282,25247,1243,32538
E02004195,13014,16773,13465,22315,8683,32575
E02004196,27543,27858,11320,26425,3368,31771
E02004197,24510,27560,7477,27287,9221,31219
E02004198,16088,17317,7181,21056,7324,32703
E02004199,25457,21237,1477,24435,944,32313
E02004200,24698,23999,9451,23859,4215,32706
E02004201,22926,22789,5457,21918,1412,31930
E02004202,23335,25593,12470,23164,8760,27949
E02004203,22365,26768,8927,22592,827,32539
E02004204,18607,23021,11218,22392,8819,30368
E02004205,18483,14827,7686,16840,7138,30537
E02004206,17609,15486,10564,14635,4066,30668
E02004207,18390,20555,8454,24398,9140,30716
E02004208,24669,23469,9581,22406,20053,31699
E02004209,15647,14980,17339,23385,14339,29939
E02004210,10339,12412,21895,11446,1692,29600
E02004211,27437,24948,7626,23508,13374,30798
E02004212,15372,16378,7746,22711,15989,29851
E02004213,19209,20206,4054,22736,9073,30814
E02004214,8384,11101,25526,14950,2031,23544
E02004215,12235,14558,13451,17005,8985,26384
E02004216,10646,14435,9783,24477,15786,28223
E02004217,11099,18977,15647,18178,3966,31295
E02004218,21581,19450,14259,23844,11420,27221
E02004219,26936,24371,9080,24918,10017,31796
E02004220,6382,16004,15070,21414,8917,32473
E02004221,11462,20351,8023,22513,14670,32677
E02004222,7193,15117,12661,18499,9386,30650
E02004223,4303,10634,13798,18965,5671,32079
E02004224,13142,16870,1716,23127,664,32833
E02004225,10195,13299,15740,20273,9815,31980
E02004226,13902,17007,694,25990,407,32741
E02004227,11929,12464,5366,21452,525,32788
E02004228,12646,14794,561,25629,271,32766
E02004229,18337,15293,5593,26141,505,32753
E02004230,14938,14020,10158,23065,8587,32053
E02004231,19469,20423,3979,27118,625,32706
E02004232,19174,18237,1590,28697,230,32014
E02004233,15281,22848,9980,26098,12183,30598
E02004234,19228,24347,6601,29437,3337,30989
E02004235,23499,25836,6873,28103,3217,29530
E02006840,16725,17104,19678,22133,9977,21708
TOWN01,11099,18977,15647,18178,3966,31295
TOWN02,21626,17695,5834,24111,4680,31350
TOWN03,12695,15068,11300,18371,12683,30348
TOWN04,7795,14893,10375,20657,7245,32083
TOWN05,13736,22821,11773,20685,12386,31466
TOWN06,13843,18732,7333,26351,4245,32358
TOWN07,17943,17181,9203,26583,8167,32062
TOWN08,18935,19898,7872,23849,4983,32649
TOWN09,18002,15563,10964,16121,5580,30660
TOWN10,15624,20614,15865,14117,9633,23210
TOWN11,13445,19593,15680,24260,13275,30289
TOWN12,11188,15273,8831,23602,5463,32320
TOWN13,12227,13458,3277,23268,415,32779
TOWN14,16372,16437,7092,25403,12253,31116
TOWN15,7303,12926,12974,14884,2935,31869
TOWN16,22284,25827,9707,27260,11253,31785
TOWN17,20559,20833,5796,23151,4235,32590
TOWN18,5766,18288,3283,18744,285,32348
TOWN19,20801,25537,11657,20791,803,32584
TOWN20,17384,18513,11481,22365,10229,29208
TOWN21,17826,16506,6026,25477,2840,32352
TOWN22,24364,24250,6946,27322,8945,31493
TOWN23,20010,19007,14148,24577,13962,30833
TOWN24,19674,21351,10440,25247,17176,31140
TOWN25,11617,15651,8219,18587,2660,31954
TOWN26,17982,22839,7107,27533,6515,30802
TOWN27,19519,19423,14523,18445,12298,30710
TOWN28,12074,15930,6883,24210,5448,31132
TOWN29,20567,25967,12424,23348,6269,30850
DIV1,17466,15549,17033,14749,11578,22598
DIV2,15901,20279,12930,20127,5323,31543
DIV3,20950,16834,6842,23273,5512,31307
DIV4,7926,11363,14736,13786,8228,29461
DIV5,11552,13932,15726,16941,15863,29018
DIV6,19493,24700,7934,27834,10420,31660
DIV7,6291,13425,10320,19514,7239,31733
DIV8,7989,13054,10289,20545,2615,32185
DIV9,21343,23432,10120,25114,9074,31229
DIV10,13736,22821,11773,20685,12386,31466
DIV11,18018,23294,1475,26995,3338,31275
DIV12,18683,22709,9481,20617,3231,31089
DIV13,19215,18970,2495,22326,3078,32484
DIV14,13956,18746,3381,20057,1834,32564
DIV15,10556,17428,11746,25390,6713,32132
DIV16,20171,22643,2022,28099,415,32698
DIV17,14218,14971,12169,25826,9181,32003
DIV18,20218,20928,9163,24274,6557,31763
DIV19,18089,15141,9134,15731,5593,30603
DIV20,24896,26944,9104,11962,18785,25539
DIV21,22802,25368,9679,22992,7107,28876
DIV22,13330,21025,13049,22291,13900,31223
DIV23,13250,18999,17697,24962,13759,29903
DIV24,10884,14230,20589,12249,9958,26587
DIV25,16560,16379,9636,24578,16523,30699
DIV26,13812,18218,8322,21914,21926,31194
DIV27,20130,18554,5439,26674,499,32736
DIV28,14124,17490,19947,13920,8559,20741
DIV29,12227,13458,3277,23268,415,32779
DIV30,5982,10324,17115,13192,2725,31524
DIV31,24381,21614,12387,23848,12303,29217
DIV32,21318,24976,12701,27625,19132,31719
DIV33,19777,18915,4567,22604,4401,32525
DIV34,18085,18152,11741,23583,13296,30162
DIV35,12075,14330,12583,19098,10331,26450
DIV36,11922,14370,14540,20603,10646,27982
DIV37,8577,18036,11627,21951,11728,32573
DIV38,16763,15927,6185,25677,4712,32035
DIV39,24102,24177,7189,26518,12068,31540
DIV40,11940,12410,12895,14966,14000,22514
DIV41,24110,25126,8025,25207,2791,32771
DIV42,20734,19252,12782,24857,12594,30993
DIV43,18652,21045,11443,24648,16834,31081
DIV44,25207,27542,9558,25557,4562,31860
DIV45,9368,14783,9482,18024,3122,31816
DIV46,17129,26254,17391,8789,3614,17745
DIV47,18707,25682,26138,7475,1844,20755
DIV48,15281,22848,9980,26098,12183,30598
DIV49,17826,18120,15258,17353,11588,30731
DIV50,8388,13665,8755,22357,10500,30099
DIV51,11211,13197,7823,23712,3986,31310
DIV52,11930,15260,7489,23409,4655,32397
DIV53,18252,26593,13201,21922,6087,30594
DIV54,20044,24355,11906,17274,16913,19712
DIV55,22748,22549,1528,28678,1078,31820
DIV56,21765,19643,5686,27835,6272,31928
DIV57,7832,13692,18190,13649,10491,23118
DIV58,20005,23145,6017,28412,3017,30529
CHSCTAXE,20508,19353,9926,24670,12008,31124
CHSCTBARNSTAPLE,12610,14412,11750,17467,9587,30113
CHSCTBIDEFORD,8816,15479,10755,20848,11449,31865
CHSCTBRAUNTON,9764,17126,12002,17350,6490,31736
CHSCTCREDITON,14808,18981,8695,25868,4390,32257
CHSCTCULLOMPTON,18422,19021,7981,26669,6469,32104
CHSCTDAWLISH,18998,17539,12259,17224,9054,30606
CHSCTEXETERCHALL,16350,18635,14362,17507,10977,25265
CHSCTEXETERSYCAMORE,14763,21996,17789,10872,8749,21114
CHSCTEXMOUTH,13445,19593,15680,24260,13275,30289
CHSCTHONITON,20611,20050,7330,26136,11183,31328
CHSCTIVYBRIDGE,22711,26029,10251,26676,9989,31788
CHSCTKINGSBRIDGE,20559,20833,5796,23151,4235,32590
CHSCTNABBOT,16190,17164,12252,22000,11447,28550
CHSCTOKE,17699,17743,7151,24457,2801,32502
CHSCTSMOLTON,11708,15473,6556,19783,2214,32122
CHSCTTAVISTOCK,18435,23348,7679,27886,7583,30901
CHSCTTEIGN,18392,22217,10916,22475,6257,31245
CHSCTTIVERTON,11518,15315,6545,24045,5639,31064
CHSCTTORRINGTON,11554,14311,5189,23238,2181,32622
CHSCTTOTNES,18943,23260,11098,22837,5898,31478
Eastern,17057,19157,12516,21009,9322,28199
Northern,11302,15382,10072,19545,7524,31535
Southern,15905,16466,14362,19849,9574,26842
Western,14609,17942,16317,16906,10380,22654
