Area,Label,RD&E Exeter Hospital,Barnstaple Hospital,Torbay Hospital,Plymouth Hospital,Community Hospital,Outside Devon,Total
E01015115,Plymouth 022C,0,0,0,201,0,<5,205
E01015116,Plymouth 022D,0,0,<5,137,0,0,138
E01015117,Plymouth 022E,0,0,0,124,0,<5,126
E01015118,Plymouth 019D,<5,0,0,165,0,<5,170
E01015119,Plymouth 018D,0,0,<5,117,0,0,118
E01015120,Plymouth 015A,<5,<5,<5,167,0,<5,176
E01015121,Plymouth 015B,0,0,<5,154,0,<5,156
E01015122,Plymouth 019E,<5,0,0,139,0,<5,144
E01015123,Plymouth 015C,0,<5,<5,269,0,<5,273
E01015124,Plymouth 015D,0,0,0,149,0,<5,151
E01015125,Plymouth 015E,0,0,0,131,0,0,131
E01015126,Plymouth 030A,0,0,0,186,0,<5,188
E01015127,Plymouth 030B,<5,0,0,138,0,<5,140
E01015128,Plymouth 032A,<5,0,0,153,0,<5,157
E01015129,Plymouth 032B,0,0,<5,123,0,<5,126
E01015130,Plymouth 032C,0,0,0,112,0,<5,116
E01015131,Plymouth 030C,0,0,0,164,0,<5,166
E01015132,Plymouth 030D,<5,0,0,173,0,<5,177
E01015133,Plymouth 030E,0,0,<5,128,0,<5,133
E01015134,Plymouth 032D,0,0,<5,202,0,<5,208
E01015135,Plymouth 031A,0,0,<5,178,0,<5,182
E01015136,Plymouth 031B,<5,0,0,107,0,<5,109
E01015137,Plymouth 031C,0,0,0,147,0,<5,148
E01015138,Plymouth 031D,0,0,<5,173,0,0,176
E01015139,Plymouth 031E,0,<5,0,150,0,<5,155
E01015140,Plymouth 032E,0,0,0,137,0,<5,140
E01015141,Plymouth 031F,<5,0,<5,153,0,<5,158
E01015142,Plymouth 009B,0,<5,0,178,0,<5,180
E01015143,Plymouth 009C,0,0,0,166,0,<5,168
E01015144,Plymouth 009D,0,0,0,169,0,<5,171
E01015145,Plymouth 014E,0,0,<5,262,0,<5,269
E01015146,Plymouth 009E,0,0,<5,220,0,<5,224
E01015147,Plymouth 006D,0,<5,0,157,0,<5,161
E01015148,Plymouth 006E,0,0,<5,182,0,<5,184
E01015149,Plymouth 009F,0,0,0,185,0,<5,186
E01015150,Plymouth 009G,0,0,0,148,0,0,148
E01015151,Plymouth 029A,0,0,0,165,0,5,170
E01015152,Plymouth 027C,<5,0,0,302,0,5,308
E01015153,Plymouth 029B,0,0,<5,264,0,<5,271
E01015155,Plymouth 029C,<5,<5,<5,306,0,<5,311
E01015156,Plymouth 027E,<5,0,0,205,0,8,216
E01015157,Plymouth 029D,<5,<5,<5,309,0,10,323
E01015158,Plymouth 029E,<5,0,<5,314,0,7,323
E01015159,Plymouth 002B,0,0,<5,207,0,<5,211
E01015160,Plymouth 001C,0,0,0,140,0,0,140
E01015161,Plymouth 002C,0,0,0,181,0,<5,184
E01015162,Plymouth 002D,0,0,<5,229,0,<5,231
E01015163,Plymouth 003D,0,0,<5,216,0,<5,220
E01015164,Plymouth 001D,0,0,0,208,0,7,215
E01015165,Plymouth 003E,0,<5,0,113,0,<5,115
E01015166,Plymouth 002E,0,0,<5,263,0,5,270
E01015167,Plymouth 020C,0,0,<5,147,0,<5,152
E01015168,Plymouth 020D,0,0,0,166,0,<5,169
E01015169,Plymouth 024A,0,0,0,228,0,<5,230
E01015170,Plymouth 024B,0,0,<5,231,0,<5,236
E01015171,Plymouth 020E,0,0,<5,194,0,<5,199
E01015172,Plymouth 029F,0,0,0,156,0,<5,157
E01015173,Plymouth 024C,<5,0,0,159,0,<5,163
E01015174,Plymouth 024D,0,0,0,135,0,<5,137
E01015175,Plymouth 025C,0,0,0,159,0,<5,160
E01015176,Plymouth 021F,0,0,<5,219,0,7,227
E01015177,Plymouth 025D,0,0,0,153,0,<5,156
E01015178,Plymouth 025E,0,<5,0,154,0,6,161
E01015179,Plymouth 028B,<5,0,<5,106,0,<5,110
E01015180,Plymouth 028C,0,0,<5,210,0,5,216
E01015181,Plymouth 028D,0,0,<5,210,0,<5,215
E01015182,Plymouth 028E,0,0,0,260,0,5,265
E01015183,Torbay 017A,<5,<5,173,<5,<5,<5,182
E01015184,Torbay 017B,<5,0,214,<5,0,<5,220
E01015185,Torbay 017C,0,0,157,<5,<5,<5,164
E01015186,Torbay 017D,<5,0,185,<5,0,5,194
E01015187,Torbay 017E,0,0,171,<5,0,<5,177
E01015188,Torbay 017F,0,0,195,<5,0,<5,201
E01015189,Torbay 017G,<5,0,125,<5,0,<5,131
E01015190,Torbay 013A,<5,0,203,<5,<5,7,215
E01015191,Torbay 013B,8,0,135,6,0,<5,151
E01015192,Torbay 013C,<5,0,157,0,0,<5,162
E01015193,Torbay 013D,0,0,163,0,0,<5,164
E01015194,Torbay 013E,<5,0,177,<5,<5,<5,186
E01015195,Torbay 013F,<5,0,237,0,<5,<5,242
E01015196,Torbay 013G,<5,0,269,<5,0,<5,280
E01015197,Torbay 016A,<5,0,144,<5,<5,<5,154
E01015198,Torbay 016B,<5,0,230,<5,0,<5,235
E01015199,Torbay 016C,<5,0,126,<5,<5,<5,134
E01015200,Torbay 016D,<5,0,109,<5,<5,<5,118
E01015201,Torbay 016E,<5,0,133,0,0,6,140
E01015202,Torbay 012A,<5,<5,136,<5,0,5,145
E01015203,Torbay 012B,<5,0,123,<5,<5,<5,131
E01015204,Torbay 012C,<5,0,215,<5,5,<5,227
E01015205,Torbay 012D,<5,0,151,<5,0,<5,157
E01015206,Torbay 012E,<5,<5,211,5,<5,5,226
E01015207,Torbay 009A,5,0,211,<5,0,<5,221
E01015208,Torbay 019F,<5,0,224,<5,0,6,235
E01015209,Torbay 019A,<5,<5,226,<5,<5,<5,237
E01015210,Torbay 007B,<5,0,215,0,0,<5,223
E01015211,Torbay 009C,0,0,183,<5,0,<5,189
E01015212,Torbay 007C,<5,0,169,<5,0,5,177
E01015213,Torbay 007D,<5,0,164,<5,<5,<5,174
E01015214,Torbay 006A,<5,0,174,0,<5,<5,184
E01015215,Torbay 006B,0,0,192,0,<5,<5,197
E01015216,Torbay 006C,<5,0,204,0,<5,<5,212
E01015217,Torbay 008A,<5,0,251,0,<5,<5,260
E01015218,Torbay 006D,<5,0,209,<5,<5,5,221
E01015219,Torbay 015A,<5,0,206,0,<5,<5,213
E01015220,Torbay 015B,0,0,135,<5,<5,<5,141
E01015221,Torbay 015C,<5,0,222,0,<5,<5,231
E01015222,Torbay 015D,<5,0,160,0,0,<5,166
E01015223,Torbay 015E,<5,0,110,<5,0,<5,114
E01015224,Torbay 011A,<5,0,182,<5,0,<5,189
E01015225,Torbay 011B,<5,0,154,<5,<5,0,158
E01015226,Torbay 011C,<5,0,150,<5,<5,<5,155
E01015227,Torbay 011D,<5,0,163,5,<5,<5,174
E01015228,Torbay 011E,6,0,226,<5,<5,7,244
E01015229,Torbay 014A,<5,0,237,<5,<5,6,251
E01015230,Torbay 011F,0,<5,162,<5,0,<5,165
E01015231,Torbay 014B,<5,0,282,<5,<5,<5,291
E01015232,Torbay 014C,<5,0,299,9,<5,9,321
E01015233,Torbay 014D,<5,0,238,<5,<5,<5,249
E01015234,Torbay 014E,<5,0,126,<5,<5,<5,132
E01015235,Torbay 014F,<5,0,260,<5,0,10,273
E01015236,Torbay 002A,<5,0,207,0,<5,5,217
E01015237,Torbay 002B,<5,0,126,<5,0,<5,131
E01015238,Torbay 002C,<5,0,202,<5,<5,<5,208
E01015239,Torbay 002D,<5,0,365,<5,<5,<5,370
E01015240,Torbay 005A,<5,0,369,<5,0,<5,376
E01015241,Torbay 005B,<5,0,216,<5,0,<5,221
E01015242,Torbay 005C,<5,0,155,<5,<5,0,160
E01015243,Torbay 005D,0,0,146,<5,0,7,154
E01015244,Torbay 018A,<5,0,186,<5,<5,<5,194
E01015245,Torbay 018B,<5,0,161,<5,<5,<5,173
E01015246,Torbay 018C,<5,0,208,5,0,<5,215
E01015247,Torbay 018D,<5,0,222,<5,<5,<5,228
E01015248,Torbay 018E,<5,<5,200,<5,0,<5,210
E01015249,Torbay 003A,<5,0,214,<5,<5,0,219
E01015250,Torbay 003B,<5,0,175,<5,<5,<5,183
E01015251,Torbay 003C,0,0,125,<5,0,<5,130
E01015252,Torbay 003D,5,0,331,5,<5,<5,346
E01015253,Torbay 003E,<5,0,151,0,0,11,164
E01015254,Torbay 003F,0,0,188,<5,<5,<5,195
E01015255,Torbay 008B,0,0,292,5,<5,<5,302
E01015256,Torbay 008C,<5,<5,390,6,9,12,420
E01015257,Torbay 004A,<5,0,238,<5,0,<5,243
E01015258,Torbay 004B,<5,0,276,<5,<5,6,290
E01015259,Torbay 004C,0,0,187,0,<5,0,190
E01015260,Torbay 004D,<5,0,267,<5,6,<5,283
E01015261,Torbay 008D,<5,0,302,5,<5,<5,315
E01015262,Torbay 001A,0,0,193,<5,<5,<5,196
E01015263,Torbay 001B,<5,0,240,5,<5,<5,254
E01015264,Torbay 001C,<5,0,173,<5,0,<5,177
E01015265,Torbay 001D,5,0,166,<5,0,<5,177
