,,14,15,16,17,18,19
E01015127,Plymouth 030B,156,158,155,151,157,152
E01015128,Plymouth 032A,141,127,132,145,146,153
E01015129,Plymouth 032B,133,120,121,128,138,132
E01015130,Plymouth 032C,151,133,127,115,121,119
E01015131,Plymouth 030C,149,154,162,162,146,147
E01015132,Plymouth 030D,156,163,152,149,141,153
E01015133,Plymouth 030E,149,133,120,117,125,132
E01015134,Plymouth 032D,173,176,168,155,164,186
E01015135,Plymouth 031A,171,162,152,160,161,172
E01015136,Plymouth 031B,153,154,138,136,127,127
E01015137,Plymouth 031C,144,131,121,131,129,136
E01015138,Plymouth 031D,140,142,142,143,147,160
E01015139,Plymouth 031E,179,180,187,172,151,136
E01015140,Plymouth 032E,150,148,151,147,148,142
E01015141,Plymouth 031F,190,174,161,155,161,165
E01015142,Plymouth 009B,131,134,139,150,160,173
E01015143,Plymouth 009C,150,141,147,147,146,153
E01015144,Plymouth 009D,205,180,166,173,177,174
E01015145,Plymouth 014E,258,241,245,246,255,256
E01015146,Plymouth 009E,188,182,179,182,191,203
E01015147,Plymouth 006D,156,155,164,165,159,154
E01015148,Plymouth 006E,184,166,162,170,181,187
E01015149,Plymouth 009F,187,190,208,202,207,191
E01015150,Plymouth 009G,146,145,149,158,170,165
E01015151,Plymouth 029A,199,198,189,203,198,190
E01015152,Plymouth 027C,261,261,241,239,235,262
E01015153,Plymouth 029B,225,202,195,205,218,245
E01015155,Plymouth 029C,259,236,241,250,261,282
E01015156,Plymouth 027E,194,184,181,197,198,205
E01015157,Plymouth 029D,253,246,247,263,272,293
E01015158,Plymouth 029E,231,234,237,253,266,287
E01015159,Plymouth 002B,215,221,219,216,214,214
E01015160,Plymouth 001C,141,133,135,126,126,124
E01015161,Plymouth 002C,170,161,165,162,165,172
E01015162,Plymouth 002D,199,185,179,172,176,196
E01015163,Plymouth 003D,160,169,174,194,197,214
E01015164,Plymouth 001D,166,178,188,212,200,202
E01015165,Plymouth 003E,186,167,153,161,145,136
E01015166,Plymouth 002E,161,172,188,215,232,252
E01015167,Plymouth 020C,152,143,137,164,172,174
E01015168,Plymouth 020D,188,171,170,160,161,167
E01015169,Plymouth 024A,215,205,197,205,208,212
E01015170,Plymouth 024B,221,217,187,201,195,222
E01015171,Plymouth 020E,254,240,229,226,207,203
E01015172,Plymouth 029F,177,160,160,162,175,165
E01015173,Plymouth 024C,183,164,153,163,166,173
E01015174,Plymouth 024D,166,156,147,149,148,145
E01015175,Plymouth 025C,150,139,137,143,140,148
E01015176,Plymouth 021F,213,210,200,208,203,212
E01015177,Plymouth 025D,136,128,125,121,114,126
E01015178,Plymouth 025E,148,131,121,121,127,142
E01015179,Plymouth 028B,130,123,116,105,104,101
E01015180,Plymouth 028C,236,214,203,200,202,209
E01015181,Plymouth 028D,182,170,178,191,210,212
E01015182,Plymouth 028E,258,227,232,229,245,259
E01015183,Torbay 017A,133,144,143,156,165,180
E01015184,Torbay 017B,162,141,128,134,160,189
E01015185,Torbay 017C,154,149,144,148,151,158
E01015186,Torbay 017D,132,130,137,137,150,167
E01015187,Torbay 017E,139,139,149,147,150,149
E01015188,Torbay 017F,171,173,169,171,176,188
E01015189,Torbay 017G,112,106,111,113,122,122
E01015190,Torbay 013A,179,181,161,169,182,201
E01015191,Torbay 013B,119,119,114,129,143,157
E01015192,Torbay 013C,151,147,140,143,141,148
E01015193,Torbay 013D,139,125,117,125,150,166
E01015194,Torbay 013E,128,123,144,144,152,159
E01015195,Torbay 013F,151,137,142,136,161,185
E01015196,Torbay 013G,156,166,170,187,199,235
E01015197,Torbay 016A,116,118,128,130,135,139
E01015198,Torbay 016B,157,160,155,172,186,218
E01015199,Torbay 016C,135,133,137,146,161,153
E01015200,Torbay 016D,102,100,100,92,101,103
E01015201,Torbay 016E,113,118,113,125,134,148
E01015202,Torbay 012A,107,116,125,117,124,132
E01015203,Torbay 012B,108,109,118,108,111,115
E01015204,Torbay 012C,136,131,125,131,147,181
E01015205,Torbay 012D,123,128,131,128,130,139
E01015206,Torbay 012E,146,158,160,168,177,200
E01015207,Torbay 009A,107,120,128,141,165,193
E01015208,Torbay 019F,154,163,157,172,183,216
E01015209,Torbay 019A,219,207,193,187,187,209
E01015210,Torbay 007B,174,175,185,186,189,193
E01015211,Torbay 009C,143,142,132,141,154,174
