Area,16 to 24
E01019928,0.058861192
E01019929,0.058734737
E01019930,0.072323825
E01019931,0.070185138
E01019932,0.065718889
E01019933,0.068373473
E01019934,0.073503401
E01019935,0.05796088
E01019936,0.057719484
E01019937,0.057160394
E01019938,0.047242867
E01019939,0.056676774
E01019940,0.059718783
E01019942,0.071729255
E01019943,0.056662841
E01019944,0.063631802
E01019945,0.056563583
E01019946,0.072205263
E01019947,0.082494707
E01019948,0.070068438
E01019949,0.081467879
E01019950,0.061538414
E01019951,0.066945553
E01019952,0.073739009
E01019953,0.068438515
E01019954,0.06200046
E01019955,0.068812742
E01019956,0.092124796
E01019957,0.089918622
E01019958,0.072615998
E01019959,0.046550294
E01019960,0.043266773
E01019961,0.057368859
E01019962,0.052240027
E01019963,0.061136479
E01019964,0.05528402
E01019965,0.055897603
E01019966,0.049987419
E01019967,0.04575057
E01019968,0.06772895
E01019969,0.056614153
E01019970,0.080156197
E01019971,0.083840976
E01019972,0.050086845
E01019973,0.065447047
E01019974,0.06324895
E01019975,0.051954202
E01019976,0.091868299
E01019977,0.062885328
E01019980,0.045082773
E01019981,0.049810689
E01019982,0.042848385
E01019983,0.043578482
E01019984,0.041007241
E01019985,0.04849233
E01019986,0.064202446
E01019987,0.077110195
E01019988,0.083225293
E01019989,0.097404567
E01019990,0.042694735
E01019991,0.059248421
E01019992,0.07178985
E01019993,0.052984336
E01019994,0.049613444
E01019995,0.088261943
E01019996,0.11270522
E01019997,0.048713289
E01019998,0.054693432
E01019999,0.064595303
E01020000,0.070398269
E01020001,0.042594571
E01020002,0.073536766
E01020003,0.06698555
E01020004,0.062505949
E01020005,0.065993093
E01020006,0.052907746
E01020007,0.052187593
E01020008,0.062179015
E01020009,0.063871621
E01020010,0.060336515
E01020011,0.054983355
E01020012,0.065379664
E01020013,0.062933139
E01020014,0.04860375
E01020015,0.057813321
E01020016,0.057811102
E01020017,0.067585509
E01020018,0.073574293
E01020019,0.105229722
E01020020,0.083614459
E01020021,0.072443985
E01020022,0.071238382
E01020023,0.063611682
E01020024,0.076102313
