,,4,5,6,7,8,9
Area,Label,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016
E01015076,Plymouth 009A,86.98782766,84.72765745,83.30889925,84.84631974,83.47584554,83.25193309
E01015077,Plymouth 011B,81.60185613,81.2545346,80.44828181,79.31490624,79.01555554,79.6575213
E01015078,Plymouth 013C,77.78216456,77.9160484,80.66502341,79.13646728,77.44365514,76.41385489
E01015079,Plymouth 011C,83.06773768,82.44931176,83.47823191,82.16884207,83.20708112,82.91182754
E01015080,Plymouth 013D,79.92597322,78.65661946,79.7942105,78.67742735,80.3288842,80.44886203
E01015081,Plymouth 007C,82.1580221,81.93966122,81.77781293,80.38874541,80.60246355,83.06204641
E01015082,Plymouth 004B,78.50609555,77.28169212,76.57957076,78.19283452,77.56899359,77.06565112
E01015083,Plymouth 004C,77.12163053,78.35876763,76.74980219,75.60909938,74.82489299,75.15024465
E01015084,Plymouth 004D,78.83533547,79.22254181,80.00813757,81.00910377,81.93676407,84.43213802
E01015085,Plymouth 006A,82.83996153,81.40543293,80.73674072,79.96113349,81.57839645,81.30206892
E01015086,Plymouth 007D,84.27843355,82.40089497,81.69359281,80.30569431,80.26972819,80.38184919
E01015087,Plymouth 006B,74.87952285,74.53971096,74.85499404,77.94168447,77.51085331,78.30919162
E01015088,Plymouth 006C,77.31620158,77.0397304,77.57217058,77.52604167,78.68931879,79.17386958
E01015089,Plymouth 007E,78.2661917,77.83544401,76.90879887,77.47650406,76.52719655,76.73386047
E01015090,Plymouth 005A,81.39468555,81.36769867,82.63676178,84.14704839,83.28656939,83.50682462
E01015091,Plymouth 005B,85.33334699,86.49780667,87.06598258,88.64276951,86.30968407,85.15362828
E01015092,Plymouth 005C,76.10762318,76.99539187,76.13595718,78.85540367,78.60277364,77.183265
E01015093,Plymouth 005D,80.24740592,81.57414333,81.92813502,84.10021105,83.41296429,83.18965877
E01015094,Plymouth 005E,79.60052147,80.94952604,81.74274132,81.87039486,81.29001526,81.50142349
E01015095,Plymouth 010D,79.45388803,81.27902773,81.13246509,80.15376005,80.18877441,80.74961577
E01015096,Plymouth 010E,87.27132291,83.44634476,81.10308075,80.83759934,78.55349787,78.54756742
E01015097,Plymouth 001B,83.42392664,81.51832091,81.78956458,81.44071553,81.82748629,81.80766437
E01015098,Plymouth 017A,81.99123164,83.85472534,83.1398383,82.98055917,84.46393361,86.77065312
E01015099,Plymouth 017B,86.1697844,85.55891453,86.75481724,90.2163581,85.87932396,86.9654443
E01015100,Plymouth 017C,82.4763445,83.43863417,84.19059581,83.87524766,83.94454361,83.9556837
E01015101,Plymouth 016E,81.34502755,80.99291001,78.80654546,76.52755088,77.67372075,76.99879457
E01015102,Plymouth 011D,81.50226971,81.79783644,82.68731957,82.16794192,84.03031467,83.5887031
E01015103,Plymouth 017D,86.35284434,84.62518018,82.75617838,80.38999319,80.27447978,80.39498164
E01015104,Plymouth 011E,83.93508564,83.567834,82.36957372,82.33044514,82.77238603,84.35169338
E01015105,Plymouth 017E,82.81832113,84.38901628,84.48295287,84.4047543,85.3098616,85.07492849
E01015106,Plymouth 013E,84.50218699,84.21502463,84.16208555,85.23221102,84.63584374,83.92274614
E01015107,Plymouth 018A,81.88527292,80.45393351,77.7834614,79.84399229,80.75794288,81.5958464
E01015108,Plymouth 022A,83.18759777,83.66507734,82.70854715,81.63402826,82.40402511,84.25963538
E01015109,Plymouth 022B,86.86091051,84.4287305,86.97056939,86.56642107,85.53012481,86.561791
E01015110,Plymouth 018B,87.2634948,85.42326702,87.58151384,92.96098893,94.45914198,97.47454092
E01015111,Plymouth 018C,84.38364262,85.61739047,85.64675425,85.78739433,83.40069599,84.08150636
E01015112,Plymouth 019A,77.8207708,77.81367512,77.24739072,76.94115165,76.98419715,77.825846
E01015113,Plymouth 019B,84.2183445,84.67408798,84.73300095,83.35997363,84.27700846,83.96822968
E01015114,Plymouth 019C,78.98342212,79.9108758,81.63767384,82.86170398,84.59002278,83.80594505
E01015115,Plymouth 022C,82.81068574,81.6455336,81.12879776,80.44133192,80.58378109,81.3337053
E01015116,Plymouth 022D,85.16596888,86.39555746,84.63239309,85.87302586,84.27798239,85.53065595
E01015117,Plymouth 022E,84.84934208,84.91145883,86.95100655,86.29151486,83.42593853,84.43670661
E01015118,Plymouth 019D,85.1378919,86.11139616,86.72416999,88.87232307,85.24432774,87.47748663
E01015119,Plymouth 018D,83.98208273,85.10307398,86.86330427,82.9054606,83.40770973,83.08175153
E01015120,Plymouth 015A,76.33493038,77.31615929,78.84088174,79.13383738,78.98844149,79.17308061
E01015121,Plymouth 015B,83.74845117,83.41777576,84.04776232,84.57700675,85.35492123,84.43584975
E01015122,Plymouth 019E,82.23326968,81.77022912,82.25770422,82.72879521,82.94323557,84.07803272
E01015123,Plymouth 015C,78.35269497,77.95242331,79.12047768,80.03381076,80.07127568,78.36977152
E01015124,Plymouth 015D,81.40191448,83.02169131,81.64378792,81.90359075,82.01897579,82.55833694
E01015125,Plymouth 015E,84.63362503,83.58191278,84.05837753,84.76950383,82.08002298,83.17377193
E01015126,Plymouth 030A,82.97573205,83.46724437,83.18274112,83.53059074,83.63454336,83.1902471
E01015127,Plymouth 030B,78.67371301,78.8821049,80.20302949,80.76591632,81.57046662,81.40673706
E01015128,Plymouth 032A,83.19265002,80.85328618,82.43147631,81.8128591,83.64278633,83.73925351
E01015129,Plymouth 032B,82.47283304,84.28474097,86.21417939,83.78963735,85.57145002,88.16476959
E01015130,Plymouth 032C,83.82085518,83.20724786,85.22654887,90.16182359,91.55328207,88.5582834
E01015131,Plymouth 030C,80.03877635,79.14337065,80.34279748,79.59110522,81.06360598,86.03552405
E01015132,Plymouth 030D,84.54404525,83.68464767,85.026593,85.04134604,84.25259341,83.62098881
E01015133,Plymouth 030E,85.37769685,85.1738622,83.74037098,84.29990261,81.56104545,82.35098389
E01015134,Plymouth 032D,83.65188826,84.57707404,85.08488245,85.45113732,84.91318442,84.00136864
E01015135,Plymouth 031A,81.83677867,79.62992058,79.81782168,80.50075166,80.78223427,81.21059598
E01015136,Plymouth 031B,85.15484285,83.68281113,84.26129982,84.30640282,83.56988622,83.13113607
E01015137,Plymouth 031C,82.39722948,81.93223206,81.07632465,81.08331509,81.36602621,81.36128486
E01015138,Plymouth 031D,83.32996778,83.57492635,84.19652594,84.7090216,86.11482894,86.31820424
E01015139,Plymouth 031E,77.80246885,79.19187042,80.14000519,80.29233586,81.32438161,80.94288285
E01015140,Plymouth 032E,83.29944075,82.85595395,83.34661849,85.69382767,85.68583526,85.72863885
E01015141,Plymouth 031F,82.34439176,83.27946431,85.79309823,86.12122423,84.5815152,85.2825828
E01015142,Plymouth 009B,82.39742643,85.34299052,84.97716087,83.61733169,82.17151726,81.37499518
E01015143,Plymouth 009C,77.79629824,78.55642791,78.20034128,79.3541048,81.35917755,80.13079807
E01015144,Plymouth 009D,76.33021867,75.88647028,74.30534509,75.57306376,76.74304837,79.10453647
E01015145,Plymouth 014E,73.42966484,81.25646456,77.94199304,81.59911577,79.9171003,73.64135323
E01015146,Plymouth 009E,78.75554905,79.21534635,83.24035769,84.15253453,79.84893151,78.88108365
E01015147,Plymouth 006D,80.94801246,81.82800613,82.49146898,82.37411167,82.56020008,81.13964193
E01015148,Plymouth 006E,79.70226359,80.10729579,81.0527875,81.4111556,81.53022995,81.7347627
E01015149,Plymouth 009F,74.37600806,74.68530752,74.93228442,78.08207482,78.37253448,79.62709198
E01015150,Plymouth 009G,79.36038503,75.64782815,78.5713637,78.8537803,81.62607484,79.73921855
E01015151,Plymouth 029A,75.52533916,75.45859891,73.51831054,73.36596098,76.58527231,73.06511412
E01015152,Plymouth 027C,79.64185814,79.65099743,80.96145914,79.90044021,78.44151058,77.45628476
E01015153,Plymouth 029B,76.79576718,77.05045189,76.72253163,76.36535538,77.42092986,76.76350076
E01015155,Plymouth 029C,74.44629115,74.59383465,72.31980093,71.67382667,71.78093516,71.60874119
E01015156,Plymouth 027E,76.35367786,74.01141869,77.3529132,75.47476847,77.9985894,75.57977359
E01015157,Plymouth 029D,78.12433087,76.69810111,75.04947146,75.84528162,75.97677567,75.9460814
E01015158,Plymouth 029E,76.29412361,74.47069588,75.94969382,75.7632799,77.53251133,77.05798291
