Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E01015106,5,5,5,10,10,10,10,5,10,10,15,10,10,5,5,5
E01015107,10,15,10,15,20,20,20,20,15,15,15,20,10,10,15,10
E01015108,0,5,10,10,10,15,10,15,10,5,10,10,15,20,15,20
E01015109,10,10,10,10,10,10,5,10,10,15,5,15,15,15,15,15
E01015110,10,5,5,0,5,10,10,5,5,10,10,15,10,15,15,15
E01015111,10,10,10,5,10,5,10,10,10,5,5,5,10,15,20,20
E01015112,5,5,10,5,5,10,5,5,10,5,5,10,5,5,10,10
E01015113,10,5,10,5,5,5,5,5,5,10,10,10,10,10,10,10
E01015114,0,0,0,10,5,5,5,5,5,5,10,5,5,5,5,10
E01015115,10,15,20,20,15,15,15,15,15,20,20,15,20,15,15,20
E01015116,10,5,10,10,5,10,10,5,5,10,10,10,10,10,15,15
E01015117,15,20,20,20,15,15,10,5,5,10,10,10,10,20,20,20
E01015118,5,5,5,5,5,5,10,5,5,5,5,5,15,5,15,10
E01015119,5,5,5,5,5,5,5,10,10,15,10,10,10,15,10,10
E01015120,15,15,15,20,20,10,15,15,15,20,15,15,15,15,15,10
E01015121,5,5,5,5,5,5,5,5,5,10,15,10,10,10,5,10
E01015122,10,10,10,5,10,15,20,10,15,10,15,15,15,15,15,15
E01015123,15,15,15,15,15,10,5,5,5,5,5,5,5,5,5,10
E01015124,5,5,10,10,10,5,10,10,5,10,5,5,5,10,10,15
E01015125,10,5,10,10,10,10,15,15,20,20,15,20,20,25,20,20
E01015126,5,5,5,5,10,10,15,15,15,10,10,10,10,10,5,5
E01015127,10,15,10,15,10,15,15,15,10,10,10,10,10,15,20,20
E01015128,10,10,10,10,5,10,10,5,5,10,10,15,15,10,15,15
E01015129,10,10,15,15,10,10,15,15,10,10,10,10,10,10,15,15
E01015130,5,5,5,10,10,10,10,10,10,10,10,10,15,15,10,10
E01015131,10,5,5,10,10,5,5,5,5,10,10,10,5,5,5,5
E01015132,5,5,10,10,10,10,10,10,15,15,15,15,15,15,15,20
E01015133,10,15,15,10,15,10,10,15,10,15,15,10,5,10,15,15
E01015134,10,10,10,10,5,10,10,10,10,5,5,0,10,5,10,10
E01015135,15,15,20,15,20,20,20,20,20,20,15,25,20,25,35,40
E01015136,10,10,10,15,15,15,15,20,15,20,15,20,20,20,20,15
E01015137,15,10,15,15,10,10,10,15,15,10,10,10,15,10,10,15
E01015138,5,10,10,5,5,5,5,5,5,5,10,10,10,10,5,5
E01015139,15,10,10,10,10,15,15,10,10,10,10,10,15,20,15,20
E01015140,10,10,10,15,10,10,15,10,10,5,5,10,10,10,10,15
E01015141,5,5,5,0,0,0,5,5,10,10,10,15,10,10,15,15
E01015142,5,5,5,10,10,5,5,5,5,5,5,5,10,15,15,20
E01015143,15,15,15,15,15,10,15,15,10,10,15,20,15,15,15,20
E01015144,20,25,20,20,15,20,15,20,20,20,25,20,25,40,50,50
E01015145,15,20,15,15,20,15,20,25,20,20,15,25,35,35,40,45
E01015146,15,15,20,20,25,20,20,25,20,30,30,30,35,40,45,45
E01015147,15,20,15,15,10,15,15,10,10,15,15,15,15,10,15,15
E01015148,20,20,15,20,20,15,10,15,15,10,10,25,25,25,20,30
E01015149,25,20,25,25,30,25,25,25,30,35,35,35,35,45,45,45
E01015150,15,20,20,20,15,20,20,20,20,25,20,20,25,25,20,30
E01015151,20,20,20,15,15,20,15,15,15,15,15,20,25,30,30,35
E01015152,20,20,20,20,20,20,20,20,25,20,20,25,25,25,35,25
E01015153,15,20,10,20,15,20,20,25,20,25,20,20,25,30,30,30
E01015155,15,20,25,25,10,15,15,25,20,20,20,25,30,35,45,45
E01015156,5,5,10,10,10,5,5,5,10,10,10,10,5,5,10,5
E01015157,5,10,10,10,10,10,15,10,10,10,15,15,15,15,15,20
E01015158,5,5,10,10,10,10,10,10,5,10,5,15,10,10,15,20
E01015159,15,10,15,10,10,15,15,10,15,15,10,20,20,20,20,20
E01015160,10,10,10,10,10,5,10,10,10,10,5,10,10,15,15,15
E01015161,15,20,15,15,15,5,10,10,20,20,20,20,20,15,20,25
E01015162,10,10,15,15,10,15,15,20,20,15,25,30,20,30,25,30
E01015163,15,15,5,10,10,10,10,10,5,10,15,20,20,20,25,20
E01015164,10,10,15,10,15,15,15,15,15,15,15,20,30,25,30,25
E01015165,0,5,5,5,10,10,5,10,10,10,5,10,15,15,10,10
E01015166,15,10,15,20,15,15,15,15,15,25,25,25,25,30,35,40
E01015167,5,10,5,5,0,5,15,10,10,15,15,15,15,20,20,20
E01015168,10,15,20,15,15,20,20,15,15,20,15,15,15,20,20,20
E01015169,10,15,15,15,15,10,10,10,10,10,10,10,10,15,15,15
E01015170,10,15,20,20,15,15,15,15,10,15,10,15,20,20,25,15
E01015171,10,15,10,10,10,5,5,0,5,10,5,5,5,10,10,10
E01015172,5,5,10,10,5,5,5,5,5,10,10,10,10,15,15,15
E01015173,5,5,5,5,5,5,5,10,5,10,5,10,10,5,5,10
E01015174,5,10,10,5,10,10,10,10,10,15,15,15,25,20,15,15
E01015175,5,5,5,10,15,10,10,10,10,10,10,10,10,10,10,10
E01015176,20,15,20,20,25,20,25,20,25,30,30,30,30,35,40,35
E01015177,10,5,5,10,10,10,10,10,10,10,10,15,10,10,20,15
E01015178,10,10,10,10,15,15,15,10,10,5,10,10,10,15,15,20
E01015179,5,0,0,5,0,0,0,0,5,0,5,5,10,5,5,5
E01015180,10,5,15,15,5,10,15,20,20,15,20,20,25,25,25,25
E01015181,10,10,10,10,10,5,5,10,10,10,10,10,10,15,20,15
E01015182,25,15,20,20,15,10,15,15,10,15,15,15,20,35,30,30
E01015183,10,10,5,10,5,5,10,5,10,5,5,10,15,10,15,10
E01015184,15,15,15,10,10,10,15,10,10,10,10,10,10,10,10,15
E01015185,10,15,15,10,10,10,10,10,5,10,10,10,20,15,10,20
E01015186,10,15,15,20,15,15,15,15,15,10,15,10,15,15,15,15
E01015187,5,15,15,20,10,15,15,10,10,10,15,10,10,15,15,15
E01015188,10,10,10,10,10,10,10,5,5,10,10,10,15,20,20,15
E01015189,5,5,5,5,10,10,10,10,10,15,20,15,15,10,15,20
E01015190,5,10,15,15,15,15,20,15,15,20,20,20,35,30,35,35
E01015191,5,5,10,10,10,20,20,15,15,20,20,25,30,25,25,20
E01015192,15,15,15,20,25,25,25,30,25,20,20,30,25,30,40,40
E01015193,10,20,20,25,20,20,15,15,20,15,15,20,20,20,20,25
E01015194,5,15,15,20,20,15,20,20,20,25,25,25,30,35,35,40
E01015195,10,15,20,25,20,20,20,20,25,20,15,20,20,30,35,25
E01015196,25,25,35,35,30,30,25,30,30,40,40,45,45,55,60,60
E01015197,5,15,10,15,15,10,15,10,10,5,10,10,5,10,5,10
E01015198,10,15,10,10,15,10,15,20,15,20,15,15,15,15,20,25
E01015199,5,10,10,15,10,10,10,10,10,10,5,5,5,5,10,10
E01015200,10,10,15,15,10,10,10,10,15,5,10,15,10,10,15,20
E01015201,5,5,10,5,5,10,5,10,15,5,5,10,10,10,10,15
E01015202,15,15,20,15,20,20,20,10,10,15,15,15,20,20,10,15
E01015203,5,5,10,5,10,10,10,5,10,10,10,10,10,15,15,15
E01015204,15,5,15,15,20,15,15,15,15,20,20,15,20,20,20,25
