Area,2011,2012,2013,2014,2015,2016
E01015090,26525.70275,25123.56676,26310.25575,20637.52848,23322.78234,23386.09623
E01015091,23484.10684,25177.43354,27708.55,25076.51537,28361.68364,29448.03901
E01015092,30943.26593,32724.95225,31475.8665,28542.53317,29602.97401,28836.26129
E01015093,27499.02367,28612.98312,28157.81815,26539.11685,27520.36433,26678.22818
E01015094,32541.30155,31658.41556,30892.19577,28335.83213,27955.39373,30217.53947
E01015095,29089.44161,31929.19107,29128.90938,27172.54575,29292.63728,30623.63788
E01015096,30132.02045,29910.67714,31483.95069,28378.76551,28287.42205,26775.92213
E01015097,24122.17471,20470.42466,21714.79848,18991.87451,18588.07334,21962.77559
E01015098,19217.90576,18602.49322,18034.51728,16992.57744,19323.35774,19935.54134
E01015099,17667.49637,16019.23057,15625.98918,13694.60916,15210.12425,16439.20079
E01015100,19156.53823,20184.39386,19189.13182,17509.7699,19835.92973,18891.295
E01015101,20414.28075,21598.11723,18796.88238,17019.18653,18506.4153,20091.88598
E01015102,21717.08439,19555.33648,19656.71367,18247.79084,21289.73557,21233.95555
E01015103,19464.13407,18457.60897,19415.4845,17370.97067,20558.92762,20852.39647
E01015104,17348.55192,15163.57433,15959.88929,15167.24859,17166.69639,18290.3361
E01015105,17100.28454,16821.50605,14700.23921,13847.27511,16473.78761,17960.35268
E01015106,17459.4179,18560.50661,16785.30513,15384.26165,17337.97941,19936.98676
E01015107,22572.1128,20222.40658,21993.28095,19233.58058,21637.61342,22677.94985
E01015108,17205.99468,20375.17206,19278.70332,16409.32854,18266.68624,18084.91462
E01015109,23091.33816,18907.46803,24126.19739,21663.23443,22119.28555,22727.05363
E01015110,17563.88196,17598.72965,16784.25347,15862.92014,17805.57072,17772.67669
E01015111,18222.36542,16268.89112,18023.73017,17146.93602,19495.9008,20752.38844
E01015112,23586.93554,24438.71564,22610.94413,20774.13651,22595.50854,23383.0034
E01015113,18961.16473,18424.08586,18689.07981,17084.77873,18484.79728,17985.16204
E01015114,18848.91842,17003.76128,13621.44258,12120.4902,13936.13676,14578.31705
E01015115,27793.12611,25457.76099,22848.50964,20913.12503,23801.68461,21518.39264
E01015116,18277.78888,22334.69687,17695.74612,16732.09756,19439.06971,19653.33074
E01015117,21214.43317,19046.08341,19105.91838,17441.68339,19612.83521,20614.16007
E01015118,21114.49622,17455.25373,17775.21535,16443.7211,19604.43379,20765.91944
E01015119,16996.87867,16794.0063,17360.73786,15794.77233,17351.21165,18909.37391
E01015120,19199.48874,21366.94001,19614.39831,18320.45891,18177.51186,19111.04235
E01015121,17893.88105,17599.00098,16652.96324,16644.65155,17323.15388,18962.19934
E01015122,25472.73285,20460.61495,18545.80823,16363.71299,16962.06764,17584.93137
E01015123,21293.74939,22732.25599,22648.97307,19278.09861,20974.12617,20975.66726
E01015124,19484.94402,21051.87732,20245.86489,18882.19541,20895.31579,19538.50885
E01015125,19385.44033,19249.63552,16919.51536,16217.91744,20404.31439,20660.12956
E01015126,15530.19328,18115.97305,17539.67373,15780.78871,16140.95863,16002.57638
E01015127,17796.31861,19338.14651,16914.04096,15283.56477,17800.83201,19216.3699
E01015128,15201.98472,14317.44846,15591.29881,14242.27921,16809.43248,18671.62801
E01015129,19102.7426,20104.81144,19962.36564,18409.07511,19063.88489,21508.23573
E01015130,21028.79934,17804.05688,17113.7234,14395.13933,17241.97953,18739.51087
E01015131,18498.50486,16671.08585,14088.77402,12996.09109,13904.39083,13864.14633
E01015132,17953.23017,22431.92458,16560.23805,15049.12694,18144.35942,20208.17966
E01015133,17189.71002,16498.67232,14774.77608,12596.57168,15496.18608,16797.93186
E01015134,18091.75696,18195.72132,15582.67148,14501.78259,15676.93423,17748.46546
E01015135,21175.24828,21427.10152,23243.4996,21421.27738,23277.83209,24553.539
E01015136,18305.85103,15185.34147,16577.60492,14776.20632,16476.30156,18084.59037
E01015137,15492.70641,17525.35641,16068.2223,13461.1405,17055.53093,17917.65391
E01015138,22083.22424,18158.91686,17049.67771,15293.78027,17901.22506,18076.29716
E01015139,24517.14299,21967.10034,23669.54608,21026.35974,24632.80022,26678.81129
E01015140,19328.39389,17249.39385,18924.5076,16830.79331,18073.79906,18129.98318
E01015141,20854.8701,17893.69489,17779.5354,15756.2912,17450.13908,18811.72045
E01015142,23379.51477,23230.12445,19067.11118,18118.3,21694.07326,23907.18415
E01015143,25642.41144,23101.88883,22767.51484,21741.0138,23324.85776,25600.52975
E01015144,27259.1978,26670.09605,25785.05472,23568.93751,24489.3491,25778.5676
E01015145,30512.79148,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
E01015146,25215.25966,26164.82948,25179.71111,22932.56332,25390.41657,25655.67021
E01015147,22009.08351,25446.01494,22463.00837,20589.71644,23346.17098,23909.28075
E01015148,26266.49822,27032.83748,28068.56876,26358.8399,28821.45727,29645.63686
E01015149,29417.84806,29477.55276,28496.86032,26310.98967,29013.31105,30860.34387
E01015150,24378.2791,26103.01763,23082.10381,20650.73126,23464.42607,26450.78386
E01015151,23055.87719,27601.36916,24929.13777,23687.80568,24217.44658,26244.09178
E01015152,30528.25282,31572.60638,27771.1311,26790.83629,29893.37588,29467.18031
E01015153,27190.65929,24250.38849,24924.47067,23140.88093,26857.53727,31872.31956
E01015155,28615.94875,25260.20308,29207.50687,27054.05144,29898.31016,31016.76894
E01015156,30279.94157,35460.22414,35565.74071,33498.34677,35907.37903,38223.33065
E01015157,22407.48212,27174.37014,23830.46825,22417.90358,25730.56567,28361.43642
E01015158,21278.35823,29677.28726,26313.35181,23865.35181,25180.38684,26326.02156
E01015159,31299.41212,28056.75081,28367.86504,26351.2602,27300.43403,27324.9766
E01015160,22565.09023,19759.26271,17927.39839,15351.64809,19200.58123,21167.67797
E01015161,26801.79087,26784.10675,26747.99508,24944.89006,26328.48655,26687.81347
E01015162,32208.80686,29200.24045,24828.38887,21757.27775,24363.62406,23613.56685
E01015163,25134.69663,26890.23777,25984.77891,23842.55669,24655.50365,25740.12306
E01015164,27359.43718,28843.3993,28616.41591,26140.94702,26233.47425,27874.3049
E01015165,23979.72496,26879.58551,24723.64803,22433.27766,22948.13086,25803.16151
E01015166,25640.98139,28665.51025,25401.0774,23295.67061,23764.05147,25178.35715
E01015167,20016.9883,19108.6513,18286.16094,16802.1238,19036.25464,22290.62691
