E01015114,Plymouth 019C,21700,23912,22056,25337,,Western
E01015115,Plymouth 022C,7795,7800,7872,7849,,Western
E01015116,Plymouth 022D,21197,20755,19858,19063,,Western
E01015117,Plymouth 022E,20882,20409,21407,21375,,Western
E01015118,Plymouth 019D,24802,24183,25260,26784,,Western
E01015119,Plymouth 018D,26493,25393,26439,25892,,Western
E01015120,Plymouth 015A,21177,22332,23145,21955,,Western
E01015121,Plymouth 015B,25580,27153,28795,28504,,Western
E01015122,Plymouth 019E,24282,22867,23637,22496,,Western
E01015123,Plymouth 015C,15449,15659,16576,16210,,Western
E01015124,Plymouth 015D,22294,22144,24870,25503,,Western
E01015125,Plymouth 015E,20931,22207,23308,23736,,Western
E01015126,Plymouth 030A,27846,29524,28786,28676,,Western
E01015127,Plymouth 030B,20677,20621,23262,20423,,Western
E01015128,Plymouth 032A,26464,24428,23985,24122,,Western
E01015129,Plymouth 032B,17853,15673,17158,14657,,Western
E01015130,Plymouth 032C,29272,26573,30163,28974,,Western
E01015131,Plymouth 030C,30617,29612,29563,30221,,Western
E01015132,Plymouth 030D,18064,17855,18453,18764,,Western
E01015133,Plymouth 030E,28519,28481,29854,29623,,Western
E01015134,Plymouth 032D,24691,25853,26056,22737,,Western
E01015135,Plymouth 031A,10408,12277,13998,13371,,Western
E01015136,Plymouth 031B,20124,19439,16154,19182,,Western
E01015137,Plymouth 031C,20094,20079,20760,24580,,Western
E01015138,Plymouth 031D,19481,20134,20288,19998,,Western
E01015139,Plymouth 031E,12966,15115,14097,14541,,Western
E01015140,Plymouth 032E,25388,25901,27335,27643,,Western
E01015141,Plymouth 031F,26368,27291,27460,27780,,Western
E01015142,Plymouth 009B,12737,13322,13454,12757,,Western
E01015143,Plymouth 009C,8489,8313,7700,7797,,Western
E01015144,Plymouth 009D,4467,4201,3397,3001,,Western
E01015145,Plymouth 014E,934,609,1832,522,,Western
E01015146,Plymouth 009E,4005,4083,4294,1955,,Western
E01015147,Plymouth 006D,12861,13941,13415,12308,,Western
E01015148,Plymouth 006E,7743,9070,8415,6594,,Western
E01015149,Plymouth 009F,3951,3782,2920,1376,,Western
E01015150,Plymouth 009G,9384,8786,9343,8468,,Western
E01015151,Plymouth 029A,1880,3264,4062,1848,,Western
E01015152,Plymouth 027C,705,1086,1575,406,,Western
E01015153,Plymouth 029B,830,1021,1001,764,,Western
E01015155,Plymouth 029C,188,99,323,154,,Western
E01015156,Plymouth 027E,4601,6360,6422,3532,,Western
E01015157,Plymouth 029D,2585,3984,4445,5594,,Western
E01015158,Plymouth 029E,5161,5382,7222,4771,,Western
E01015159,Plymouth 002B,8510,7707,7165,7676,,Western
E01015160,Plymouth 001C,28740,27970,28296,27915,,Western
E01015161,Plymouth 002C,9134,9153,10239,9093,,Western
E01015162,Plymouth 002D,7348,6765,6711,6874,,Western
E01015163,Plymouth 003D,12896,13515,14146,14190,,Western
E01015164,Plymouth 001D,15136,12933,14750,15890,,Western
E01015165,Plymouth 003E,24752,22487,23601,23062,,Western
E01015166,Plymouth 002E,7849,6462,6527,7378,,Western
E01015167,Plymouth 020C,7856,8935,7179,8819,,Western
E01015168,Plymouth 020D,7499,7599,8426,6609,,Western
E01015169,Plymouth 024A,9803,12601,14473,12523,,Western
E01015170,Plymouth 024B,5268,5195,5688,5608,,Western
E01015171,Plymouth 020E,6286,5601,6246,6202,,Western
E01015172,Plymouth 029F,6500,7531,8373,8190,,Western
E01015173,Plymouth 024C,9387,11393,11124,11610,,Western
E01015174,Plymouth 024D,12963,13590,11914,15010,,Western
E01015175,Plymouth 025C,9399,12528,12945,11411,,Western
E01015176,Plymouth 021F,5381,6451,6816,5596,,Western
E01015177,Plymouth 025D,10626,14803,13318,13065,,Western
E01015178,Plymouth 025E,10282,11503,12594,12431,,Western
E01015179,Plymouth 028B,10257,11295,12721,13443,,Western
E01015180,Plymouth 028C,3001,3024,2508,1878,,Western
E01015181,Plymouth 028D,4674,5829,5617,5036,,Western
E01015182,Plymouth 028E,2871,4002,3348,2966,,Western
E01015183,Torbay 017A,13060,11862,13102,10935,,Southern
E01015184,Torbay 017B,20484,19467,19346,18921,,Southern
