Area,2011,2012,2013,2014,2015
E01015101,0.127035831,0.092767296,0.123647604,0.105990783,0.098918083
E01015102,0.100929615,0.086845466,0.119196989,0.113065327,0.103404792
E01015103,0.130434783,0.102484472,0.168693009,0.179604262,0.172256098
E01015104,0.133105802,0.10620915,0.135566188,0.110223642,0.102728732
E01015105,0.126198083,0.095163807,0.140888208,0.145259939,0.134762634
E01015106,0.115606936,0.087751371,0.107334526,0.1005386,0.093693694
E01015107,0.046280992,0.045676998,0.074960128,0.067092652,0.0592
E01015108,0.085403727,0.063938619,0.100502513,0.103274559,0.097099622
E01015109,0.02992126,0.036308623,0.062222222,0.040118871,0.031296572
E01015110,0.05210084,0.044515103,0.076323988,0.074650078,0.0657277
E01015111,0.026124819,0.031636864,0.053835801,0.041722746,0.032388664
E01015112,0.094339623,0.069565217,0.098976109,0.097435897,0.090909091
E01015113,0.079674797,0.063369397,0.096969697,0.080181543,0.072948328
E01015114,0.103448276,0.082554517,0.103816794,0.105022831,0.094801223
E01015115,0.084569733,0.094839609,0.115068493,0.112328767,0.104395604
E01015116,0.06,0.052969502,0.089481947,0.081761006,0.070977918
E01015117,0.065068493,0.064516129,0.1,0.095461659,0.083333333
E01015118,0.102071006,0.076149425,0.100141044,0.085794655,0.078984485
E01015119,0.047923323,0.04552352,0.071216617,0.06547619,0.058295964
E01015120,0.09929078,0.086538462,0.106918239,0.094339623,0.088607595
E01015121,0.086477987,0.066165414,0.103244838,0.085545723,0.078055965
E01015122,0.098883573,0.074018127,0.106824926,0.097633136,0.089285714
E01015123,0.095435685,0.064777328,0.087533156,0.079681275,0.071904128
E01015124,0.09063893,0.074438202,0.100550964,0.093535076,0.087136929
E01015125,0.071895425,0.065625,0.105828221,0.096477795,0.089230769
E01015126,0.101265823,0.071537291,0.102831595,0.088059701,0.080838323
E01015127,0.10214168,0.086477987,0.121725732,0.102918587,0.092592593
E01015128,0.065771812,0.056265985,0.086466165,0.065081352,0.057861635
E01015129,0.031531532,0.041786744,0.076379066,0.046610169,0.039716312
E01015130,0.097152429,0.077044025,0.115740741,0.121538462,0.114374034
E01015131,0.066874028,0.043740573,0.054814815,0.047267356,0.040059347
E01015132,0.083981337,0.072674419,0.10128388,0.088319088,0.081661891
E01015133,0.079563183,0.053811659,0.085168869,0.076246334,0.069117647
E01015134,0.11196319,0.074074074,0.090277778,0.083798883,0.072727273
E01015135,0.116099071,0.1,0.112781955,0.102255639,0.095454545
E01015136,0.15640599,0.117283951,0.135951662,0.111782477,0.103343465
E01015137,0.095890411,0.078518519,0.109011628,0.100436681,0.093430657
E01015138,0.061781609,0.062586926,0.108219178,0.075136612,0.065843621
E01015139,0.092532468,0.078988942,0.109907121,0.103554869,0.094573643
E01015140,0.112654321,0.072808321,0.10787172,0.101744186,0.095168375
E01015141,0.071815718,0.049350649,0.077608142,0.064968153,0.054846939
E01015142,0.083333333,0.067524116,0.09478673,0.089622642,0.082278481
E01015143,0.096153846,0.090189873,0.118012422,0.099224806,0.091900312
E01015144,0.119008264,0.159557662,0.205882353,0.178018576,0.169517885
E01015145,0.025276461,0.097383721,0.135327635,0.155270655,0.148783977
E01015146,0.058419244,0.109195402,0.125352113,0.117397454,0.110481586
E01015147,0.115226337,0.104046243,0.133709981,0.117424242,0.108159393
E01015148,0.053680982,0.058737151,0.074927954,0.06618705,0.059334298
E01015149,0.06372549,0.167962675,0.188736682,0.172256098,0.165137615
E01015150,0.108108108,0.100303951,0.128166915,0.104477612,0.097014925
E01015151,0.194774347,0.22611465,0.245322245,0.255208333,0.247648903
E01015152,0.031216362,0.082051282,0.120603015,0.109989909,0.102020202
E01015153,0.117169374,0.141316073,0.158898305,0.149681529,0.1424017
E01015155,0.049881235,0.093555094,0.117227319,0.119144603,0.112704918
E01015156,0.077083333,0.121483376,0.139097744,0.141781681,0.133333333
E01015157,0.107795958,0.11635476,0.115537849,0.136472466,0.128
E01015158,0.103816794,0.105109489,0.144189383,0.144396552,0.136887608
E01015159,0.071523179,0.08596713,0.122828784,0.100371747,0.092154421
E01015160,0.05987055,0.051242236,0.077743902,0.065349544,0.058015267
