Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E01015056,0.005178983,0.00662053,0.004971222,0.00486436,0.00486436,0.004914889,0.005063106,0.005138081,0.003270001,0.006477682,0.006396133,0.006528908,0.007539277,0.006408545,0.005058185
E01015057,0.006080504,0.005861378,0.006080504,0.005955271,0.005531234,0.005371399,0.006918742,0.008155396,0.008198343,0.007979826,0.0077649,0.009737035,0.010533711,0.008783621,0.0077649
E01015058,0.005989538,0.007638913,0.007457782,0.005764009,0.007269006,0.008321037,0.008512121,0.008577781,0.008634872,0.008540137,0.008329941,0.007066794,0.00862055,0.007620467,0.00862055
E01015059,0.00337458,0.005053274,0.006396133,0.006268651,0.005148246,0.005138081,0.005268098,0.005048373,0.006298541,0.007340212,0.008105726,0.008105726,0.007973853,0.007973853,0.007047788
E01015060,0.005404867,0.003620643,0.00556673,0.005127956,0.007620467,0.007688207,0.007657952,0.008818741,0.007882852,0.008962075,0.006541841,0.007703424,0.007680621,0.007680621,0.006528908
E01015061,0.003511448,0.003443409,0.005321967,0.003177678,0.003213974,0.003090425,0.005990076,0.006169114,0.004947593,0.004942895,0.006268651,0.006061542,0.006050436,0.006050436,0.004775102
E01015062,0,0.002684945,0.004245382,0.003916346,0.003462943,0.003404055,0.003366622,0.003076113,0.003068858,0.001888882,0.00362576,0.002866065,0.003734414,0.002945545,0.003734414
E01015063,0.003450447,0.005199679,0.00525215,0.005246855,0.006911502,0.006839927,0.006911502,0.00839281,0.007150956,0.007081949,0.00818111,0.007051704,0.008329941,0.009421459,0.008329941
E01015064,0.005531234,0.005507821,0.003537198,0.003537198,0.003636239,0,0.003648025,0.005507821,0.005554848,0.005732268,0.00732544,0.005914666,0.007440978,0.007440978,0.007440978
E01015065,0,0,0,0.004050651,0.00393729,0.006038179,0.006073409,0.008127717,0.006473788,0.008208525,0.00673342,0.006866673,0.006830626,0.006830626,0.008649237
E01015066,0.004647193,0.004710279,0.004668033,0.0030376,0.003142192,0.004779487,0.005153343,0.003337885,0.003381339,0.005349316,0.005444444,0.005732268,0.007349895,0.005802566,0.005802566
