Area,Label,IMD Score
E02004154,Exeter 006,14.302
E02004155,Exeter 007,24.092
E02004156,Exeter 008,32.156
E02004157,Exeter 009,11.299
E02004158,Exeter 010,22.374
E02004159,Exeter 011,8.689
E02004160,Exeter 012,15.663
E02004161,Exeter 013,33.011
E02004162,Exeter 014,13.917
E02004163,Exeter 015,13.923
E02004164,Mid Devon 001,18.951
E02004165,Mid Devon 002,10.722
E02004166,Mid Devon 003,13.198
E02004167,Mid Devon 004,26.443
E02004168,Mid Devon 005,28.628
E02004169,Mid Devon 006,11.219
E02004170,Mid Devon 007,15.038
E02004171,Mid Devon 008,13.662
E02004172,Mid Devon 009,21.562
E02004173,Mid Devon 010,17.901
E02004174,Mid Devon 011,14.507
E02004175,North Devon 001,37.794
E02004176,North Devon 002,21.073
E02004177,North Devon 003,28.512
E02004178,North Devon 004,10.944
E02004179,North Devon 005,10.659
E02004180,North Devon 006,16.593
E02004181,North Devon 007,19.755
E02004182,North Devon 008,36.728
E02004183,North Devon 009,19.465
E02004184,North Devon 010,23.12
E02004185,North Devon 011,12.604
E02004186,North Devon 012,14.437
E02004187,North Devon 013,21.486
E02004188,North Devon 014,22.295
E02004189,South Hams 001,12.441
E02004190,South Hams 002,17.385
E02004191,South Hams 003,20.77
E02004192,South Hams 004,13.257
E02004193,South Hams 005,7.972
E02004194,South Hams 006,16.283
E02004195,South Hams 007,15.844
E02004196,South Hams 008,12.738
E02004197,South Hams 009,9.289
E02004198,South Hams 010,17.372
E02004199,South Hams 011,16.013
E02004200,South Hams 012,12.492
E02004201,Teignbridge 001,16.648
E02004202,Teignbridge 002,11.473
E02004203,Teignbridge 003,14.045
E02004204,Teignbridge 004,12.681
E02004205,Teignbridge 005,20.385
E02004206,Teignbridge 006,21.373
E02004207,Teignbridge 007,13.884
E02004208,Teignbridge 008,10.028
E02004209,Teignbridge 009,13.591
E02004210,Teignbridge 010,31.52
E02004211,Teignbridge 011,9.482
E02004212,Teignbridge 012,13.659
E02004213,Teignbridge 013,14.883
E02004214,Teignbridge 014,27.773
E02004215,Teignbridge 015,24.017
E02004216,Teignbridge 016,17.8
E02004217,Teignbridge 017,19.51
E02004218,Teignbridge 018,14.787
E02004219,Teignbridge 019,9.812
E02004220,Torridge 001,23.378
E02004221,Torridge 002,16.665
E02004222,Torridge 003,29.045
E02004223,Torridge 004,25.874
E02004224,Torridge 005,20.291
E02004225,Torridge 006,18.737
E02004226,Torridge 007,21.241
E02004227,Torridge 008,25.525
E02004228,Torridge 009,24.446
E02004229,West Devon 001,21.399
E02004230,West Devon 002,18.444
E02004231,West Devon 003,20.255
E02004232,West Devon 004,20.253
E02004233,West Devon 005,15.322
E02004234,West Devon 006,14.985
E02004235,West Devon 007,15.331
E02006840,Torbay 019,20.749
TOWN01,Ashburton-Buckfastleigh,19.51
TOWN02,Axminster,14.32
TOWN03,Barnstaple,20.476
TOWN04,Bideford-Northam,23.198
TOWN05,Braunton,10.048
TOWN06,Crediton,17.733
TOWN07,Cullompton,13.262
TOWN08,Dartmouth,16.013
TOWN09,Dawlish,20.459
TOWN10,Exeter (Wider),17.533
TOWN11,Exmouth,13.312
TOWN12,Great Torrington,19.72
TOWN13,Holsworthy,25.056
TOWN14,Honiton,15.757
TOWN15,Ilfracombe,27.837
TOWN16,Ivybridge,10.707
TOWN17,Kingsbridge,15.645
TOWN18,Lynton-Lynmouth,22.233
TOWN19,Moretonhampstead,14.189
TOWN20,Newton Abbot,15.723
TOWN21,Okehampton,19.841
TOWN22,Ottery St Mary,9.649
TOWN23,Seaton,11.806
TOWN24,Sidmouth,9.486
TOWN25,South Molton,21.449
TOWN26,Tavistock,16.402
TOWN27,Teignmouth,17.648
TOWN28,Tiverton,19.372
TOWN29,Totnes,17.281
DIV1,Alphington & Cowick ED,14.901
DIV2,Ashburton & Buckfastleigh ED,16.985
DIV3,Axminster ED,14.242
DIV4,Barnstaple North ED,29.001
DIV5,Barnstaple South ED,20.178
DIV6,Bickleigh & Wembury ED,11.876
DIV7,Bideford East ED,27.044
DIV8,Bideford West & Hartland ED,22.678
DIV9,Bovey Rural ED,12.753
DIV10,Braunton Rural ED,10.048
DIV11,Broadclyst ED,13.251
DIV12,Chudleigh & Teign Valley ED,14.304
DIV13,Chulmleigh & Landkey ED,16.963
DIV14,Combe Martin Rural ED,19.586
DIV15,Crediton ED,15.798
DIV16,"Creedy, Taw & Mid Exe ED",18.525
DIV17,Cullompton & Bradninch ED,14.831
DIV18,Dartmouth & Marldon ED,14.393
DIV19,Dawlish ED,20.882
DIV20,Duryard & Pennsylvania ED,9.44
DIV21,Exminster & Haldon ED,13.232
DIV22,Exmouth & Budleigh Salterton Coastal ED,13.33
DIV23,Exmouth ED,13.181
DIV24,Exwick & St Thomas ED,20.556
DIV25,Feniton & Honiton ED,13.586
DIV26,Fremington Rural ED,12.726
DIV27,Hatherleigh & Chagford ED,19.976
DIV28,Heavitree & Whipton Barton ED,18.587
DIV29,Holsworthy Rural ED,25.056
DIV30,Ilfracombe ED,32.94
DIV31,Ipplepen & The Kerswells ED,11.616
DIV32,Ivybridge ED,7.972
DIV33,Kingsbridge ED,16.749
DIV34,Kingsteignton & Teign Estuary ED,12.978
DIV35,Newton Abbot North ED,20.529
DIV36,Newton Abbot South ED,20.687
DIV37,Northam ED,20.099
DIV38,Okehampton Rural ED,19.283
DIV39,Otter Valley ED,9.489
DIV40,Pinhoe & Mincinglake ED,20.797
DIV41,Salcombe ED,13.797
DIV42,Seaton & Colyton ED,12.399
DIV43,Sidmouth ED,9.703
DIV44,South Brent & Yealmpton ED,14.284
DIV45,South Molton ED,22.119
DIV46,St David's & Haven Banks ED,22.761
DIV47,St Sidwells & St James ED,20.202
DIV48,Tavistock ED,15.322
DIV49,Teignmouth ED,19.936
DIV50,Tiverton East ED,19.221
DIV51,Tiverton West ED,21.638
DIV52,Torrington Rural ED,20.11
DIV53,Totnes & Dartington ED,19.284
DIV54,Wearside & Topsham ED,12.136
DIV55,Whimple & Blackdown ED,14.746
DIV56,Willand & Uffculme ED,12.45
DIV57,Wonford & St Loyes ED,23.648
DIV58,Yelverton Rural ED,16.661
CHSCTAXE,"Axe Valley, Seaton and Sidmouth CHSCT",11.791
CHSCTBARNSTAPLE,Barnstaple CHSCT,22.568
CHSCTBIDEFORD,Bideford and Northam CHSCT,20.917
CHSCTBRAUNTON,Braunton and Ilfracombe CHSCT,20.597
CHSCTCREDITON,Crediton CHSCT,16.507
CHSCTCULLOMPTON,Cullompton CHSCT,13.414
CHSCTDAWLISH,Dawlish and Teignmouth CHSCT,19.124
CHSCTEXETERCHALL,Exeter - County Hall CHSCT,15.178
CHSCTEXETERSYCAMORE,Exeter - Sycamores CHSCT,19.737
CHSCTEXMOUTH,Exmouth and Budleigh CHSCT,13.312
CHSCTHONITON,Honiton and Ottery St Mary CHSCT,12.872
CHSCTIVYBRIDGE,Ivybridge CHSCT,11.654
CHSCTKINGSBRIDGE,Kingsbridge CHSCT,15.645
CHSCTNABBOT,Newton Abbot CHSCT,16.347
CHSCTOKE,Okehampton CHSCT,19.108
CHSCTSMOLTON,South Molton and Chulmleigh CHSCT,22.106
CHSCTTAVISTOCK,Tavistock CHSCT,15.132
CHSCTTEIGN,Teign Valley and South Dartmoor CHSCT,15.382
CHSCTTIVERTON,Tiverton CHSCT,20.164
CHSCTTORRINGTON,Torrington and Holsworthy CHSCT,22.938
CHSCTTOTNES,Totnes and Dartmouth CHSCT,17.139
Eastern,Eastern LCP,
Northern,Northern LCP,
Southern,Southern LCP,
Western,Western LCP,
