Area,Label,IMD Score
E01015200,Torbay 016D,16.46
E01015201,Torbay 016E,11.468
E01015202,Torbay 012A,18.084
E01015203,Torbay 012B,12.331
E01015204,Torbay 012C,27.086
E01015205,Torbay 012D,20.141
E01015206,Torbay 012E,31.805
E01015207,Torbay 009A,16.739
E01015208,Torbay 019F,5.935
E01015209,Torbay 019A,30.046
E01015210,Torbay 007B,38.5
E01015211,Torbay 009C,10.796
E01015212,Torbay 007C,27.218
E01015213,Torbay 007D,20.339
E01015214,Torbay 006A,47.535
E01015215,Torbay 006B,20.363
E01015216,Torbay 006C,36.452
E01015217,Torbay 008A,61.396
E01015218,Torbay 006D,36.244
E01015219,Torbay 015A,29.245
E01015220,Torbay 015B,16.078
E01015221,Torbay 015C,18.868
E01015222,Torbay 015D,15.735
E01015223,Torbay 015E,10.413
E01015224,Torbay 011A,17.997
E01015225,Torbay 011B,18.769
E01015226,Torbay 011C,13.303
E01015227,Torbay 011D,9.519
E01015228,Torbay 011E,31.067
E01015229,Torbay 014A,34.746
E01015230,Torbay 011F,10.637
E01015231,Torbay 014B,71.301
E01015232,Torbay 014C,56.055
E01015233,Torbay 014D,51.533
E01015234,Torbay 014E,36.793
E01015235,Torbay 014F,32.373
E01015236,Torbay 002A,22.111
E01015237,Torbay 002B,21.015
E01015238,Torbay 002C,27.551
E01015239,Torbay 002D,35.679
E01015240,Torbay 005A,33.422
E01015241,Torbay 005B,24.435
E01015242,Torbay 005C,35.76
E01015243,Torbay 005D,15.296
E01015244,Torbay 018A,16.833
E01015245,Torbay 018B,32.839
E01015246,Torbay 018C,17.392
E01015247,Torbay 018D,24.134
E01015248,Torbay 018E,32.74
E01015249,Torbay 003A,31.214
E01015250,Torbay 003B,11.597
E01015251,Torbay 003C,9.528
E01015252,Torbay 003D,17.044
E01015253,Torbay 003E,11.915
E01015254,Torbay 003F,16.238
E01015255,Torbay 008B,67.413
E01015256,Torbay 008C,66.693
E01015257,Torbay 004A,60.061
E01015258,Torbay 004B,25.859
E01015259,Torbay 004C,37.751
E01015260,Torbay 004D,60.941
E01015261,Torbay 008D,49.258
E01015262,Torbay 001A,36.628
E01015263,Torbay 001B,52.809
E01015264,Torbay 001C,14.569
E01015265,Torbay 001D,26.44
E01015266,Torbay 001E,58.236
E01015267,Torbay 010A,51.351
E01015268,Torbay 010B,22.417
E01015269,Torbay 010C,22.045
E01015270,Torbay 010D,34.502
E01015271,Torbay 010E,10.038
