Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E01015129,13,17,17,12,33,28,22,31,13,15,10,20
E01015130,11,10,14,9,23,14,18,10,13,15,10,5
E01015131,4,8,8,4,13,7,7,5,3,5,5,5
E01015132,13,12,9,7,15,17,14,17,14,15,5,5
E01015133,12,11,12,5,13,20,9,14,3,5,5,10
E01015134,7,8,12,6,14,10,11,13,13,15,10,10
E01015135,15,11,16,5,30,22,22,11,21,20,10,10
E01015136,9,9,11,9,26,9,27,21,13,15,5,10
E01015137,7,8,6,7,19,24,17,19,9,10,10,5
E01015138,12,14,10,13,23,24,19,25,13,15,5,15
E01015139,9,18,13,13,31,25,39,28,20,20,5,10
E01015140,4,10,8,8,15,10,7,10,9,10,5,5
E01015141,5,8,10,6,23,14,15,18,7,5,5,5
E01015142,14,21,21,16,34,38,33,33,24,25,15,20
E01015143,10,13,15,13,43,26,31,27,31,30,10,15
E01015144,30,33,34,30,51,53,61,58,55,55,45,35
E01015145,44,54,43,56,72,77,98,85,91,90,60,45
E01015146,32,39,48,34,67,75,78,92,81,80,50,40
E01015147,19,17,13,14,22,19,22,23,23,25,10,5
E01015148,11,18,15,12,36,26,41,45,20,20,10,15
E01015149,30,35,37,29,42,41,59,51,38,40,25,35
E01015150,13,20,17,13,26,26,43,35,30,30,15,15
E01015151,74,90,80,68,118,113,118,120,109,110,90,90
E01015152,62,56,63,57,73,89,113,107,86,85,60,55
E01015153,75,90,76,74,120,107,111,132,109,110,75,70
E01015155,98,106,96,88,117,145,160,149,147,145,95,105
E01015156,35,50,48,31,53,70,87,75,72,70,40,50
E01015157,59,74,62,48,89,89,87,77,88,90,60,65
E01015158,38,45,46,40,79,80,78,84,71,70,40,55
E01015159,18,24,24,12,35,35,36,35,23,25,15,30
E01015160,5,6,4,3,17,8,16,11,10,10,5,5
E01015161,14,12,13,14,36,27,29,37,34,35,25,20
E01015162,13,30,20,30,41,27,35,39,28,30,25,15
E01015163,5,11,14,10,29,15,26,20,15,15,10,10
E01015164,19,14,22,15,33,26,31,30,27,25,20,20
E01015165,14,13,12,9,27,25,18,18,14,15,10,10
E01015166,24,29,31,22,47,53,51,55,51,50,35,40
E01015167,29,33,37,24,63,55,53,63,46,45,20,25
E01015168,30,47,35,30,68,57,84,74,65,65,35,40
E01015169,33,28,30,17,51,44,58,53,50,50,30,40
E01015170,36,32,43,48,69,64,77,84,77,75,45,40
E01015171,39,46,35,29,55,51,67,71,55,55,35,40
E01015172,41,52,46,31,66,59,80,100,70,70,35,40
E01015173,10,28,19,23,57,42,42,47,36,35,15,25
E01015174,12,12,10,11,28,19,27,31,25,25,10,10
E01015175,33,32,26,27,65,53,49,75,57,55,30,60
E01015176,27,31,27,19,44,27,36,38,32,30,20,15
