Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total,,,
E92000001,,,,,,,,,
E12000009,,,,,,,,,
E01015023,1,1,1,2,10,15,,,
E01015024,1,1,2,1,3,8,,,
E01015025,2,2,4,5,16,29,,,
E01015026,1,1,1,2,5,10,,,
E01015027,1,1,2,2,6,13,,,
E01015028,1,1,1,3,4,10,,,
E01015029,1,1,2,3,4,10,,,
E01015030,1,1,1,3,7,13,,,
E01015031,1,1,1,3,16,21,,,
E01015032,0,0,1,1,6,9,,,
E01015033,1,1,2,3,9,16,,,
E01015034,1,1,2,4,20,28,,,
E01015035,1,1,1,3,5,12,,,
E01015036,1,1,3,4,24,34,,,
E01015037,1,1,2,4,4,12,,,
E01015038,1,1,2,3,11,18,,,
E01015039,1,1,1,2,2,6,,,
E01015040,1,1,1,2,1,6,,,
E01015041,1,0,1,1,4,7,,,
E01015042,1,1,1,1,1,4,,,
E01015043,1,0,1,1,3,6,,,
E01015044,1,1,1,1,6,9,,,
E01015045,1,0,1,1,4,7,,,
E01015046,1,1,2,2,6,12,,,
E01015047,1,1,1,1,3,8,,,
E01015048,1,1,1,0,1,3,,,
E01015049,1,0,1,1,2,6,,,
E01015050,0,0,1,2,6,9,,,
E01015051,1,1,0,1,4,7,,,
E01015052,1,0,1,2,6,10,,,
E01015053,0,0,1,1,2,5,,,
E01015054,0,0,0,1,2,4,,,
E01015055,1,1,1,2,5,11,,,
E01015056,1,1,2,3,9,17,,,
E01015057,1,1,1,2,11,16,,,
E01015058,1,1,1,1,4,8,,,
E01015059,1,1,1,2,3,8,,,
E01015060,1,1,1,1,3,8,,,
E01015061,1,0,1,2,4,8,,,
E01015062,0,1,1,1,2,6,,,
E01015063,1,1,2,3,5,11,,,
E01015064,2,2,4,6,14,26,,,
E01015065,1,1,3,4,10,20,,,
E01015066,2,2,1,1,5,10,,,
E01015067,2,2,3,3,10,20,,,
E01015068,1,1,2,3,4,12,,,
E01015069,1,1,2,3,7,14,,,
E01015070,2,1,1,3,6,13,,,
E01015071,1,2,2,3,9,17,,,
E01015072,1,1,2,2,4,9,,,
E01015073,1,1,2,2,4,10,,,
E01015074,1,1,2,2,6,13,,,
E01015075,1,1,2,3,7,14,,,
E01015076,1,1,2,3,5,11,,,
E01015077,2,1,2,3,18,26,,,
E01015078,1,1,2,2,4,10,,,
E01015079,1,1,2,4,9,18,,,
E01015080,0,0,0,1,1,3,,,
E01015081,1,1,2,2,7,13,,,
E01015082,1,1,2,3,7,14,,,
E01015083,1,1,2,3,9,16,,,
E01015084,1,1,2,3,6,13,,,
E01015085,1,2,3,5,8,19,,,
E01015086,1,2,2,2,9,16,,,
E01015087,1,1,1,2,4,9,,,
E01015088,1,1,1,1,2,6,,,
E01015089,2,2,2,2,11,18,,,
E01015090,2,1,1,1,6,11,,,
E01015091,2,1,2,1,11,18,,,
E01015092,1,1,1,1,7,11,,,
E01015093,2,1,2,1,5,11,,,
E01015094,2,1,1,2,7,13,,,
E01015095,2,2,2,2,5,13,,,
E01015096,2,1,2,1,7,12,,,
E01015097,3,4,4,5,12,28,,,
E01015098,1,1,1,3,6,12,,,
E01015099,1,1,1,1,4,8,,,
E01015100,1,1,1,2,3,7,,,
E01015101,1,1,2,5,29,39,,,
E01015102,1,1,1,2,5,11,,,
E01015103,1,1,1,2,4,8,,,
E01015104,1,1,1,3,7,13,,,
E01015105,1,0,2,2,11,16,,,
E01015106,1,1,1,2,6,11,,,
E01015107,1,1,1,1,1,5,,,
E01015108,1,1,2,2,5,11,,,
E01015109,1,1,1,1,4,8,,,
E01015110,1,1,1,2,2,8,,,
E01015111,1,1,1,1,3,7,,,
E01015112,1,1,3,2,10,17,,,
E01015113,1,1,2,5,5,15,,,
E01015114,1,1,3,2,11,19,,,
E01015115,1,1,3,5,20,31,,,
E01015116,1,1,2,2,6,13,,,
E01015117,2,1,1,1,4,10,,,
E01015118,1,1,3,3,10,18,,,
E01015119,1,1,1,2,2,7,,,
E01015120,1,2,1,3,10,17,,,
E01015121,2,2,4,5,6,19,,,
E01015122,1,1,3,4,13,22,,,
E01015123,2,2,3,7,38,52,,,
E01015124,2,1,4,4,15,26,,,
E01015125,2,1,2,3,4,12,,,
E01015126,2,2,3,8,19,34,,,
E01015127,2,2,3,3,12,21,,,
E01015128,2,2,3,4,9,20,,,
E01015129,1,1,2,2,7,11,,,
E01015130,1,1,1,2,2,7,,,
E01015131,2,2,3,4,18,30,,,
E01015132,1,2,3,5,12,23,,,
E01015133,2,2,3,7,7,21,,,
E01015134,1,1,3,5,19,29,,,
E01015135,1,1,2,2,11,18,,,
E01015136,1,1,3,4,9,17,,,
E01015137,1,1,1,2,8,14,,,
