Area,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E01019909,5937.507735,5045.538795,4951.727106,4723.404276,4251.869885,4350.152341
E01019910,6513.898394,6221.038547,6324.452836,6332.227013,6014.579955,6405.498469
E01019911,5962.318365,6354.337277,6933.319938,7766.318321,7060.117855,7069.994472
E01019912,6550.818078,6663.212223,6372.402676,6897.077092,6353.943896,6089.037131
E01019913,6024.817267,6629.047047,6975.520093,7016.796073,6538.4335,6831.519269
E01019914,9359.287843,9960.999426,10624.63485,10750.9324,9913.024014,9921.942491
E01019915,5816.227815,5808.550568,6042.752256,6249.714611,5753.418315,5758.243502
E01019916,7301.948115,6965.8512,7566.354536,7788.927837,7192.927227,7376.227764
E01019917,6675.722598,6592.824757,7385.264073,7323.798076,6763.894694,6641.387571
E01019918,7736.127556,6826.53891,6895.642645,7272.231669,6935.58595,6999.195306
E01019919,7587.844218,7775.236122,7310.421844,8165.513802,7718.600221,7931.500923
E01019920,6887.776287,6821.612816,7070.642976,8099.428918,7382.762251,7668.941202
E01019921,6248.954837,7178.871451,7328.526995,8009.528268,7128.484633,7142.129632
E01019922,10411.57158,10227.98516,11368.86129,12248.14477,10946.65056,11464.92193
E01019923,7541.417167,7208.344464,7133.658936,7957.886781,7272.563215,7450.73958
E01019924,6983.781098,6675.059598,6503.220874,7955.627031,7403.754016,7304.464611
E01019925,6209.970274,6122.041887,5713.586846,5907.375111,5223.795677,5267.644598
E01019927,10262.56237,9486.374459,9965.586212,10356.55236,9364.513291,9493.027945
E01019928,9704.867517,9643.422616,8519.961115,8193.133878,7856.876568,8126.010028
E01019929,6576.650945,7265.533363,7307.364047,7978.910798,6849.865963,6877.643741
E01019930,5147.269512,5350.197527,6134.343834,6392.950213,6184.984845,6134.382704
E01019931,5595.281942,5744.97498,5584.984766,5614.957323,5193.475842,4999.532738
E01019932,9182.02752,8469.03073,7645.373089,8154.583892,7584.933423,7433.620099
E01019933,7698.633628,6572.248338,5802.730229,6971.306684,6502.237858,6292.986447
E01019934,6241.839978,6010.57015,6689.338916,7066.859456,6857.403191,6465.588641
E01019935,5213.607577,5889.085315,5319.013572,6283.252297,4603.887217,5025.587924
E01019936,7630.96505,7090.060874,6716.969703,6458.579396,6819.827343,6954.593827
E01019937,5778.085556,5247.715236,5194.327807,5291.9873,4821.257142,4877.638518
E01019938,5803.300182,6057.902387,5881.455631,5644.669475,4932.027507,4976.704383
E01019939,6460.450231,6673.255428,7923.965209,7743.100197,5983.035785,6416.78968
E01019940,5825.886311,6749.147007,5934.244402,5492.71562,5597.653891,5557.389507
E01019942,7576.691272,6592.452707,6481.681129,7222.890844,6638.47526,6771.274583
E01019943,6468.646408,6629.824866,5840.743792,6305.566959,5881.065535,5991.036031
E01019944,6239.425425,7135.345046,7006.562838,7176.293222,6707.359349,6758.71367
E01019945,5372.279842,6094.588152,5647.124296,6436.803516,5710.997065,5997.159178
E01019946,5363.418015,5599.523446,5459.611822,5607.787734,4847.293907,4913.057766
E01019947,7961.864458,7949.822514,7180.748253,7517.014684,7217.523035,7191.789984
E01019948,6728.317628,6775.966207,6201.067906,6101.117358,5819.152784,5998.31764
E01019949,4787.533964,4911.118847,4792.806947,5366.949611,4512.909534,5157.304248
E01019950,8683.206463,8836.099082,8686.128877,8047.299018,7382.410129,7380.761777
E01019951,6373.609597,6503.512808,6446.914949,5811.413635,5220.504544,5117.513091
E01019952,6362.114948,6594.963227,6556.763642,7052.763079,6292.397066,6091.275249
E01019953,6738.532378,5661.339501,6120.13019,7374.991484,6513.587975,6824.087709
E01019954,7012.932643,6990.782213,7401.102694,8602.942638,7868.240687,7798.116952
E01019955,7242.698719,7404.290271,7487.968507,6896.728606,6429.638659,6830.342518
E01019956,6157.295788,6329.737127,7756.05525,7542.83624,7075.696063,7212.4482
E01019957,3970.535809,4420.117478,4430.237431,4201.478713,4179.256491,4010.174365
E01019958,5564.978013,5250.564587,4940.473577,5327.277707,4745.678914,4866.011541
E01019959,7153.357948,5981.237176,5877.135265,5585.575727,4873.570618,5114.338775
E01019960,4726.02968,4192.037014,4679.437351,5500.083428,4858.748789,5028.388569
E01019961,5777.037221,5752.584407,5773.253109,6035.653109,4768.697842,4791.558379
E01019962,5014.595472,5312.650191,5706.777816,5583.375568,4985.017155,5019.230521
E01019963,5408.509719,5677.944551,5043.905198,5376.499457,4663.368144,4760.254005
E01019964,6554.859748,6677.898588,6014.317192,6915.196643,5466.711794,5903.882045
E01019965,7814.932891,8019.594681,7940.603147,7709.886726,6754.773648,7066.496051
E01019966,6592.202173,6246.424756,5467.448059,5389.998632,5212.220855,4972.860881
E01019967,5820.48732,5261.480118,5186.930403,5918.531664,5519.770721,5390.000073
E01019968,6233.041588,6323.547559,6831.336272,8833.073018,7486.406351,7970.714214
E01019969,6469.991478,6639.843456,6462.507578,6245.320996,5525.678139,5623.160878
E01019970,7037.512325,8088.031833,8487.40799,7628.525069,6953.612177,7054.623461
E01019971,7838.194068,6810.449249,6185.867987,7744.049334,7331.761752,7511.361234
E01019972,7798.76455,7522.564254,7031.721163,8060.007639,7032.582595,7468.666161
E01019973,7496.323503,7022.048354,7156.712616,7299.393696,6699.393696,6753.25649
E01019974,8281.291179,8846.568476,9055.68828,9623.960491,8598.163097,8713.04503
E01019975,8974.651477,9556.822275,9117.607614,9179.940828,7903.721622,8307.326309
E01019976,5909.641969,5674.463467,5862.476712,7186.155386,6265.029845,6598.578216
E01019977,7096.505999,7845.401797,8588.697115,10497.24009,8171.360168,8783.902786
E01019980,7590.430104,7223.216352,7018.61564,7548.014684,6611.506748,6764.478932
E01019981,8418.254655,8357.393435,8040.070818,9031.765544,8130.466842,8376.472126
E01019982,7544.35536,8014.724631,7164.675529,10350.07344,9395.549484,9516.292446
E01019983,6837.365909,7244.6018,7741.54395,7849.106057,7086.386423,7372.276358
E01019984,6094.262573,6895.883186,7055.184576,6879.110002,6296.929778,6434.628676
E01019985,12491.88872,12748.8776,12219.60806,11966.46243,11428.21682,11051.91029
E01019986,6578.486379,6818.230504,6350.623967,6737.017962,5962.686412,6035.490001
E01019987,8556.316817,8847.654447,8830.719445,8722.817595,8206.973363,8413.457291
E01019988,8294.221276,7894.941024,7623.833631,8610.49182,7576.275143,8163.955471
E01019989,7589.248213,7665.39111,6468.052488,8421.499379,6970.790297,7283.310852
E01019990,9598.702866,9892.679861,9489.459342,10574.03402,9890.476052,10036.31928
E01019991,11027.25798,11033.03582,10801.34474,11356.80883,10789.1567,10679.71287
