Area,0 to 15,16 to 64,65 to 84,85 and over,Total
E01020323,279,1432,393,37,2141
E01020324,164,868,434,73,1539
E01020325,254,946,344,39,1583
E01020326,381,1300,424,70,2175
E01020327,291,939,375,70,1675
E01020328,547,1444,314,41,2346
E01020329,215,925,414,64,1618
E01020330,307,990,426,97,1820
E01020331,229,879,442,66,1616
E01020332,265,1106,370,88,1829
E01020333,355,1047,456,61,1919
E01020334,350,1129,384,60,1923
E01020335,226,796,481,128,1631
E01020336,149,618,497,69,1333
E01020337,293,803,293,51,1440
E01020338,497,1411,463,58,2429
E01020339,273,956,413,44,1686
E01020340,289,1034,393,30,1746
E01020341,219,792,521,74,1606
E01020342,285,960,277,24,1546
E01032628,390,1270,531,101,2292
E01032657,137,1108,192,42,1479
E01032658,134,1265,186,36,1621
E01033232,364,1147,79,18,1608
E01033233,272,6309,572,142,7295
E01033234,333,1136,228,15,1712
E01033235,133,648,377,97,1255
E01033236,146,490,343,79,1058
E07000040,22629,76878,35976,6782,142265
E07000041,19990,88376,17120,3430,128916
E07000042,14759,47145,16165,2554,80623
E07000043,16483,55186,20463,3308,95440
E07000044,13419,48269,20646,3006,85340
E07000045,21363,75898,29174,5002,131437
E07000046,11091,38558,15972,2200,67821
E07000047,8883,31392,13092,1962,55329
E10000008,128617,461702,168608,28244,787171
E06000026,47120,168264,41310,6376,263070
E06000027,22680,77216,30308,5043,135247
IMDQ1,29668,102233,22802,3702,158405
IMDQ2,49677,175686,53364,8867,287594
IMDQ3,53759,198609,70127,10802,333297
IMDQ4,43748,147768,57697,9956,259169
IMDQ5,21565,82886,36236,6336,147023
E02003122,1125,3924,1793,263,7105
E02003123,1666,5072,1471,186,8395
E02003124,1731,4834,1128,182,7875
E02003125,1033,3811,1106,144,6094
E02003126,1287,4632,1454,170,7543
E02003127,1698,4643,1174,149,7664
E02003128,1782,5414,1444,223,8863
E02003129,1273,3589,1297,202,6361
E02003130,2233,6655,1606,208,10702
E02003131,1437,4427,1461,147,7472
E02003132,1834,5503,1395,238,8970
E02003133,1313,4405,1452,167,7337
E02003134,1467,4345,983,119,6914
E02003135,1920,5419,793,70,8202
E02003136,1246,4246,1998,379,7869
E02003137,1406,4581,1573,430,7990
E02003138,1462,5197,890,136,7685
E02003139,1368,4126,819,54,6367
