Area,0 to 15,16 to 64,65 to 84,85 and over,Total
CHSCTDAWLISH,5009,18444,8438,1519,33410
CHSCTEXETERCHALL,13547,44356,11958,2109,71970
CHSCTEXETERSYCAMORE,10885,56630,8898,1938,78351
CHSCTEXMOUTH,7755,27750,11692,2301,49498
CHSCTHONITON,5429,18168,7972,1298,32867
CHSCTIVYBRIDGE,5927,20038,7932,1091,34988
CHSCTKINGSBRIDGE,2722,9537,4816,799,17874
CHSCTNABBOT,9531,33792,11573,1999,56895
CHSCTOKE,4783,17082,6573,969,29407
CHSCTSMOLTON,2781,9961,4299,632,17673
CHSCTTAVISTOCK,5447,19829,8223,1211,34710
CHSCTTEIGN,4652,15710,6219,942,27523
CHSCTTIVERTON,6690,21503,7572,1173,36938
CHSCTTORRINGTON,4960,17907,7430,951,31248
CHSCTTOTNES,3324,12915,5923,911,23073
Eastern,64015,235594,78351,14183,392143
Northern,27574,93744,36435,5508,163261
Southern,46229,161925,64440,10647,283241
Western,60599,215919,61000,9325,346843
