Area,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E01015089,13401.02379,12496.13922,12651.10779,12759.44794,12494.40459,12400.94131
E01015090,10571.36097,11553.35445,11892.12737,13178.26143,12854.3557,12554.71681
E01015091,14318.37504,15950.48292,14785.65237,14420.80109,14325.98628,14059.60371
E01015092,9511.22591,10335.49439,11543.03891,11893.19606,11641.68091,11632.06216
E01015093,12403.68297,12888.59712,13983.17811,15935.66237,15791.41994,15781.29709
E01015094,10508.84863,11798.45795,13619.57761,13982.44397,13712.36822,13453.80638
E01015095,12345.43415,13625.18932,13591.75435,14401.82252,13987.27706,13868.18223
E01015096,10617.85556,11036.23583,12075.46751,13095.59466,12937.56996,12758.20157
E01015097,13008.55529,12688.6231,12314.44212,12436.93458,12219.19579,12036.79535
E01015098,10562.51926,10425.36304,11374.26134,11096.59843,10627.26463,10803.5515
E01015099,10768.03618,11479.52295,10038.99869,9365.901556,8999.24433,8965.035125
E01015100,9914.525751,10306.63234,11308.7343,13551.70246,12663.13483,13006.59488
E01015101,10326.36199,9722.911361,10633.21432,9968.19227,9651.141579,9376.111682
E01015102,10717.74912,11300.12187,11747.44786,12029.57805,11828.32019,12201.11722
E01015103,12040.70254,11450.93628,11798.07934,10864.68389,10573.26226,10470.89601
E01015104,10767.44762,11089.29577,11200.67708,12676.45745,12391.46467,12521.43201
E01015105,15451.56414,15626.46743,15374.00671,13744.28776,13444.65473,13528.85994
E01015106,11471.12304,11821.94657,12692.43931,13036.47865,12841.46416,12595.38265
E01015107,11898.25825,12754.07751,13060.24613,13202.39243,12866.73076,12484.67342
E01015108,11512.73825,11526.43599,12228.95592,13354.99838,13004.63926,13049.95545
E01015109,11604.86451,11052.17707,11498.91522,11389.90093,10838.82068,10594.51462
E01015110,13863.98418,15206.12677,14300.70964,13561.20714,13360.09603,13378.19649
E01015111,11581.66443,11249.03002,10709.8329,10955.00736,10713.6369,10608.27862
E01015112,11633.5632,12612.06549,15184.16206,15388.55133,14495.24623,14775.96319
E01015113,12381.27723,13590.36328,14008.59877,13924.18481,13524.98312,13480.65241
E01015114,8642.745923,9031.307721,8879.541236,8524.975955,8252.595002,8173.167703
E01015115,11618.87098,12087.64715,12796.34937,12333.79254,11803.66433,11947.73618
E01015116,10901.57408,13068.21502,13766.46845,13578.04062,13290.15777,13176.78486
E01015117,10995.69352,13339.09032,13609.4766,12618.92117,12112.77374,11799.32655
E01015118,13856.02506,15106.49755,13243.40246,12703.89268,12345.27199,12385.19552
E01015119,10430.127,10531.91843,10947.23898,11144.74414,10899.23018,10868.56933
E01015120,12195.87443,12428.28111,13597.08166,15653.80508,15671.9869,15682.97715
E01015121,9416.365417,9997.631268,10131.86372,10708.19044,10508.53676,10145.06643
E01015122,11606.43549,11818.10769,12224.98692,12122.54112,11923.43001,11645.49025
E01015123,10769.89016,10945.56057,11826.11677,11502.26379,11287.06321,11100.21285
E01015124,11308.09993,11366.14562,11330.73957,11515.75472,11280.95867,11140.86288
E01015125,11832.94409,13352.17631,14216.41536,13179.61242,12752.88134,12266.85652
E01015126,11652.5667,13215.1394,14432.92388,15089.02195,14596.57131,14365.19139
E01015127,12487.24614,12514.68578,12684.03317,14012.74239,13745.01753,13691.85174
E01015128,8532.163728,8972.887985,10456.27993,10655.27437,10328.69485,10042.46428
E01015129,11928.45944,13404.74619,13291.06312,13586.88229,13220.5943,12396.40886
E01015130,9771.339657,11265.42399,12273.56044,14085.08116,12178.2965,12915.07238
E01015131,11375.84397,11840.9695,12143.78549,11882.3971,11570.20197,11400.05055
E01015132,10993.0942,10969.64594,11139.72237,10906.93222,10669.98778,10802.16754
E01015133,11395.03459,11178.44207,11357.10231,12993.24,11917.12481,12144.27641
E01015134,10826.19609,10679.92589,11667.7891,12359.65495,12230.15701,12108.61365
E01015135,11106.46095,12384.42631,14480.30844,15463.14345,14905.73604,15033.44962
E01015136,11750.87535,9928.562035,10585.40092,12637.80437,12346.89528,12070.23123
E01015137,12238.34562,13131.22098,13402.97325,12725.97021,12218.5628,12293.76317
E01015138,9901.172763,10985.95826,12038.88193,12727.29104,12465.75258,12634.1862
E01015139,14083.11695,15303.72742,14957.99246,14380.42455,13683.73417,13638.06616
E01015140,11019.80733,12174.45368,16028.05789,16937.13549,16754.27835,16463.18624
E01015141,11695.64688,11477.73638,12074.88831,11930.10866,11762.08964,11526.18933
E01015142,9598.562013,9722.57346,10097.54461,10540.89566,10359.45044,10282.52382
E01015143,10675.88826,10978.97531,11120.75652,11372.86187,11156.43675,11043.11294
E01015144,13916.2048,14493.93447,14909.65863,12850.49885,12363.38041,12422.26733
E01015145,,18169.21821,,,,
E01015146,11801.41138,12728.01244,12687.02892,13065.64472,12772.7541,12861.95062
E01015147,9551.044094,11274.64647,12606.41249,14088.26732,13388.88844,13276.79503
E01015148,11998.71459,12071.6259,12572.39125,14091.08529,13709.3309,13677.03192
E01015149,14366.28976,14910.64353,14922.72058,14427.24436,14116.9956,14179.88352
E01015150,11236.07602,11998.74179,12540.59316,13017.75304,12764.15827,12373.5369
E01015151,12124.61933,11547.78224,11031.77029,11190.40929,11008.02108,10898.60509
E01015152,11484.33252,11895.96757,13400.1926,13687.21015,13436.11142,13063.94916
E01015153,11313.99824,11947.62779,12182.65007,11649.44096,11395.59481,11461.19311
E01015155,11873.87316,12983.76987,14735.65149,14298.44926,14116.11308,13886.18823
E01015156,11673.23648,11586.36102,12212.74795,12249.5785,12160.68961,12146.74696
E01015157,12766.81118,12961.35839,13220.00153,12977.73443,12606.95345,12492.31398
E01015158,10433.12211,11216.07502,12881.47519,14525.4659,14403.63256,14353.81426
E01015159,11338.18567,10691.85973,12074.22471,13099.6416,12841.20081,12736.76491
E01015160,12262.19421,11566.30752,11217.0884,10809.52437,10287.07539,10250.42295
E01015161,12899.24264,13080.71254,12828.50684,13678.49584,13327.81091,13057.94677
E01015162,11431.94055,13061.16366,14388.11245,15681.74802,15387.92086,15464.30877
E01015163,12937.26962,12268.53889,12229.96659,12341.15024,10958.92802,11506.13561
E01015164,10682.71135,10973.10933,11269.94232,11686.23275,11367.93114,11342.4202
E01015165,13386.08134,12882.80219,13820.76598,14118.44317,13656.71477,13374.0397
E01015166,12678.43419,12628.64236,13172.33658,13444.42845,12953.20098,13229.47569
E01015167,10073.41783,10143.32113,11404.45764,12173.73519,11913.17813,11893.0555
E01015168,10737.77576,10515.2607,10909.96639,13288.12724,13001.5993,12866.26421
E01015169,8106.788505,9212.210775,10398.70849,10464.00189,10420.46448,10351.21716
E01015170,11054.05285,11424.94742,12091.24957,13081.64309,12802.10485,12742.96993
E01015171,11043.40818,11424.26241,11787.0308,11316.65631,10990.89751,10797.53876
E01015172,10645.29098,10391.03799,10192.55727,11309.61787,11171.98346,11199.16549
E01015173,9066.981111,9853.299709,10072.71449,10647.58411,10410.54708,10453.17409
E01015174,11078.75386,11659.29108,11720.35024,11680.60104,11517.63808,11049.25321
E01015175,12336.53084,11289.03659,11489.66475,11158.96112,10842.0299,10869.06363
E01015176,14562.65385,14934.64939,14887.94087,14014.43675,13723.64151,13469.88767
E01015177,8426.539754,9030.929507,10427.48017,11302.61074,10922.52416,11071.79593
E01015178,10337.12376,10099.1714,10487.45925,9922.54988,9702.661924,9504.906753
E01015179,10385.68282,10771.00458,12357.90352,12809.88702,12246.45964,12230.83083
E01015180,10996.21518,11534.9361,12542.06387,11842.63453,11492.56993,11323.53097
E01015181,11048.24168,12077.64504,13007.95606,12881.02824,12526.47269,12365.96461
E01015182,13894.80744,13945.99879,13718.20054,14727.80039,14381.40027,14154.8462
E01015183,15483.63184,14254.43085,12867.36934,13236.48386,12759.46194,12880.38721
E01015184,13031.22632,15086.86735,15710.01073,15461.47209,14960.32266,15176.5361
E01015185,14528.037,14045.71965,13939.68967,13702.67703,13460.63963,13282.77027
E01015186,13505.23429,12731.18629,12861.88401,12383.14039,12117.07433,11999.43169
E01015187,16729.15934,14643.85103,13515.13176,11784.80764,11412.95579,11299.73004
E01015188,14037.18819,15040.66509,14589.057,14040.78682,13999.76118,13576.14068
E01015189,13386.31427,12936.93518,13658.4124,13907.4501,13502.60513,13680.69596
