Source,Babcock LDP and Devon County Council
Numerator,Number of  Key Stage 4 pupils who have achieved five or more GCSEs grade A* to C (or equivalent) inlcuding English and Maths
Denominator,All pupils who have reached the end of Key Stage 4 during the related period
