Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E01015062,0.03014318,0.025982678,0.036018337,0.022020725,0.039053254,0.035419126,0.035814214,0.03850385,0.026035503,0.025495751,0.02266289,0.02266289
E01015063,0.023232323,0.025210084,0.027027027,0.024159664,0.046637744,0.031521739,0.027987083,0.029598309,0.021691974,0.021528525,0.016146394,0.016146394
E01015064,0.003144654,0.005387931,0.005313496,0.005405405,0.011664899,0.013903743,0.009933775,0.008908686,0.004241782,0.005656109,0.005656109,0
E01015065,0.004801921,0.005834306,0.008139535,0.011695906,0.023485785,0.019950125,0.02372035,0.022049287,0.009888752,0.013157895,0.013157895,0.006578947
E01015066,0.00720072,0.00744879,0.011039558,0.004960317,0.017804154,0.018036072,0.01853759,0.019916143,0.006923838,0.005586592,0.005586592,0.005586592
E01015067,0.007179487,0.004241782,0.012820513,0.006500542,0.029850746,0.01592719,0.020881671,0.017899761,0.015991471,0.017899761,0.005966587,0.005966587
E01015068,0.003669725,0.010989011,0.007239819,0.006410256,0.022115385,0.016536965,0.022,0.012795276,0.013461538,0.015151515,0.005050505,0
E01015069,0.016666667,0.014141414,0.019607843,0.014910537,0.047569804,0.037422037,0.031281534,0.027355623,0.033092037,0.030395137,0.020263425,0.015197568
E01015070,0.016949153,0.015302728,0.014321295,0.013197361,0.021327014,0.0234375,0.018463371,0.017554125,0.015995261,0.014662757,0.011730205,0.008797654
E01015071,0.012805588,0.017897092,0.016891892,0.007821229,0.024915062,0.028376844,0.021857923,0.017448201,0.019252548,0.016853933,0.011235955,0.016853933
E01015072,0.023397762,0.04577823,0.052683897,0.037298387,0.058939096,0.055390702,0.05083089,0.068376068,0.068762279,0.067307692,0.028846154,0.028846154
E01015073,0.021141649,0.028037383,0.033985582,0.023834197,0.055789474,0.049462366,0.041577825,0.053608247,0.035789474,0.037194474,0.021253985,0.031880978
E01015074,0.018079096,0.027964206,0.035320088,0.030010718,0.045353982,0.046357616,0.044857768,0.038014784,0.038716814,0.038377193,0.032894737,0.027412281
E01015075,0.026483051,0.028511088,0.032017076,0.022801303,0.051685393,0.03875969,0.059090909,0.070093458,0.046067416,0.050632911,0.03164557,0.044303797
E01015076,0.012371134,0.012987013,0.017857143,0.017241379,0.034371643,0.028784648,0.033049041,0.042931937,0.024704619,0.026737968,0.010695187,0.021390374
E01015077,0.012779553,0.010649627,0.008385744,0.012396694,0.028397566,0.024606299,0.028019324,0.020276498,0.017241379,0.014245014,0.009496676,0.018993352
E01015078,0.029189189,0.036956522,0.047670639,0.049396268,0.077267637,0.057842047,0.066395664,0.068313953,0.049272116,0.050962627,0.028312571,0.045300113
E01015079,0.010822511,0.012931034,0.017951426,0.019911504,0.035126235,0.030371204,0.020971302,0.02771855,0.029637761,0.027624309,0.016574586,0.016574586
E01015080,0.049469965,0.056074766,0.061674009,0.051194539,0.082379863,0.067915691,0.089242054,0.083888149,0.052631579,0.082568807,0.027522936,0.027522936
E01015081,0.023454158,0.029380902,0.030927835,0.018848168,0.042598509,0.049111808,0.044071354,0.04587156,0.042598509,0.041710115,0.015641293,0.026068822
E01015082,0.027263875,0.042938931,0.033492823,0.034274194,0.068893528,0.050314465,0.050632911,0.047160731,0.040709812,0.037914692,0.023696682,0.023696682
