LSOA,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 and over
E01020314,21,59,32,47,29,26,17,39,47,51,60,82,73,78,65,47,28,18
E01020315,25,53,46,44,24,30,23,34,38,57,67,40,47,63,34,22,28,35
E01020316,36,32,59,43,28,28,44,30,44,51,94,69,76,73,75,44,24,20
E01020317,22,36,29,32,17,25,21,20,30,36,55,59,71,86,62,47,20,28
E01020318,30,29,39,39,16,15,29,16,37,60,62,42,43,59,70,43,26,22
E01020319,38,31,44,43,31,25,27,28,36,53,86,66,72,79,55,42,21,12
E01020320,38,25,43,35,37,43,28,36,33,66,76,79,65,80,74,49,34,28
E01020321,61,57,65,55,52,60,68,49,77,86,114,75,80,74,61,44,30,32
E01020322,78,64,65,66,40,75,64,51,53,89,82,114,73,98,87,56,29,29
E01020323,43,59,33,30,94,123,107,83,95,107,128,104,120,90,60,33,27,16
E01020324,25,29,21,37,19,18,15,16,36,58,57,78,69,70,52,41,29,23
E01020325,29,47,44,52,44,38,23,20,35,68,79,60,66,66,52,35,25,19
E01020326,59,69,57,52,45,37,39,56,67,87,75,97,56,83,62,36,20,22
E01020327,46,51,58,40,49,56,52,53,55,64,48,56,43,62,53,40,27,21
E01020328,93,96,79,69,56,55,83,71,94,78,78,45,49,57,35,28,15,10
E01020329,36,31,34,36,38,44,26,32,43,40,81,75,63,71,49,37,31,25
E01020330,41,69,51,56,57,54,42,62,56,72,53,65,44,80,57,38,28,17
E01020331,22,34,60,50,32,27,23,28,41,70,47,55,60,82,51,35,19,21
E01020332,34,38,34,43,47,65,56,41,50,54,74,49,58,72,48,22,21,31
E01020333,55,65,62,72,35,29,35,36,54,77,69,84,68,70,49,44,30,27
E01020334,55,56,42,54,39,68,42,43,62,55,72,61,36,57,36,42,22,18
E01020335,21,38,32,34,25,26,21,28,30,56,57,48,59,63,65,60,42,35
E01020336,12,21,37,52,20,6,19,15,28,22,47,53,53,89,59,39,27,29
E01020337,34,36,57,80,21,45,39,28,31,35,38,34,36,42,29,27,16,16
E01020338,98,96,74,61,50,70,54,75,66,72,86,71,76,57,73,42,17,17
E01020339,39,39,52,35,25,33,22,38,48,73,69,78,63,83,50,36,28,9
E01020340,40,43,55,59,21,34,34,40,44,70,71,70,66,65,62,33,41,3
E01020341,22,39,37,39,13,10,14,35,27,44,59,67,61,91,63,37,44,16
E01020342,40,47,56,54,30,37,30,26,51,58,60,62,56,47,41,26,21,10
E01032628,60,59,89,61,32,33,39,31,69,64,94,85,84,92,64,46,30,35
E01032657,24,25,1,87,165,54,48,46,20,42,32,30,32,30,19,22,6,8
E01032658,27,13,10,60,201,87,61,37,32,24,40,28,24,35,26,14,17,5
E01033232,67,88,38,39,65,100,98,91,70,57,45,35,26,19,17,5,8,3
E01033233,36,44,53,1035,1207,172,88,45,44,69,81,73,80,81,55,69,59,40
E01033234,53,46,66,43,61,73,65,46,57,70,58,48,36,33,25,16,10,4
E01033235,17,17,14,23,30,39,29,44,26,43,43,41,36,40,37,28,21,15
E01033236,18,24,19,10,44,14,19,14,30,39,22,23,34,49,46,29,23,22
E92000001,1757639,1755683,1572421,1631799,1824091,1924216,1874897,1773846,1756427,1919824,1911583,1670419,1436605,1470578,1137445,827832,584219,471396
