LSOA,0 to 4,5 to 9,10 to 14,15 to 19,20 to 24,25 to 29,30 to 34,35 to 39,40 to 44,45 to 49,50 to 54,55 to 59,60 to 64,65 to 69,70 to 74,75 to 79,80 to 84,85 and over
E01020068,31,34,41,25,32,21,18,29,45,50,78,75,70,82,29,35,27,21
E01020069,34,41,48,50,41,18,35,19,50,69,71,52,51,81,46,33,18,19
E01020070,35,48,60,63,39,31,31,42,42,80,74,63,81,82,69,35,19,21
E01020071,47,77,36,67,32,43,30,31,63,74,71,42,56,75,59,46,31,28
E01020072,31,45,62,45,38,23,30,21,52,56,80,61,62,88,61,39,20,17
E01020073,44,37,40,43,52,41,23,21,55,70,69,64,53,70,70,38,27,23
E01020074,33,69,76,74,33,18,44,34,58,80,95,101,66,93,71,47,25,27
E01020075,45,63,53,43,39,42,45,38,77,88,68,68,83,64,54,38,28,24
E01020076,48,60,45,61,33,39,34,39,48,64,76,77,70,59,45,34,25,10
E01020077,29,52,58,44,34,27,42,39,48,61,59,77,56,61,35,40,22,14
E01020078,56,34,42,34,45,50,46,46,62,41,51,38,30,38,20,22,15,18
E01020079,51,46,38,35,29,31,45,36,51,37,35,27,43,46,28,34,21,12
E01020080,15,34,26,31,13,17,20,13,34,54,44,42,50,58,52,31,22,22
E01020081,40,50,28,39,28,30,36,30,32,48,33,32,37,55,46,25,26,15
E01020082,24,32,35,29,30,20,31,22,44,34,31,50,59,53,39,29,8,11
E01020083,60,97,69,78,43,65,53,44,96,105,90,72,84,75,75,36,33,13
E01020084,43,42,39,49,38,35,38,29,52,53,49,41,35,64,40,36,22,28
E01020085,45,55,54,43,30,46,44,70,76,62,57,41,20,41,27,21,9,8
E01020086,30,38,32,43,39,35,28,42,38,51,50,45,39,50,54,55,29,20
E01020087,33,35,59,39,33,33,41,41,45,68,91,92,74,110,80,52,41,29
E01020088,46,57,52,71,40,42,43,37,48,71,86,72,79,87,80,38,34,31
E01020089,83,68,78,62,42,45,51,71,90,93,98,82,56,55,43,50,27,16
E01020090,39,51,43,58,25,36,23,42,65,75,74,45,59,75,67,40,44,24
E01020091,30,39,37,31,24,19,34,32,46,66,35,34,32,59,45,24,29,22
E01020092,38,22,37,31,26,30,20,29,36,46,50,49,49,52,53,55,29,39
E01020093,42,41,35,27,30,26,44,54,47,41,48,31,30,57,36,25,35,24
E01020094,26,27,24,53,72,83,55,59,40,66,59,50,45,54,43,32,22,21
E01020095,56,82,51,45,64,59,37,63,42,46,42,54,35,31,18,17,11,6
E01020096,43,34,42,35,83,70,59,48,52,73,54,38,40,43,29,31,24,21
E01020097,36,47,72,60,42,39,24,47,64,85,104,80,94,94,103,68,40,24
E01020098,36,61,67,61,41,40,28,44,56,64,99,81,100,104,74,49,38,27
E01020099,20,31,37,24,41,16,24,21,30,36,61,62,69,72,55,27,21,19
E01020100,21,21,19,40,23,29,12,12,14,39,45,46,44,57,40,35,19,14
E01020101,39,48,30,36,28,31,20,30,42,46,58,46,43,66,53,31,19,17
E01020102,57,43,53,35,53,46,43,35,67,77,67,53,40,32,37,14,11,11
E01020103,90,66,80,65,51,63,44,51,33,52,47,42,45,31,24,14,10,10
E01020104,83,46,44,37,45,65,50,32,32,35,52,29,24,26,11,7,10,2
E01020105,48,48,33,34,40,58,38,46,40,47,49,40,43,45,42,42,24,21
E01020106,15,30,23,21,14,15,16,17,17,27,33,37,38,66,46,38,28,28
E01020107,28,30,41,28,20,38,30,35,28,49,53,57,52,71,68,53,40,38
E01020108,44,68,54,85,46,31,50,53,75,83,73,84,79,102,73,55,29,22
E01020109,36,38,48,40,23,16,36,40,49,45,51,50,44,58,33,28,15,20
E01020110,116,70,73,91,291,293,141,96,84,63,49,39,33,60,41,47,22,25
E01020111,46,47,39,44,48,30,32,22,39,41,57,39,48,30,35,21,11,5
E01020112,54,27,20,42,76,50,56,49,52,63,72,41,70,42,41,35,10,17
E01020113,54,48,50,42,38,56,41,35,46,63,52,53,48,49,41,20,11,33
E01020114,30,38,33,44,19,46,30,22,44,48,44,39,41,46,41,17,14,20
E01020115,39,26,30,24,21,25,18,30,44,54,51,47,34,49,48,27,11,13
E01020116,41,45,34,46,49,48,46,32,51,62,69,57,50,71,31,31,22,21
E01020117,45,40,23,27,21,21,15,54,31,56,46,60,66,87,46,30,19,18
E01020118,46,49,54,37,43,40,43,38,47,55,52,28,40,40,29,13,11,13
E01020119,30,28,39,38,28,19,21,21,31,47,72,73,45,74,61,40,25,31
E01020120,48,49,58,63,48,43,18,33,69,73,66,73,62,77,49,38,29,26
E01020121,50,57,56,58,29,51,36,62,66,65,70,76,67,66,42,61,23,19
E01020122,42,32,49,51,32,43,58,30,42,65,84,69,60,66,60,30,31,5
E01020123,48,41,36,51,37,40,30,39,42,42,61,46,46,47,50,33,20,14
E01020124,20,28,16,37,35,58,37,24,25,44,53,47,49,47,53,34,29,24
E01020125,25,33,22,28,22,24,27,20,42,44,51,43,35,70,50,51,28,14
E01020126,23,11,31,31,23,32,29,30,35,49,80,76,85,80,50,50,23,25
E01020127,49,60,47,63,50,42,25,43,67,62,59,84,74,95,54,38,21,15
E01020128,31,46,54,57,16,24,26,16,54,63,39,55,53,41,46,36,23,36
E01020129,35,32,30,39,31,60,25,38,34,50,45,24,24,39,35,21,17,7
E01020130,62,45,24,49,53,45,80,53,51,37,63,41,41,44,17,12,12,4
E01020131,39,59,80,86,44,51,51,47,77,66,90,97,88,100,60,41,23,28
E01020132,42,42,51,48,38,38,49,51,61,57,61,59,50,53,53,40,23,28
E01020133,26,48,36,32,26,46,56,38,54,58,40,43,43,72,31,24,24,9
E01020134,53,33,37,30,29,37,38,39,36,40,37,35,31,30,16,17,16,10
E01020135,80,45,57,49,48,36,42,41,39,43,52,51,36,52,41,40,24,20
E01020136,42,47,50,47,39,37,43,66,48,52,63,57,64,60,37,40,41,16
E01020137,42,37,44,42,59,49,27,35,37,45,57,56,52,60,26,33,19,32
E01020138,66,69,75,67,58,35,44,40,75,79,102,109,76,90,72,62,49,33
E01020139,58,39,37,47,46,44,52,27,37,50,67,41,28,39,35,23,21,10
E01020140,33,22,29,24,31,21,24,24,34,30,39,33,35,52,38,34,24,10
E01020141,84,82,68,67,37,74,36,58,48,67,33,54,46,39,35,24,8,3
E01020142,88,83,76,59,41,61,50,50,73,79,114,96,78,93,73,50,42,29
E01020143,66,70,49,69,47,54,45,54,61,97,86,82,105,88,62,50,31,13
E01020144,55,48,52,48,44,38,48,38,57,68,74,73,55,37,12,5,3,2
E01020145,30,57,36,77,195,170,74,50,62,75,98,79,62,77,57,42,37,15
E01020146,45,45,21,21,31,46,37,40,34,54,54,51,32,28,21,18,11,5
E01020147,42,33,34,38,34,26,42,39,38,67,84,82,86,101,66,48,35,32
E01020148,38,25,31,42,15,31,11,31,28,39,56,50,41,53,34,22,17,4
E01020149,41,51,25,32,23,32,24,24,37,36,51,35,54,55,37,27,21,7
E01020150,29,54,63,67,25,29,17,34,44,59,71,54,83,65,52,31,31,30
E01020151,13,29,21,18,24,27,21,21,34,42,54,55,70,111,67,68,32,32
E01020152,30,28,2,20,18,21,28,39,24,32,46,51,86,64,66,49,34,19
E01020153,12,23,18,14,22,12,9,18,29,23,34,58,57,89,61,32,20,21
E01020154,56,33,37,74,186,113,67,39,46,50,44,56,42,27,24,13,13,7
E01020155,26,26,36,40,35,41,23,36,30,32,36,35,34,36,25,18,10,16
E01020156,30,49,76,61,36,29,39,46,57,65,73,71,76,102,73,47,30,33
E01020157,32,55,84,72,54,27,37,44,56,108,104,97,101,101,70,60,22,22
E01020158,31,43,51,51,33,30,28,39,47,56,70,79,59,68,48,32,23,26
E01020159,41,54,37,39,26,24,23,35,49,58,56,62,66,63,48,33,27,15
E01020160,44,48,62,64,43,38,32,43,51,69,88,99,58,81,33,41,21,14
E01020161,69,70,59,65,78,52,67,43,56,63,80,78,67,76,64,58,27,40
E01020162,50,57,55,56,39,31,46,32,59,68,54,71,35,45,37,22,7,1
E01020163,46,67,75,66,43,29,47,39,63,70,84,58,60,60,29,33,3,9
E01020164,47,42,55,66,39,19,28,34,48,52,56,57,43,55,31,29,18,8
E01020165,49,70,57,46,34,55,42,37,67,60,73,55,52,37,26,10,7,4
E01020166,35,46,48,54,40,30,23,33,29,60,60,62,37,59,27,36,15,20
E01020167,36,45,49,66,32,25,25,35,36,56,51,54,47,31,23,19,9,12
E01020168,42,40,55,49,38,41,47,32,39,53,73,59,80,89,72,45,66,54
E01020169,55,64,53,61,62,72,69,64,63,67,84,78,80,72,44,41,23,29
E01020170,43,60,57,47,56,34,28,44,43,79,97,81,88,103,69,58,45,31
