Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total,,,
E01020334,4,3,12,11,5,35,,,
E01020335,3,1,7,9,8,29,,,
E01020336,2,1,5,8,5,21,,,
E01020337,3,2,6,6,4,22,,,
E01020338,4,6,15,13,6,44,,,
E01020339,2,2,9,12,5,30,,,
E01020340,3,2,11,11,5,32,,,
E01020341,2,1,4,6,4,16,,,
E01020342,3,2,10,10,4,29,,,
E01032628,2,1,7,8,4,22,,,
E01032657,11,4,5,4,3,28,,,
E01032658,9,3,5,5,3,25,,,
E01033232,1,3,8,3,1,16,,,
E01033233,92,4,8,11,7,122,,,
E01033234,3,4,9,6,2,23,,,
E01033235,2,2,6,5,6,21,,,
E01033236,1,1,5,5,4,16,,,
E07000040,192,152,596,631,402,1972,,,
E07000041,498,263,580,443,213,1998,,,
E07000042,131,111,386,382,178,1187,,,
E07000043,156,132,462,466,243,1459,,,
E07000044,123,98,414,474,238,1347,,,
E07000045,203,175,619,642,334,1973,,,
E07000046,110,93,335,376,189,1103,,,
E07000047,85,71,273,311,155,896,,,
E10000008,1499,1093,3665,3724,1953,11935,,,
E06000026,754,512,1296,1080,488,4131,,,
E06000027,244,203,665,690,382,2184,,,
IMDQ1,454,361,828,710,303,2656,,,
IMDQ2,691,532,1498,1413,708,4841,,,
IMDQ3,771,529,1838,1886,946,5971,,,
IMDQ4,291,229,821,814,448,2603,,,
IMDQ5,290,158,641,671,418,2178,,,
E02003122,11,10,31,32,17,101,,,
E02003123,18,18,46,41,20,144,,,
E02003124,17,18,43,32,15,125,,,
E02003125,15,11,34,35,14,109,,,
E02003126,22,11,36,43,15,127,,,
E02003127,20,16,43,37,16,132,,,
E02003128,19,21,52,43,19,153,,,
E02003129,10,11,33,28,15,97,,,
E02003130,25,23,60,54,20,182,,,
E02003131,15,14,39,34,17,119,,,
E02003132,16,17,48,39,19,140,,,
E02003133,13,12,35,34,15,109,,,
E02003134,15,16,37,34,12,115,,,
E02003135,22,23,45,32,10,131,,,
E02003136,11,8,32,31,22,103,,,
E02003137,12,7,36,32,18,105,,,
E02003138,12,12,36,21,8,89,,,
E02003139,11,11,31,24,7,85,,,
E02003140,9,8,32,25,14,88,,,
E02003141,20,21,50,37,12,139,,,
E02003142,23,22,57,44,18,164,,,
E02003143,12,14,37,35,16,113,,,
E02003144,91,18,26,16,9,161,,,
E02003145,20,15,37,33,13,118,,,
E02003146,54,22,42,26,9,154,,,
E02003147,25,26,46,32,11,139,,,
E02003148,85,19,32,26,13,176,,,
E02003149,50,26,47,29,11,164,,,
E02003150,41,31,58,48,18,196,,,
E02003151,11,7,32,33,26,109,,,
E02003152,16,11,49,43,23,142,,,
E02003153,12,13,34,29,16,104,,,
E02003154,16,13,37,39,20,125,,,
E02003155,11,9,30,30,21,100,,,
E02003156,19,18,53,42,17,149,,,
E02003157,15,12,36,34,12,110,,,
E02003158,9,9,29,29,20,97,,,
E02003159,12,13,34,30,11,100,,,
E02003161,21,15,34,35,13,117,,,
E02003163,9,9,31,42,30,121,,,
E02003164,11,9,37,40,25,123,,,
E02003165,12,10,42,35,18,117,,,
E02003166,25,20,66,59,23,193,,,
E02003167,18,17,43,49,33,160,,,
E02003168,11,8,34,41,24,118,,,
E02003169,8,4,22,30,23,88,,,
E02003170,16,10,43,57,38,165,,,
E02003171,12,11,37,43,26,129,,,
E02004129,8,6,29,36,20,99,,,
E02004130,11,7,26,26,19,90,,,
E02004131,8,8,26,23,12,77,,,
E02004132,9,7,34,35,15,101,,,
E02004133,14,12,39,41,27,133,,,
E02004134,14,16,51,43,18,142,,,
E02004135,8,5,25,37,24,99,,,
E02004136,10,6,33,34,21,104,,,
E02004137,5,4,16,23,15,63,,,
E02004138,9,6,27,35,33,109,,,
E02004139,8,7,28,29,21,93,,,
E02004140,5,3,14,23,24,69,,,
E02004141,11,6,30,34,17,98,,,
E02004142,5,5,22,22,12,66,,,
E02004143,10,8,33,33,18,102,,,
E02004144,7,6,27,27,18,86,,,
E02004145,7,4,25,28,28,91,,,
E02004146,14,12,43,38,17,124,,,
E02004147,19,17,40,36,14,126,,,
E02004148,10,7,27,30,27,101,,,
E02004149,103,10,27,29,16,185,,,
E02004150,36,17,36,28,10,127,,,
E02004151,16,15,45,35,19,130,,,
E02004152,106,16,23,17,9,171,,,
E02004153,17,21,45,32,11,126,,,
E02004154,36,20,37,21,10,123,,,
E02004155,17,17,42,37,18,131,,,
E02004156,66,33,41,29,15,184,,,
E02004157,13,16,33,24,13,99,,,
E02004158,19,24,54,36,15,147,,,
E02004159,15,19,46,36,14,129,,,
E02004160,10,10,33,29,16,97,,,
E02004161,19,19,47,35,13,134,,,
E02004162,13,15,33,26,12,98,,,
E02004163,12,12,38,30,23,115,,,
E02004164,12,8,37,45,21,123,,,
E02004165,9,8,26,25,15,82,,,
E02004166,9,7,30,28,13,87,,,
E02004167,18,15,41,32,15,121,,,
E02004168,12,13,32,29,15,101,,,
E02004169,9,7,34,32,14,97,,,
E02004170,15,15,40,36,16,122,,,
E02004171,9,8,32,33,14,96,,,
E02004172,11,8,36,41,17,114,,,
E02004173,13,10,42,46,20,130,,,
E02004174,15,13,36,33,18,114,,,
E02004175,12,8,30,30,14,94,,,
E02004176,8,7,26,37,20,97,,,
E02004177,12,10,31,35,16,104,,,
E02004178,7,5,27,27,14,80,,,
E02004179,10,10,35,28,20,103,,,
E02004180,9,6,29,33,14,91,,,
E02004181,8,9,26,22,12,77,,,
E02004182,15,13,34,27,15,104,,,
E02004183,10,8,26,24,18,86,,,
E02004184,19,17,47,38,14,137,,,
E02004185,6,5,18,24,16,70,,,
E02004186,14,12,43,43,21,133,,,
E02004187,18,15,52,56,28,168,,,
E02004188,10,7,34,41,22,115,,,
E02004189,10,10,35,31,11,97,,,
E02004190,14,8,45,51,22,139,,,
E02004191,13,11,53,52,25,155,,,
E02004192,7,5,29,41,19,101,,,
E02004193,22,15,61,56,25,179,,,
E02004194,9,9,33,41,16,107,,,
E02004195,9,7,26,31,18,91,,,
E02004196,8,7,31,39,18,103,,,
E02004197,6,6,28,32,20,92,,,
E02004198,10,8,27,32,19,95,,,
E02004199,7,5,25,37,25,98,,,
E02004200,7,6,21,33,21,88,,,
E02004201,8,6,28,36,19,97,,,
E02004202,10,13,41,37,17,119,,,
E02004203,6,4,20,28,13,70,,,
E02004204,14,11,52,50,25,152,,,
E02004205,15,12,40,45,22,134,,,
E02004206,10,8,26,35,25,104,,,
E02004207,12,9,35,35,18,109,,,
E02004208,9,7,29,34,19,99,,,
E02004209,15,12,46,38,20,132,,,
E02004210,14,12,35,38,23,123,,,
E02004211,4,4,19,26,15,68,,,
E02004212,11,9,30,28,13,90,,,
E02004213,11,14,36,32,14,107,,,
E02004214,15,15,35,27,12,104,,,
E02004215,13,10,32,30,17,103,,,
E02004216,10,7,24,29,14,85,,,
E02004217,13,12,45,43,20,131,,,
E02004218,8,6,24,30,13,81,,,
E02004219,7,4,20,22,13,65,,,
E02004220,9,9,33,40,23,113,,,
E02004221,5,5,18,26,20,74,,,
E02004222,10,10,28,27,13,88,,,
E02004223,27,26,71,62,25,211,,,
E02004224,10,7,32,42,21,111,,,
E02004225,12,9,31,26,15,92,,,
E02004226,10,8,36,51,23,128,,,
E02004227,17,12,50,56,27,161,,,
E02004228,12,8,36,47,22,125,,,
E02004229,15,13,46,52,24,150,,,
E02004230,12,12,39,33,19,116,,,
E02004231,8,8,33,40,16,105,,,
E02004232,11,7,39,45,20,122,,,
E02004233,22,18,61,65,39,204,,,
E02004234,9,4,25,35,16,90,,,
E02004235,9,8,30,41,21,110,,,
E02006840,18,16,57,55,26,172,,,
TOWN01,13,12,45,43,20,131,,,
TOWN02,21,16,61,73,45,215,,,
TOWN03,79,69,218,201,105,671,,,
TOWN04,62,58,190,207,107,624,,,
TOWN05,13,13,48,42,27,143,,,
TOWN06,38,30,114,121,55,358,,,
TOWN07,35,32,109,102,46,323,,,
TOWN08,15,12,50,70,39,185,,,
TOWN09,26,23,73,89,52,263,,,
TOWN10,522,292,679,534,259,2286,,,
TOWN11,77,61,231,229,140,738,,,
TOWN12,19,15,55,63,31,184,,,
TOWN13,28,20,85,103,49,286,,,
TOWN14,29,23,89,91,56,287,,,
TOWN15,33,26,95,104,50,308,,,
TOWN16,52,42,175,179,82,529,,,
TOWN17,26,22,78,103,61,290,,,
TOWN18,2,2,7,11,6,28,,,
TOWN19,5,3,17,21,9,55,,,
TOWN20,120,101,355,347,172,1095,,,
TOWN21,41,37,141,150,73,442,,,
TOWN22,22,15,71,70,36,214,,,
TOWN23,14,9,41,55,47,167,,,
TOWN24,18,13,55,71,58,215,,,
TOWN25,24,19,74,83,42,242,,,
TOWN26,47,36,144,175,90,490,,,
TOWN27,26,21,74,88,53,262,,,
TOWN28,62,52,181,178,87,559,,,
TOWN29,30,22,111,122,57,342,,,
DIV1,22,25,67,55,28,199,,,
DIV2,19,18,66,64,28,195,,,
DIV3,18,14,51,58,37,179,,,
DIV4,27,26,68,55,32,208,,,
DIV5,25,21,66,56,27,196,,,
DIV6,18,16,65,63,30,192,,,
DIV7,26,26,72,74,30,228,,,
DIV8,20,17,59,58,29,183,,,
DIV9,17,12,58,62,35,186,,,
DIV10,13,13,48,42,27,143,,,
DIV11,16,18,59,51,23,166,,,
DIV12,18,14,63,69,32,196,,,
DIV13,17,12,52,59,28,168,,,
DIV14,17,14,64,76,37,209,,,
DIV15,24,21,69,66,31,210,,,
DIV16,20,14,67,78,35,214,,,
DIV17,20,20,61,56,24,181,,,
DIV18,16,12,55,72,37,193,,,
DIV19,24,20,66,80,48,238,,,
DIV20,122,17,41,40,22,242,,,
DIV21,14,16,56,54,25,165,,,
DIV22,16,11,52,58,54,192,,,
DIV23,54,47,167,156,80,505,,,
DIV24,32,38,87,61,22,240,,,
DIV25,23,18,68,62,38,208,,,
DIV26,13,12,40,44,27,135,,,
DIV27,20,19,70,81,37,227,,,
DIV28,34,30,68,56,29,218,,,
DIV29,28,20,85,103,49,286,,,
DIV30,24,18,61,65,30,198,,,
DIV31,14,10,45,55,29,155,,,
DIV32,22,15,61,56,25,179,,,
DIV33,17,13,52,68,43,193,,,
DIV34,21,17,65,63,33,199,,,
DIV35,27,25,69,58,28,208,,,
DIV36,26,21,65,65,33,209,,,
DIV37,14,14,51,65,43,187,,,
DIV38,23,19,78,79,39,238,,,
DIV39,19,10,53,60,34,176,,,
DIV40,27,25,69,54,25,200,,,
DIV41,15,15,48,71,37,185,,,
DIV42,16,11,48,64,52,191,,,
DIV43,15,11,47,59,52,183,,,
DIV44,17,11,60,68,32,187,,,
DIV45,20,16,63,68,36,203,,,
DIV46,57,42,61,42,21,224,,,
DIV47,161,37,59,38,18,313,,,
DIV48,22,18,61,65,39,204,,,
DIV49,23,19,64,73,42,222,,,
DIV50,28,22,72,59,27,207,,,
DIV51,21,20,59,66,35,200,,,
DIV52,22,17,67,76,38,220,,,
DIV53,18,16,72,76,35,217,,,
DIV54,17,19,55,43,28,163,,,
DIV55,15,11,51,62,32,172,,,
DIV56,18,14,59,58,26,174,,,
DIV57,26,29,72,52,20,199,,,
DIV58,20,15,65,87,41,227,,,
CHSCTAXE,109,31,27,24,30,597,,,
CHSCTBARNSTAPLE,74,19,15,12,14,563,,,
CHSCTBIDEFORD,104,28,22,17,19,678,,,
CHSCTBRAUNTON,75,20,14,11,14,479,,,
CHSCTCREDITON,54,12,10,7,9,356,,,
CHSCTCULLOMPTON,57,14,11,9,11,425,,,
CHSCTDAWLISH,83,20,17,13,21,497,,,
CHSCTEXETERCHALL,122,29,25,19,26,1028,,,
CHSCTEXETERSYCAMORE,98,23,19,17,25,1236,,,
CHSCTEXMOUTH,111,30,26,21,28,738,,,
CHSCTHONITON,70,19,17,12,14,458,,,
CHSCTIVYBRIDGE,86,19,16,12,13,538,,,
CHSCTKINGSBRIDGE,53,14,11,9,10,290,,,
CHSCTNABBOT,114,28,23,18,25,836,,,
CHSCTOKE,71,16,13,9,12,449,,,
CHSCTSMOLTON,49,13,10,7,9,306,,,
CHSCTTAVISTOCK,92,21,16,14,17,567,,,
CHSCTTEIGN,66,16,13,10,11,434,,,
CHSCTTIVERTON,80,19,17,12,14,556,,,
CHSCTTORRINGTON,88,20,15,12,13,523,,,
CHSCTTOTNES,66,16,12,11,12,381,,,
Eastern,,,,,,,,,
Northern,,,,,,,,,
Southern,,,,,,,,,
Western,,,,,,,,,
