Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total,,,
E01015180,4,5,10,6,3,29,,,
E01015181,9,6,10,7,2,35,,,
E01015182,6,6,11,8,2,32,,,
E01015183,3,1,6,9,5,24,,,
E01015184,2,1,5,7,8,22,,,
E01015185,3,2,5,8,5,23,,,
E01015186,3,2,8,8,3,24,,,
E01015187,2,2,6,8,7,25,,,
E01015188,3,1,8,9,6,28,,,
E01015189,2,2,6,7,3,20,,,
E01015190,4,2,9,9,5,29,,,
E01015191,4,3,13,8,3,31,,,
E01015192,3,4,9,8,2,27,,,
E01015193,3,2,6,8,4,23,,,
E01015194,3,2,9,8,3,25,,,
E01015195,3,3,9,10,4,30,,,
E01015196,4,4,12,7,2,30,,,
E01015197,2,1,5,7,6,21,,,
E01015198,1,1,4,6,4,16,,,
E01015199,1,0,4,7,6,19,,,
E01015200,3,1,6,5,4,18,,,
E01015201,1,1,3,6,3,14,,,
E01015202,3,3,11,8,4,28,,,
E01015203,1,1,4,4,3,13,,,
E01015204,3,2,8,7,3,24,,,
E01015205,2,2,9,8,4,25,,,
E01015206,3,2,9,8,5,27,,,
E01015207,3,3,10,10,3,29,,,
E01015208,2,1,6,11,8,28,,,
E01015209,2,2,8,7,5,23,,,
E01015210,3,4,9,8,3,27,,,
E01015211,2,1,5,4,2,15,,,
E01015212,3,2,10,7,2,24,,,
E01015213,2,3,9,8,3,25,,,
E01015214,3,4,7,7,2,23,,,
E01015215,3,3,9,8,3,27,,,
E01015216,3,4,8,7,3,24,,,
E01015217,6,3,8,8,3,27,,,
E01015218,3,2,9,8,3,25,,,
E01015219,2,2,6,7,6,23,,,
E01015220,2,1,8,10,5,26,,,
E01015221,2,2,9,9,5,28,,,
E01015222,3,2,7,9,6,28,,,
E01015223,1,1,5,5,2,14,,,
E01015224,3,2,9,8,4,27,,,
E01015225,3,2,8,9,5,27,,,
E01015226,1,1,4,5,3,14,,,
E01015227,2,1,5,5,3,16,,,
E01015228,2,2,6,8,6,25,,,
E01015229,2,2,7,7,7,25,,,
E01015230,1,1,4,5,4,14,,,
E01015231,4,3,8,9,4,29,,,
E01015232,3,4,7,10,5,29,,,
E01015233,3,3,7,7,4,24,,,
E01015234,3,3,8,7,2,23,,,
E01015235,2,2,6,9,10,29,,,
E01015236,3,2,8,9,5,27,,,
E01015237,3,3,8,7,3,23,,,
E01015238,2,2,8,6,5,23,,,
E01015239,2,2,6,7,9,26,,,
E01015240,1,2,6,8,8,25,,,
E01015241,3,3,8,7,5,25,,,
E01015242,3,3,8,6,2,23,,,
E01015243,2,2,7,9,5,24,,,
E01015244,3,2,8,9,5,27,,,
E01015245,2,2,5,8,5,22,,,
E01015246,2,1,7,7,7,24,,,
E01015247,3,3,9,11,6,30,,,
E01015248,3,3,9,8,4,26,,,
E01015249,3,3,10,7,4,27,,,
E01015250,2,2,5,4,2,14,,,
E01015251,2,1,4,4,2,13,,,
E01015252,7,8,19,13,4,51,,,
E01015253,3,3,7,4,1,18,,,
E01015254,3,1,8,9,5,26,,,
E01015255,5,3,8,8,3,26,,,
E01015256,5,4,8,9,4,29,,,
E01015257,4,2,8,8,2,24,,,
E01015258,5,4,11,12,5,36,,,
E01015259,3,3,9,7,2,24,,,
E01015260,3,3,9,8,3,26,,,
E01015261,4,5,10,11,4,34,,,
E01015262,4,3,8,7,3,25,,,
E01015263,4,4,8,8,2,26,,,
E01015264,2,2,6,10,6,25,,,
E01015265,3,2,6,8,6,24,,,
E01015266,4,3,9,7,3,26,,,
E01015267,2,3,7,10,6,27,,,
E01015268,2,2,6,7,7,24,,,
E01015269,2,2,7,10,7,27,,,
E01015270,2,2,8,9,7,28,,,
E01015271,1,1,3,6,4,15,,,
E01019886,6,4,15,17,9,51,,,
E01019887,3,4,9,6,5,26,,,
E01019888,3,2,8,9,8,29,,,
E01019889,2,1,5,5,4,16,,,
E01019890,1,1,5,6,4,18,,,
E01019891,3,2,9,10,4,27,,,
E01019892,3,8,13,7,3,34,,,
E01019893,6,5,15,13,5,43,,,
E01019894,1,1,4,6,8,20,,,
E01019895,1,1,5,8,6,21,,,
E01019896,2,1,5,7,8,23,,,
E01019897,3,2,11,6,5,27,,,
E01019898,1,2,8,8,5,24,,,
E01019899,2,1,4,5,3,14,,,
E01019900,2,2,6,10,7,26,,,
E01019901,2,1,6,9,5,24,,,
E01019902,3,2,11,10,8,36,,,
E01019903,3,2,13,13,7,38,,,
E01019904,3,2,9,8,5,26,,,
E01019905,3,2,11,11,5,31,,,
E01019906,2,3,7,7,3,23,,,
E01019907,2,2,6,7,5,22,,,
E01019908,2,3,8,5,1,20,,,
E01019909,2,1,8,9,6,27,,,
E01019910,1,1,7,6,3,17,,,
E01019911,1,2,4,7,8,22,,,
E01019912,3,2,8,9,8,31,,,
E01019913,1,0,2,5,7,15,,,
E01019914,4,4,12,11,6,37,,,
E01019915,2,1,5,6,5,18,,,
E01019916,6,6,11,7,3,34,,,
E01019917,4,3,10,10,3,31,,,
E01019918,5,3,8,11,5,32,,,
E01019919,4,4,10,7,3,29,,,
E01019920,3,3,10,9,4,29,,,
E01019921,2,1,7,4,2,17,,,
E01019922,3,2,9,8,4,26,,,
E01019923,2,2,8,7,4,22,,,
E01019924,4,3,11,9,3,29,,,
E01019925,2,2,8,5,2,20,,,
E01019927,3,2,5,6,4,21,,,
E01019928,3,3,10,8,3,27,,,
E01019929,2,2,6,4,2,15,,,
E01019930,1,2,4,5,3,15,,,
E01019931,2,1,6,6,4,20,,,
E01019932,4,2,9,8,6,29,,,
E01019933,2,2,7,6,5,22,,,
E01019934,2,1,5,5,5,18,,,
E01019935,1,0,3,5,3,13,,,
